Energy,Value,Error
0.5,0.108376,0.0011
0.6,0.0190053,0.0025
0.7,0.0118943,0.0031
0.8,0.0114292,0.0032
0.9,0.0190063,0.0024
1.0,0.00875517,0.0037
1.1,0.00783779,0.0039
1.2,0.0078588,0.0039
1.3,0.00722583,0.004
1.4,0.00551756,0.0046
1.5,0.005984,0.0044
1.6,0.00600756,0.0044
1.7,0.00374639,0.0057
1.8,0.00394962,0.0055
1.9,0.00410624,0.0053
2.0,0.00301208,0.0063
2.1,0.00312101,0.0062
2.2,0.00332462,0.0059
2.3,0.00453823,0.005
2.4,0.00316258,0.0061
2.5,0.0026437,0.0068
2.6,0.00281332,0.0065
2.7,0.00271753,0.0066
2.8,0.00274542,0.0066
2.9,0.00248405,0.0069
3.0,0.00270481,0.0066
3.1,0.00236108,0.0071
3.2,0.00211957,0.0075
3.3,0.00207672,0.0076
3.4,0.00199399,0.0078
3.5,0.00193338,0.0079
3.6,0.00182577,0.0081
3.7,0.00174688,0.0083
3.8,0.00162205,0.0086
3.9,0.00156311,0.0087
4.0,0.00151911,0.0089
4.5,0.00670973,0.0042
5.0,0.00500407,0.0049
5.5,0.00374424,0.0057
6.0,0.00275872,0.0067
6.5,0.00190766,0.0081
7.0,0.00143559,0.0092
7.5,0.00105216,0.0108
8.0,0.000619033,0.0142
8.5,0.000407459,0.0175
9.0,0.000287566,0.0208
9.5,0.000194737,0.0253
10.0,0.000127091,0.0313
10.5,5.04766e-05,0.0498
total,0.307028,0.0007
