Energy,Value,Error
0.0492,0.0100884,0.0031
0.05121,0.000680889,0.0119
0.0533,0.000765673,0.0112
0.05548,0.000823982,0.0108
0.05774,0.00112087,0.0092
0.0601,0.000718725,0.0115
0.06255,0.00103978,0.0096
0.0651,0.000961404,0.01
0.06776,0.000907562,0.0103
0.07053,0.00144028,0.0082
0.0734,0.00109423,0.0094
0.0764,0.000796745,0.011
0.07952,0.00157701,0.0078
0.08276,0.0014179,0.0082
0.08614,0.000903798,0.0103
0.08965,0.00130856,0.0086
0.09331,0.00166164,0.0076
0.09712,0.00158906,0.0078
0.10109,0.00151396,0.008
0.10521,0.0017705,0.0074
0.1095,0.0015472,0.0079
0.11397,0.0020742,0.0068
0.11862,0.00242481,0.0063
0.12347,0.00223393,0.0066
0.1285,0.00303992,0.0056
0.13375,0.00311519,0.0056
0.13921,0.0040637,0.0049
0.14489,0.0027571,0.0059
0.1508,0.00317585,0.0055
0.15696,0.00343273,0.0053
0.16336,0.00373913,0.0051
0.17003,0.00314152,0.0055
0.17697,0.00355013,0.0052
0.18419,0.00390686,0.005
0.19171,0.00352941,0.0052
0.19953,0.00472343,0.0045
0.20767,0.00514564,0.0043
0.21615,0.00540049,0.0042
0.22497,0.0052503,0.0043
0.23415,0.00518306,0.0043
0.24371,0.0053744,0.0042
0.25365,0.00551326,0.0042
0.264,0.00674463,0.0038
0.27478,0.00778266,0.0035
0.28599,0.00641264,0.0039
0.29766,0.00763056,0.0036
0.30981,0.00960727,0.0032
0.32245,0.00995725,0.0031
0.33561,0.00926719,0.0032
0.34931,0.00999624,0.0031
0.36357,0.0102227,0.0031
0.3784,0.010668,0.003
0.39385,0.0102235,0.0031
0.40992,0.00954302,0.0032
0.42665,0.00928249,0.0032
0.44406,0.0101476,0.0031
0.46218,0.0104487,0.003
0.48105,0.0111005,0.003
0.50068,0.0128637,0.0027
0.52111,0.0125627,0.0028
0.54238,0.0122011,0.0028
0.56451,0.0127635,0.0028
0.58755,0.0137021,0.0027
0.61153,0.0153797,0.0025
0.63648,0.014794,0.0026
0.66246,0.0149862,0.0025
0.6895,0.014306,0.0026
0.71763,0.0148397,0.0026
0.74692,0.0143643,0.0026
0.7774,0.0149609,0.0025
0.80913,0.0162616,0.0024
0.84215,0.0162207,0.0024
0.87652,0.0151016,0.0025
0.91229,0.0153136,0.0025
0.94952,0.0154353,0.0025
0.98827,0.0151932,0.0025
1.0286,0.0150616,0.0025
1.0706,0.0145047,0.0026
1.1143,0.0147252,0.0026
1.1598,0.0143178,0.0026
1.2071,0.0145084,0.0026
1.2563,0.0138896,0.0026
1.3076,0.0137746,0.0027
1.361,0.0138501,0.0026
1.4165,0.0139491,0.0026
1.4743,0.0134403,0.0027
1.5345,0.0134225,0.0027
1.5971,0.0129865,0.0027
1.6623,0.0126991,0.0028
1.7301,0.0125139,0.0028
1.8008,0.0119613,0.0028
1.8742,0.0112195,0.0029
1.9507,0.0105751,0.003
2.0303,0.0102108,0.0031
2.1132,0.00968997,0.0032
2.1994,0.00921371,0.0032
2.2892,0.00843266,0.0034
2.3826,0.00782693,0.0035
2.4799,0.0072693,0.0037
2.5811,0.00693667,0.0037
2.6864,0.00670528,0.0038
2.796,0.00649929,0.0039
2.9101,0.00612743,0.004
3.0289,0.00574148,0.0041
3.1525,0.00504359,0.0044
3.2812,0.00469278,0.0046
3.4151,0.0044714,0.0047
3.5545,0.00424743,0.0048
3.6995,0.00403201,0.0049
3.8505,0.00378967,0.0051
4.0076,0.00360339,0.0052
4.1712,0.00341897,0.0053
4.3414,0.00321891,0.0055
4.5186,0.00304147,0.0057
4.703,0.00283425,0.0059
4.8949,0.00267794,0.006
5.0947,0.00250432,0.0062
5.3026,0.00232238,0.0065
5.519,0.00221187,0.0066
5.7443,0.0020692,0.0068
5.9787,0.00195129,0.0071
6.2227,0.0018502,0.0072
6.4766,0.00173554,0.0075
6.741,0.00167632,0.0076
7.0161,0.00162998,0.0077
7.3024,0.00158988,0.0078
7.6004,0.00158947,0.0078
7.9106,0.0015567,0.0079
8.2334,0.0016026,0.0078
8.5694,0.00162019,0.0077
8.9192,0.00167438,0.0076
9.2832,0.00178295,0.0074
9.662,0.00184543,0.0072
10.056,0.00190849,0.0071
10.467,0.00200953,0.0069
10.894,0.0022103,0.0066
11.339,0.00260552,0.0061
11.801,0.0029068,0.0058
12.283,0.00320722,0.0055
12.784,0.00710645,0.0037
13.306,0.00828009,0.0034
13.849,0.0514678,0.0013
14.414,0.0882856,0.001
15.002,0.0887172,0.001
15.615,0.0503752,0.0014
16.252,0.0514961,0.0013
16.915,0.023952,0.002
17.605,0.000126117,0.0279
18.324,0.00012112,0.0285
19.072,6.00436e-05,0.0405
19.85,6.14227e-05,0.04
20.66,2.81182e-05,0.0592
total,1.29805,0.0001
