Energy,Value,Error
0.488405,7.94522e-07,0.0041
0.50077,3.01933e-09,0.0355
0.513445,3.13822e-09,0.0352
0.52644,2.96966e-09,0.0353
0.53977,2.98736e-09,0.0362
0.553435,3.04755e-09,0.0348
0.567445,3.2065e-09,0.0355
0.58181,3.33286e-09,0.0348
0.596535,3.23385e-09,0.0344
0.61164,3.02152e-09,0.035
0.627125,3.36834e-09,0.0337
0.643,3.36577e-09,0.0339
0.65928,3.49328e-09,0.0335
0.67597,3.26436e-09,0.0344
0.69308,3.53663e-09,0.0335
0.710625,3.51771e-09,0.0326
0.728615,3.55398e-09,0.0331
0.74706,3.81526e-09,0.0323
0.76597,3.75969e-09,0.0317
0.78536,3.8285e-09,0.0323
0.805245,3.62993e-09,0.0328
0.82563,3.8723e-09,0.032
0.84653,4.06451e-09,0.0307
0.86796,3.90207e-09,0.0318
0.88993,4.13077e-09,0.0309
0.912455,4.13267e-09,0.0305
0.935555,4.21879e-09,0.0308
0.95924,3.99382e-09,0.0312
0.983525,4.13806e-09,0.0308
1.00841,4.22811e-09,0.0309
1.03395,4.46529e-09,0.0301
1.06015,4.71722e-09,0.0291
1.087,4.47912e-09,0.029
1.1145,4.43881e-09,0.0293
1.1427,4.89154e-09,0.0289
1.17165,4.87196e-09,0.0287
1.2013,4.84163e-09,0.0283
1.2317,4.88286e-09,0.0282
1.2629,4.82533e-09,0.0278
1.29485,5.10233e-09,0.0279
1.3276,4.83139e-09,0.028
1.3612,5.0854e-09,0.0276
1.39565,5.19296e-09,0.0272
1.431,5.04048e-09,0.0273
1.46725,5.59239e-09,0.0272
1.5044,5.52326e-09,0.0263
1.5425,5.67329e-09,0.0266
1.58155,5.5609e-09,0.0265
1.62155,5.72901e-09,0.0257
1.6626,5.65564e-09,0.0258
1.7047,5.91591e-09,0.0258
1.74785,5.62799e-09,0.0259
1.7921,5.92303e-09,0.0256
1.83745,5.71028e-09,0.026
1.88395,5.90815e-09,0.0258
1.93165,5.76196e-09,0.0253
1.98055,6.06681e-09,0.0252
2.0307,6.52136e-09,0.0252
2.0821,5.3764e-09,0.031
2.1348,5.28555e-09,0.0282
2.18885,5.71348e-09,0.0267
2.24425,5.50584e-09,0.0266
2.3011,5.4875e-09,0.0267
2.35935,5.7941e-09,0.0273
2.41905,5.93095e-09,0.028
2.4803,5.5507e-09,0.0288
2.5431,5.70796e-09,0.0284
2.6075,5.60092e-09,0.0283
2.6735,5.0713e-09,0.0291
2.74115,5.01585e-09,0.0299
2.81055,4.31568e-09,0.0334
2.8817,3.67617e-09,0.0376
2.95465,2.45893e-09,0.0446
3.02945,5.16026e-09,0.0277
3.10615,5.41365e-09,0.0273
3.1848,4.48453e-09,0.0326
3.2654,3.89019e-09,0.0343
3.34805,3.64886e-09,0.0388
3.43285,3.71614e-09,0.0412
3.51975,3.61232e-09,0.0392
3.60885,3.84088e-09,0.0386
3.70025,4.03669e-09,0.0372
3.7939,4.52761e-09,0.036
3.8899,5.1216e-09,0.0338
3.98835,5.77487e-09,0.0319
4.08935,6.40894e-09,0.0309
4.1929,6.94356e-09,0.032
4.29905,5.93241e-09,0.0384
4.4079,5.68644e-09,0.0391
4.51945,6.23404e-09,0.0358
4.63385,6.40189e-09,0.0334
4.75115,6.44427e-09,0.033
4.8714,6.70233e-09,0.0328
4.99475,5.76835e-09,0.0359
5.1212,5.18931e-09,0.0348
5.25085,4.74806e-09,0.0362
5.3838,4.861e-09,0.0396
5.5201,4.35818e-09,0.0391
5.6598,4.57602e-09,0.0353
5.80305,4.95305e-09,0.0349
5.95,4.6528e-09,0.0374
6.10065,4.03547e-09,0.0361
6.25505,3.45008e-09,0.0438
6.4134,2.62359e-09,0.0547
6.57575,4.17499e-09,0.0449
6.7422,4.89606e-09,0.0352
6.9129,5.695e-09,0.0324
7.0879,6.14855e-09,0.032
7.26735,6.39831e-09,0.0347
7.4513,4.02776e-09,0.0483
7.6399,3.90711e-09,0.0477
7.8333,3.84812e-09,0.0562
8.0316,4.67135e-09,0.0567
8.23495,5.57319e-09,0.0561
8.44345,7.13478e-09,0.0395
8.6572,7.75279e-09,0.038
8.87635,7.18905e-09,0.036
9.10105,6.78713e-09,0.0347
9.33145,5.75716e-09,0.0406
9.56765,5.31707e-09,0.05
9.80985,4.38274e-09,0.053
10.0582,3.33819e-09,0.0616
10.313,3.37457e-09,0.0571
10.574,3.3537e-09,0.0571
10.8415,3.88051e-09,0.0631
11.116,4.44456e-09,0.0554
11.3975,4.5787e-09,0.0539
11.686,5.4479e-09,0.0444
11.982,6.54496e-09,0.0509
12.2855,7.33763e-09,0.0431
12.5965,9.76487e-09,0.0358
12.915,1.14747e-08,0.0373
13.2415,1.21817e-08,0.0329
13.577,1.26073e-08,0.0376
13.921,9.26576e-09,0.0446
14.2735,4.86143e-09,0.0678
14.635,1.36934e-09,0.1162
15.0055,1.50021e-10,0.3324
15.385,2.96405e-11,0.7945
15.7745,1.8566e-11,1.0
16.174,0.0,0.0
16.583,0.0,0.0
17.003,0.0,0.0
17.4335,0.0,0.0
17.8745,0.0,0.0
18.327,0.0,0.0
18.791,0.0,0.0
19.267,0.0,0.0
19.755,0.0,0.0
20.243,0.0,0.0
total,1.4745e-06,0.0029
