Energy,Value,Error
0.011927,6.45321e-08,0.0192
0.0125385,1.45952e-09,0.058
0.0131815,1.63675e-09,0.0517
0.013857,1.76131e-09,0.0511
0.0145675,1.88679e-09,0.0487
0.0153145,2.35777e-09,0.0433
0.0160995,2.82243e-09,0.041
0.016925,3.202e-09,0.0375
0.017793,3.57631e-09,0.0357
0.0187055,4.05349e-09,0.0327
0.0196645,5.55081e-09,0.0278
0.0206725,6.67022e-09,0.0254
0.021732,7.11228e-09,0.0239
0.0228465,1.6856e-08,0.0157
0.024018,3.43046e-08,0.0106
0.025249,1.09396e-07,0.0062
0.0265435,2.34518e-08,0.0132
0.0279045,3.13147e-10,0.1261
0.0293355,7.93227e-11,0.2184
0.0308395,3.61877e-10,0.1348
0.0324205,7.12147e-10,0.0924
0.034083,1.22159e-09,0.0681
0.0358305,1.61746e-09,0.0587
0.0376675,2.06539e-09,0.0541
0.039599,2.78161e-09,0.0453
0.0416295,3.09911e-09,0.0458
0.0437635,3.18062e-09,0.0435
0.046007,3.98438e-09,0.0383
0.048366,4.14108e-09,0.0359
0.050846,5.42397e-09,0.0319
0.053453,3.27636e-09,0.0422
0.0561935,3.87148e-09,0.0375
0.0590745,6.01794e-09,0.0308
0.0621035,6.43584e-09,0.0293
0.0652875,7.82143e-09,0.0261
0.0686345,1.25872e-08,0.0198
0.0721535,2.01688e-08,0.0159
0.075853,6.92415e-09,0.0258
0.079742,9.33182e-09,0.0265
0.0838305,5.66916e-08,0.0088
0.088129,1.65486e-09,0.0636
0.0926475,4.52757e-09,0.0356
0.0973975,6.36027e-09,0.0296
0.102391,8.10759e-09,0.0279
0.10764,1.06306e-08,0.024
0.11316,1.12354e-08,0.0226
0.11896,1.34137e-08,0.0177
0.12506,2.51008e-08,0.0146
0.131475,4.54237e-08,0.0094
0.138215,1.07161e-07,0.0063
0.1453,1.2439e-08,0.0178
0.15275,5.58128e-09,0.0335
0.16058,1.21173e-08,0.0214
0.16881,7.04144e-08,0.0078
0.17747,9.977e-09,0.0234
0.18657,6.99485e-08,0.0081
0.196135,2.39013e-09,0.0489
0.20619,6.21046e-09,0.0308
0.21676,1.42105e-08,0.0196
0.227875,4.34289e-08,0.0098
0.23956,1.62053e-08,0.0191
0.251845,2.13073e-08,0.0156
0.264755,2.14746e-08,0.0164
0.278325,9.23113e-08,0.0068
0.292595,1.2967e-08,0.023
0.3076,7.22624e-08,0.0083
0.32337,1.2106e-07,0.0058
0.33995,1.83844e-08,0.0164
0.35738,9.37613e-08,0.0065
0.3757,4.96446e-08,0.0086
0.394965,4.03224e-08,0.0089
0.415215,7.42662e-09,0.0289
0.436505,9.39309e-09,0.0268
0.458885,1.60116e-08,0.018
0.48241,3.94793e-08,0.011
0.507145,1.77326e-08,0.0187
0.533145,1.18358e-08,0.0239
0.56048,2.74349e-08,0.0159
0.58922,1.74895e-08,0.0236
0.61943,4.46085e-08,0.0109
0.65119,6.55336e-08,0.0074
0.68458,3.52257e-08,0.0098
0.719675,4.55094e-08,0.0093
0.75657,6.69888e-09,0.0293
0.79536,3.91708e-09,0.0446
0.83614,9.42465e-09,0.0298
0.87901,7.92509e-09,0.0289
0.92408,9.25163e-09,0.0271
0.97146,1.81518e-08,0.0149
1.02127,4.04429e-09,0.0337
1.07365,4.40116e-09,0.0289
1.1287,6.35769e-09,0.0299
1.18655,4.64217e-09,0.0253
1.2474,6.91701e-09,0.0193
1.31135,2.3646e-09,0.0446
1.37855,1.59799e-09,0.051
1.44925,1.41103e-09,0.0467
1.52355,1.62458e-09,0.0445
1.60165,6.13279e-10,0.0824
1.6838,1.02421e-09,0.0793
1.77015,9.88684e-10,0.076
1.8609,9.02736e-10,0.0834
1.9563,7.97305e-10,0.0892
2.0566,5.26179e-10,0.1292
2.16205,3.30751e-10,0.2074
2.2729,4.2337e-10,0.1172
2.3894,2.74378e-10,0.1569
2.5119,1.7154e-10,0.1488
2.6407,1.25145e-10,0.2526
2.7761,1.76521e-10,0.2375
2.91845,1.74434e-10,0.2405
3.06805,1.16898e-10,0.2045
3.22535,1.21707e-10,0.3338
3.39075,1.76645e-10,0.3415
3.5646,9.21185e-11,0.1971
3.74735,1.55776e-10,0.3003
3.93945,7.77043e-11,0.5459
4.14145,2.44405e-11,0.2612
4.3538,1.08091e-10,0.4103
4.577,5.29974e-11,0.3273
4.81165,4.73694e-11,0.3479
5.05835,8.49946e-11,0.6419
5.3177,1.15686e-10,0.592
5.59035,3.53065e-11,0.3141
5.877,1.28711e-11,0.2605
6.1783,8.98462e-11,0.471
6.49505,1.74655e-11,0.3214
6.8281,1.74681e-10,0.6987
7.1782,7.06852e-11,0.5551
7.5462,1.65113e-10,0.7484
7.9331,2.93772e-11,0.3764
8.33985,6.72541e-11,0.4435
8.76745,3.63496e-11,0.3392
9.21695,9.27475e-11,0.5365
9.6895,1.53605e-10,0.5783
10.1863,7.0039e-11,0.4324
10.7085,2.24324e-11,0.3644
11.2575,1.03343e-10,0.4931
11.835,9.63382e-11,0.3269
12.442,6.2608e-11,0.1481
13.0795,1.97122e-10,0.3271
13.75,7.14397e-10,0.1813
14.455,4.14681e-09,0.1132
15.196,4.36406e-09,0.0668
15.9755,1.67169e-09,0.1028
16.7945,1.26319e-11,0.1033
17.6555,3.87705e-15,0.7071
18.561,9.71261e-15,0.4472
19.5125,0.0,0.0
20.464,0.0,0.0
total,1.93929e-06,0.0023
