Energy,Value,Error
0.011927,1.75857e-08,0.0339
0.0125385,8.71884e-10,0.0843
0.0131815,1.15008e-09,0.0799
0.013857,1.03544e-09,0.0805
0.0145675,1.3198e-09,0.0774
0.0153145,1.37582e-09,0.078
0.0160995,1.18304e-09,0.0736
0.016925,1.37726e-09,0.0695
0.017793,1.42e-09,0.0679
0.0187055,1.48545e-09,0.0653
0.0196645,1.75392e-09,0.0622
0.0206725,1.79029e-09,0.0637
0.021732,1.87199e-09,0.0598
0.0228465,2.04549e-09,0.0565
0.024018,2.0106e-09,0.0589
0.025249,2.13553e-09,0.0575
0.0265435,2.51279e-09,0.0556
0.0279045,2.00891e-09,0.0611
0.0293355,2.06031e-09,0.0575
0.0308395,2.4248e-09,0.054
0.0324205,2.58441e-09,0.052
0.034083,3.00656e-09,0.0515
0.0358305,3.64424e-09,0.041
0.0376675,4.09012e-09,0.0365
0.039599,4.54015e-09,0.0332
0.0416295,6.06343e-09,0.0283
0.0437635,5.43563e-09,0.0301
0.046007,4.90846e-09,0.0351
0.048366,5.2915e-09,0.0343
0.050846,5.08247e-09,0.0319
0.053453,6.26875e-09,0.0273
0.0561935,6.38476e-09,0.029
0.0590745,6.58829e-09,0.0289
0.0621035,7.40689e-09,0.0276
0.0652875,7.28255e-09,0.0278
0.0686345,7.45459e-09,0.0263
0.0721535,7.91549e-09,0.0306
0.075853,8.06171e-09,0.0267
0.079742,9.15716e-09,0.024
0.0838305,9.05552e-09,0.0242
0.088129,9.05056e-09,0.0247
0.0926475,9.48781e-09,0.0234
0.0973975,9.54549e-09,0.0241
0.102391,1.04679e-08,0.0218
0.10764,1.22139e-08,0.021
0.11316,1.23595e-08,0.0204
0.11896,1.291e-08,0.0195
0.12506,1.33356e-08,0.0186
0.131475,1.46315e-08,0.0179
0.138215,1.53194e-08,0.0182
0.1453,1.39127e-08,0.0191
0.15275,1.50967e-08,0.0178
0.16058,1.67372e-08,0.0167
0.16881,1.77847e-08,0.016
0.17747,1.89708e-08,0.0155
0.18657,1.94043e-08,0.0154
0.196135,1.9293e-08,0.0156
0.20619,2.0888e-08,0.0147
0.21676,2.28621e-08,0.0135
0.227875,2.34173e-08,0.0136
0.23956,2.47164e-08,0.0137
0.251845,2.4193e-08,0.0129
0.264755,2.62681e-08,0.0126
0.278325,2.82575e-08,0.0121
0.292595,2.77926e-08,0.0118
0.3076,2.71678e-08,0.0117
0.32337,2.7104e-08,0.0116
0.33995,2.79917e-08,0.0115
0.35738,2.53243e-08,0.0112
0.3757,1.81106e-08,0.0125
0.394965,1.41851e-08,0.0182
0.415215,1.01332e-08,0.0274
0.436505,6.75337e-09,0.043
0.458885,1.05716e-08,0.0398
0.48241,2.18406e-08,0.0257
0.507145,3.63544e-08,0.0174
0.533145,5.07495e-08,0.0131
0.56048,6.0662e-08,0.0105
0.58922,7.09436e-08,0.0092
0.61943,8.12182e-08,0.0081
0.65119,8.92234e-08,0.0075
0.68458,9.62576e-08,0.0069
0.719675,1.03783e-07,0.0064
0.75657,1.11157e-07,0.0062
0.79536,1.17805e-07,0.0062
0.83614,1.1422e-07,0.006
0.87901,9.75051e-08,0.0058
0.92408,7.08581e-08,0.0068
0.97146,3.02445e-08,0.0135
1.02127,1.24662e-08,0.0301
1.07365,2.76303e-08,0.0176
1.1287,7.19787e-08,0.0084
1.18655,1.18075e-07,0.0061
1.2474,1.41213e-07,0.0053
1.31135,8.35016e-08,0.0085
1.37855,7.94914e-08,0.0099
1.44925,1.84777e-07,0.0053
1.52355,2.24307e-07,0.0045
1.60165,2.44831e-07,0.0041
1.6838,2.26262e-07,0.0044
1.77015,2.90323e-07,0.0039
1.8609,2.63408e-07,0.0042
1.9563,1.99125e-07,0.0049
2.0566,3.33388e-07,0.0038
2.16205,3.87548e-07,0.0038
2.2729,4.86612e-07,0.0036
2.3894,9.75993e-07,0.0034
2.5119,6.70081e-07,0.0034
2.6407,5.44906e-07,0.0034
2.7761,5.6194e-07,0.0033
2.91845,5.73823e-07,0.0033
3.06805,5.72324e-07,0.0034
3.22535,3.7297e-07,0.0047
3.39075,1.49184e-07,0.0084
3.5646,1.33723e-07,0.0086
3.74735,1.33507e-07,0.009
3.93945,1.58436e-07,0.0084
4.14145,3.01491e-07,0.0053
4.3538,2.32296e-07,0.0062
4.577,2.56042e-07,0.006
4.81165,3.67118e-07,0.0047
5.05835,3.24388e-07,0.0049
5.3177,2.79441e-07,0.0057
5.59035,3.58013e-07,0.0049
5.877,2.54447e-07,0.0058
6.1783,2.73202e-07,0.0059
6.49505,3.1947e-07,0.0056
6.8281,3.2242e-07,0.0055
7.1782,3.95182e-07,0.0054
7.5462,3.56919e-07,0.0058
7.9331,3.5449e-07,0.0061
8.33985,4.82397e-07,0.0055
8.76745,3.68423e-07,0.0056
9.21695,3.11624e-07,0.0058
9.6895,2.80785e-07,0.0055
10.1863,2.31398e-07,0.0058
10.7085,2.93537e-07,0.0052
11.2575,3.60422e-07,0.0055
11.835,4.8809e-07,0.0047
12.442,1.10687e-06,0.0033
13.0795,2.48283e-06,0.0024
13.75,1.20008e-05,0.0011
14.455,6.39146e-05,0.0005
15.196,7.23364e-05,0.0005
15.9755,2.58586e-05,0.0008
16.7945,3.10861e-07,0.0078
17.6555,7.98354e-10,0.1917
18.561,1.00564e-10,0.6167
19.5125,4.45991e-10,0.263
20.464,2.80351e-10,0.1
total,0.000195375,0.0003
