Energy,Value,Error
0.011927,6.22815e-09,0.0468
0.0125385,4.35933e-10,0.1455
0.0131815,4.69161e-10,0.1159
0.013857,6.09403e-10,0.1191
0.0145675,6.48783e-10,0.1206
0.0153145,6.98361e-10,0.1053
0.0160995,7.24692e-10,0.1115
0.016925,6.3821e-10,0.1042
0.017793,8.45122e-10,0.0981
0.0187055,8.57988e-10,0.0888
0.0196645,1.08313e-09,0.0846
0.0206725,1.20462e-09,0.0859
0.021732,1.30486e-09,0.0741
0.0228465,1.59173e-09,0.0736
0.024018,1.69898e-09,0.0683
0.025249,1.84105e-09,0.0713
0.0265435,1.67001e-09,0.0662
0.0279045,2.19996e-09,0.0604
0.0293355,2.78658e-09,0.0523
0.0308395,2.7652e-09,0.052
0.0324205,3.29341e-09,0.0496
0.034083,3.47045e-09,0.049
0.0358305,3.95388e-09,0.046
0.0376675,4.35665e-09,0.0422
0.039599,5.20082e-09,0.0375
0.0416295,4.49152e-09,0.0426
0.0437635,3.34236e-09,0.0498
0.046007,4.89824e-09,0.0421
0.048366,5.44718e-09,0.0402
0.050846,5.6579e-09,0.0375
0.053453,6.02901e-09,0.0377
0.0561935,6.36544e-09,0.0354
0.0590745,7.49571e-09,0.0329
0.0621035,8.55779e-09,0.0308
0.0652875,1.00031e-08,0.0286
0.0686345,1.09631e-08,0.0284
0.0721535,1.0461e-08,0.0287
0.075853,1.2558e-08,0.0265
0.079742,6.82496e-09,0.0372
0.0838305,1.19912e-08,0.027
0.088129,1.32264e-08,0.0251
0.0926475,1.41361e-08,0.0244
0.0973975,1.67188e-08,0.0226
0.102391,1.72215e-08,0.0221
0.10764,1.81666e-08,0.0212
0.11316,1.99678e-08,0.0203
0.11896,1.63934e-08,0.0225
0.12506,2.02285e-08,0.0201
0.131475,2.15857e-08,0.0201
0.138215,2.57743e-08,0.0182
0.1453,2.77413e-08,0.0175
0.15275,2.613e-08,0.0181
0.16058,3.19485e-08,0.0164
0.16881,3.53366e-08,0.0156
0.17747,3.77721e-08,0.0152
0.18657,4.2227e-08,0.0142
0.196135,4.4037e-08,0.0142
0.20619,4.88752e-08,0.0132
0.21676,5.31563e-08,0.0128
0.227875,5.83801e-08,0.0122
0.23956,5.55115e-08,0.0126
0.251845,6.45511e-08,0.0116
0.264755,6.95196e-08,0.0111
0.278325,6.88206e-08,0.0113
0.292595,7.30396e-08,0.0109
0.3076,8.36147e-08,0.0102
0.32337,8.50888e-08,0.0101
0.33995,1.05473e-07,0.0091
0.35738,9.10676e-08,0.0098
0.3757,8.44933e-08,0.0102
0.394965,1.1308e-07,0.0089
0.415215,1.07246e-07,0.0091
0.436505,1.16178e-07,0.0087
0.458885,1.18286e-07,0.0086
0.48241,1.23423e-07,0.0084
0.507145,2.01238e-07,0.0065
0.533145,1.85148e-07,0.007
0.56048,1.88013e-07,0.0069
0.58922,1.78178e-07,0.0072
0.61943,1.80943e-07,0.0072
0.65119,1.77883e-07,0.0073
0.68458,2.09996e-07,0.0067
0.719675,2.10223e-07,0.0068
0.75657,1.90999e-07,0.0071
0.79536,2.33201e-07,0.0065
0.83614,1.93242e-07,0.0072
0.87901,1.86412e-07,0.0074
0.92408,2.1859e-07,0.0068
0.97146,2.21083e-07,0.0069
1.02127,2.08962e-07,0.0071
1.07365,2.05191e-07,0.0071
1.1287,2.31742e-07,0.0068
1.18655,2.09487e-07,0.0073
1.2474,2.29981e-07,0.0071
1.31135,2.12691e-07,0.0075
1.37855,2.27868e-07,0.0072
1.44925,2.08688e-07,0.0077
1.52355,2.03906e-07,0.008
1.60165,2.20439e-07,0.0078
1.6838,2.2368e-07,0.008
1.77015,1.68697e-07,0.0095
1.8609,1.88597e-07,0.0092
1.9563,1.8437e-07,0.0094
2.0566,1.6617e-07,0.01
2.16205,1.49331e-07,0.0109
2.2729,1.52882e-07,0.0114
2.3894,1.2106e-07,0.0128
2.5119,1.10659e-07,0.0139
2.6407,1.03702e-07,0.015
2.7761,8.04736e-08,0.0173
2.91845,7.83389e-08,0.0192
3.06805,6.20768e-08,0.0212
3.22535,5.59264e-08,0.023
3.39075,4.06992e-08,0.0276
3.5646,3.85763e-08,0.0289
3.74735,3.41272e-08,0.033
3.93945,2.86299e-08,0.0409
4.14145,2.15618e-08,0.04
4.3538,1.87472e-08,0.0467
4.577,1.67086e-08,0.0504
4.81165,1.49111e-08,0.0592
5.05835,1.11721e-08,0.0646
5.3177,1.06867e-08,0.0695
5.59035,8.67737e-09,0.0742
5.877,9.12976e-09,0.0727
6.1783,9.01364e-09,0.0729
6.49505,6.82362e-09,0.0687
6.8281,8.44836e-09,0.0874
7.1782,8.41982e-09,0.0751
7.5462,6.50793e-09,0.0661
7.9331,7.83416e-09,0.0856
8.33985,6.64859e-09,0.0569
8.76745,7.57563e-09,0.0772
9.21695,8.8527e-09,0.0791
9.6895,7.96078e-09,0.0735
10.1863,9.67808e-09,0.0852
10.7085,7.10656e-09,0.0644
11.2575,6.59246e-09,0.0723
11.835,8.08989e-09,0.0804
12.442,5.92851e-09,0.1058
13.0795,4.28845e-09,0.1397
13.75,1.33746e-08,0.0636
14.455,7.63402e-08,0.031
15.196,6.22259e-08,0.0353
15.9755,1.38528e-08,0.0795
16.7945,1.05607e-09,0.1596
17.6555,1.60038e-10,0.1427
18.561,1.77259e-11,0.1876
19.5125,1.79781e-12,0.4305
20.464,5.2054e-13,0.7243
total,9.43457e-06,0.0014
