Tally N.,Tally Description,Energy,Value,Error
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.14e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.316e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.826e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.764e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.125e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,9.98851e-14,1.0
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.855e-06,5.88842e-13,0.5383
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.382e-06,2.23126e-13,0.7077
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,2.8086e-12,0.2781
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.928e-06,5.97308e-12,0.1826
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043e-06,1.24642e-11,0.1229
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.476e-06,3.88326e-11,0.0757
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.315e-06,7.80893e-11,0.0521
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.068e-05,1.54782e-10,0.0481
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,2.33227e-10,0.0361
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.76e-05,3.17064e-10,0.0346
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.26e-05,4.6681e-10,0.0313
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.902e-05,5.65749e-10,0.0292
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.727e-05,6.44186e-10,0.0279
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.785e-05,5.85001e-10,0.0285
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.144e-05,4.42073e-10,0.0271
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889e-05,2.62367e-10,0.0322
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,1.43068e-10,0.0486
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001301,1.70232e-09,0.0162
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000167,2.97896e-09,0.0127
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002145,3.25455e-09,0.0121
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002754,4.66559e-09,0.0104
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0003536,5.33726e-09,0.0094
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,7.93586e-09,0.0085
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0005829,7.88541e-09,0.0085
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485,7.45092e-09,0.0115
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0009611,1.37294e-08,0.0059
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001234,1.36474e-08,0.0061
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001585,3.2219e-08,0.0034
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002035,3.35419e-08,0.0034
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002249,2.74902e-08,0.0032
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002485,3.016e-08,0.0031
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002613,5.60876e-09,0.0085
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002747,6.5499e-09,0.008
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003035,3.71106e-08,0.0028
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003355,1.3359e-08,0.0051
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003707,1.81857e-08,0.0046
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.004307,4.53956e-08,0.0026
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.005531,7.80116e-08,0.0021
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.007102,1.09637e-07,0.0017
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.009119,1.22095e-07,0.0015
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01059,9.70773e-08,0.0017
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01171,7.85544e-08,0.0019
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01503,2.57571e-07,0.001
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193,3.63302e-07,0.0009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02187,2.33335e-07,0.0011
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02358,1.59012e-07,0.0014
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02418,5.64177e-08,0.0023
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02479,5.77622e-08,0.0023
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02606,1.21151e-07,0.0016
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,8.99203e-08,0.0018
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0285,1.43871e-07,0.0014
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03183,3.19938e-07,0.001
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03431,2.36932e-07,0.0012
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04087,6.15149e-07,0.0007
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04631,4.87587e-07,0.0008
