Energy,Value,Error
0.02477,4.16852e-06,0.0012
0.02608,4.08581e-08,0.0079
0.02744,1.41547e-08,0.0117
0.02889,2.57689e-09,0.0151
0.03041,6.04925e-09,0.014
0.03201,1.04024e-08,0.0127
0.0337,1.36184e-08,0.012
0.03547,1.54512e-08,0.0116
0.03734,1.59751e-08,0.0116
0.03931,1.78041e-08,0.0112
0.04138,1.95784e-08,0.0109
0.04355,1.98125e-08,0.0108
0.04584,2.33211e-08,0.0102
0.04825,2.47914e-08,0.0099
0.0508,1.78163e-08,0.0112
0.05347,1.34095e-08,0.0123
0.05629,1.88542e-08,0.0111
0.05925,2.30218e-08,0.0103
0.06237,2.63741e-08,0.0097
0.06564,1.8282e-08,0.0111
0.0691,2.23881e-08,0.0104
0.07274,2.96052e-08,0.0093
0.07657,1.75438e-08,0.0114
0.0806,3.19488e-08,0.009
0.08484,3.35028e-08,0.0088
0.0893,1.96778e-08,0.0105
0.094,2.62674e-08,0.0095
0.09896,1.75977e-08,0.0111
0.1041,1.89251e-08,0.011
0.1097,2.51229e-08,0.0099
0.1154,2.57047e-08,0.01
0.1215,3.50261e-08,0.0088
0.1278,3.62574e-08,0.0086
0.1346,4.35077e-08,0.0078
0.1417,4.85449e-08,0.0074
0.1492,1.93493e-08,0.0102
0.157,3.34224e-08,0.0085
0.1653,3.53148e-08,0.0084
0.174,3.78739e-08,0.0082
0.1831,5.00529e-08,0.0072
0.1928,3.64741e-08,0.0082
0.2029,3.1162e-08,0.0087
0.2136,3.75777e-08,0.0082
0.2248,4.22961e-08,0.0078
0.2367,4.16089e-08,0.0079
0.2491,4.09349e-08,0.008
0.2622,4.40563e-08,0.0078
0.276,6.44552e-08,0.0066
0.2906,3.80052e-08,0.0081
0.3058,6.62496e-08,0.0065
0.322,6.95215e-08,0.0063
0.3389,4.51776e-08,0.0074
0.3567,7.7431e-08,0.0059
0.3755,6.30889e-08,0.0064
0.3953,6.18111e-08,0.0064
0.416,5.09807e-08,0.0069
0.438,5.5675e-08,0.0067
0.461,5.64012e-08,0.0067
0.4853,6.46077e-08,0.0064
0.5108,6.66335e-08,0.0063
0.5377,6.77082e-08,0.0063
0.566,7.11223e-08,0.0062
0.5958,8.24876e-08,0.0059
0.6272,8.58299e-08,0.0057
0.6601,9.08999e-08,0.0056
0.6949,8.4714e-08,0.0057
0.7315,8.72775e-08,0.0057
0.77,7.82262e-08,0.0059
0.8105,6.73034e-08,0.0063
0.8532,7.67071e-08,0.0061
0.898,7.16348e-08,0.0063
0.9453,7.05227e-08,0.0064
0.9951,6.95776e-08,0.0064
1.048,6.70341e-08,0.0064
1.103,6.71376e-08,0.0065
1.16,7.04113e-08,0.0064
1.222,7.89177e-08,0.0061
1.286,6.22633e-08,0.0067
1.353,6.20351e-08,0.0068
1.425,6.40636e-08,0.0069
1.5,5.59382e-08,0.0072
1.579,5.41316e-08,0.0073
1.662,5.4262e-08,0.0074
1.749,5.50358e-08,0.0075
1.842,5.08589e-08,0.0078
1.938,4.46148e-08,0.0081
2.041,4.42913e-08,0.0083
2.12,3.15932e-08,0.0097
2.203,3.17689e-08,0.0096
2.287,3.11564e-08,0.01
2.37,2.82599e-08,0.0106
2.456,2.75381e-08,0.0107
2.54,2.31568e-08,0.0112
2.627,2.22183e-08,0.0115
2.713,2.1682e-08,0.012
2.8,1.93761e-08,0.0124
2.887,1.74813e-08,0.0128
2.975,1.68436e-08,0.0132
3.063,1.73571e-08,0.0138
3.153,1.57645e-08,0.0139
3.242,1.44702e-08,0.0147
3.333,1.40633e-08,0.0146
3.423,1.26446e-08,0.0155
3.514,1.20694e-08,0.0156
3.606,1.17898e-08,0.0158
3.698,1.10225e-08,0.0164
3.791,1.01795e-08,0.017
3.884,9.8209e-09,0.0174
3.977,9.88395e-09,0.0177
4.071,9.94402e-09,0.0179
4.166,9.5112e-09,0.0178
4.261,9.69069e-09,0.0182
4.356,8.4601e-09,0.019
4.453,8.65436e-09,0.0192
4.549,8.39446e-09,0.0201
4.646,8.42283e-09,0.0201
4.743,8.01613e-09,0.0207
4.84,7.73777e-09,0.022
4.939,7.58516e-09,0.0217
5.038,7.92255e-09,0.0214
5.137,6.71e-09,0.0223
5.237,6.71684e-09,0.0236
5.337,6.5448e-09,0.0234
5.437,6.3248e-09,0.024
5.539,6.65103e-09,0.0236
5.64,6.33517e-09,0.0241
5.741,5.78154e-09,0.0256
5.844,5.6914e-09,0.0248
5.947,5.83325e-09,0.025
6.05,5.46582e-09,0.0266
6.154,5.4442e-09,0.0265
6.258,5.53916e-09,0.0263
6.363,4.92039e-09,0.0277
6.468,5.32526e-09,0.0272
6.573,5.55017e-09,0.0285
6.679,5.47986e-09,0.0273
6.785,5.63571e-09,0.0276
6.892,5.70964e-09,0.0269
6.999,5.98806e-09,0.0285
7.106,5.69778e-09,0.0281
7.214,5.63086e-09,0.0278
7.322,5.07569e-09,0.0278
7.431,4.78055e-09,0.0294
7.54,4.71319e-09,0.0295
7.649,4.93359e-09,0.028
7.759,4.43462e-09,0.03
7.87,4.00704e-09,0.0301
7.98,4.64533e-09,0.0305
8.092,4.74698e-09,0.0294
8.203,4.7428e-09,0.0303
8.316,4.89582e-09,0.0311
8.428,4.48109e-09,0.0315
8.54,4.64913e-09,0.0312
8.653,4.78467e-09,0.0314
8.767,5.08829e-09,0.0306
8.881,4.85158e-09,0.0307
8.995,4.9668e-09,0.0306
9.11,4.94853e-09,0.0313
9.226,5.10234e-09,0.0305
9.341,5.18566e-09,0.03
9.456,5.66713e-09,0.0298
