Energy,Value,Error
6.0,19.8899,0.0038
7.0,18.156,0.0041
8.0,14.0148,0.0046
9.0,12.5426,0.005
10.0,11.6621,0.0052
11.0,11.043,0.0054
12.0,9.45776,0.0057
13.0,9.51122,0.0058
14.0,9.25626,0.0059
15.0,9.14955,0.006
16.0,9.21236,0.006
17.0,9.41413,0.006
18.0,9.51369,0.006
19.0,9.51028,0.0061
20.0,9.34067,0.0062
21.0,9.27576,0.0062
22.0,9.59362,0.0062
23.0,9.5159,0.0062
24.0,9.51046,0.0062
25.0,9.72067,0.0062
26.0,10.1365,0.0061
27.0,10.4336,0.006
28.0,10.7201,0.006
29.0,11.1192,0.0059
30.0,11.1213,0.006
31.0,11.133,0.0061
32.0,11.3634,0.006
33.0,11.5705,0.006
34.0,11.5548,0.006
35.0,11.7772,0.006
36.0,11.8573,0.006
37.0,11.8909,0.006
38.0,11.9612,0.006
39.0,12.0372,0.006
40.0,11.9777,0.006
41.0,11.9827,0.006
42.0,12.1429,0.006
43.0,12.1098,0.006
44.0,12.2438,0.006
46.0,25.0468,0.0042
48.0,25.6776,0.0042
50.0,25.7288,0.0042
52.0,25.5479,0.0042
54.0,24.6974,0.0043
56.0,23.4061,0.0044
58.0,21.8837,0.0045
60.0,19.2064,0.0048
62.0,19.501,0.0047
64.0,109.756,0.0021
66.0,286.626,0.0013
68.0,84.8775,0.0024
70.0,2.17051,0.0152
total,1132.55,0.0007
