Energy,Value,Error
6.0,0.229585,0.038
7.0,0.18143,0.0436
8.0,0.135784,0.0499
9.0,0.10442,0.0542
10.0,0.109458,0.0553
11.0,0.101448,0.0584
12.0,0.0827356,0.0642
13.0,0.0857741,0.0647
14.0,0.0824196,0.0656
15.0,0.0850882,0.0641
16.0,0.082049,0.066
17.0,0.0737948,0.0687
18.0,0.0813687,0.068
19.0,0.0800015,0.0684
20.0,0.0858343,0.0656
21.0,0.0706832,0.075
22.0,0.0600163,0.08
23.0,0.0730348,0.0714
24.0,0.0717683,0.0737
25.0,0.0630581,0.0778
26.0,0.0630261,0.0792
27.0,0.0635154,0.0798
28.0,0.0746522,0.0734
29.0,0.0599914,0.0809
30.0,0.0691127,0.0766
31.0,0.0629356,0.0774
32.0,0.0645553,0.0807
33.0,0.0698418,0.0741
34.0,0.0598173,0.0814
35.0,0.0555363,0.0847
36.0,0.0596378,0.0826
37.0,0.0459016,0.0924
38.0,0.0560499,0.0859
39.0,0.0444241,0.0941
40.0,0.054179,0.0887
41.0,0.0475229,0.0914
42.0,0.0511321,0.0921
43.0,0.0486618,0.0932
44.0,0.0317671,0.1098
46.0,0.0981635,0.0656
48.0,0.0876031,0.0706
50.0,0.0771311,0.073
52.0,0.0669324,0.0776
54.0,0.0668661,0.0797
56.0,0.0505683,0.0908
58.0,0.0505035,0.0918
60.0,0.061435,0.082
62.0,0.0872366,0.0698
64.0,0.180144,0.0481
66.0,0.201949,0.0458
68.0,0.0263517,0.1233
70.0,0.0,0.0
total,4.0769,0.0105
