Cells,Value,Error
2.0,2893400.0,0.0102
3.0,3617430.0,0.0097
4.0,5218880.0,0.0092
5.0,8078010.0,0.0087
6.0,12810700.0,0.0083
7.0,20365800.0,0.008
8.0,32292800.0,0.0077
9.0,50785600.0,0.0074
10.0,78980700.0,0.0072
11.0,122109000.0,0.0069
12.0,186429000.0,0.0068
13.0,281665000.0,0.0066
14.0,420026000.0,0.0064
15.0,615895000.0,0.0062
16.0,886378000.0,0.0061
17.0,1244950000.0,0.006
18.0,1705030000.0,0.0058
19.0,2251930000.0,0.0057
20.0,2833510000.0,0.0056
21.0,3341570000.0,0.0054
22.0,3524180000.0,0.0056
24.0,3648300000.0,0.0054
25.0,5777380000.0,0.0048
26.0,11528200000.0,0.0042
27.0,25424400000.0,0.0036
28.0,65671800000.0,0.003
29.0,181910000000.0,0.0026
30.0,459959000000.0,0.0024
31.0,842209000000.0,0.0023
33.0,1582600000000.0,0.002
34.0,3095840000000.0,0.0017
35.0,4077370000000.0,0.0016
36.0,7327690000000.0,0.0015
37.0,11182700000000.0,0.0013
38.0,22060200000000.0,0.0012
39.0,29744000000000.0,0.0011
40.0,51541200000000.0,0.001
41.0,66485800000000.0,0.0009
42.0,107919000000000.0,0.0008
43.0,125555000000000.0,0.0008
44.0,169116000000000.0,0.0007
45.0,193389000000000.0,0.0007
46.0,265400000000000.0,0.0006
47.0,295664000000000.0,0.0007
48.0,308530000000000.0,0.0006
49.0,351275000000000.0,0.0006
53.0,436614000000000.0,0.0004
54.0,394307000000000.0,0.0004
55.0,379300000000000.0,0.0004
56.0,348434000000000.0,0.0003
57.0,268017000000000.0,0.0003
58.0,238640000000000.0,0.0003
59.0,183237000000000.0,0.0003
60.0,159181000000000.0,0.0004
61.0,99658700000000.0,0.0004
62.0,77395600000000.0,0.0004
63.0,44614300000000.0,0.0005
64.0,32909400000000.0,0.0006
65.0,16566400000000.0,0.0006
66.0,10766300000000.0,0.0007
67.0,5946100000000.0,0.0008
68.0,4471740000000.0,0.0008
69.0,2246810000000.0,0.001
71.0,1168920000000.0,0.0012
72.0,689655000000.0,0.0012
73.0,346183000000.0,0.0013
74.0,156417000000.0,0.0014
75.0,71170800000.0,0.0016
76.0,33737600000.0,0.0019
77.0,16676000000.0,0.0022
78.0,8555690000.0,0.0025
79.0,4516900000.0,0.0029
80.0,2490000000.0,0.0033
81.0,1485600000.0,0.0038
82.0,834810000.0,0.0044
83.0,526849000.0,0.0048
85.0,503537000.0,0.005
86.0,480151000.0,0.005
87.0,405390000.0,0.0051
88.0,321274000.0,0.0052
89.0,241303000.0,0.0053
90.0,175288000.0,0.0054
91.0,124015000.0,0.0056
92.0,85578400.0,0.0057
93.0,58069100.0,0.0059
94.0,38716800.0,0.0061
95.0,25468300.0,0.0063
96.0,16509300.0,0.0065
97.0,10603100.0,0.0067
98.0,6744850.0,0.007
99.0,4256930.0,0.0073
100.0,2651680.0,0.0077
101.0,1643700.0,0.008
102.0,1001310.0,0.0084
103.0,593804.0,0.0089
104.0,328391.0,0.0093
105.0,137031.0,0.0097
