Energy,Value,Error
0.011927,9.16442e-06,0.0019
0.0125385,5.01908e-08,0.0089
0.0131815,5.06035e-08,0.0089
0.013857,5.19059e-08,0.0088
0.0145675,5.23495e-08,0.0088
0.0153145,5.24065e-08,0.0088
0.0160995,5.30162e-08,0.0087
0.016925,5.22785e-08,0.0087
0.017793,5.30548e-08,0.0087
0.0187055,5.29496e-08,0.0087
0.0196645,5.48643e-08,0.0087
0.0206725,5.43261e-08,0.0086
0.021732,5.45658e-08,0.0086
0.0228465,5.4907e-08,0.0086
0.024018,5.52996e-08,0.0086
0.025249,5.55817e-08,0.0085
0.0265435,5.66726e-08,0.0085
0.0279045,5.64482e-08,0.0084
0.0293355,5.7507e-08,0.0085
0.0308395,5.83346e-08,0.0083
0.0324205,5.85429e-08,0.0084
0.034083,5.898e-08,0.0083
0.0358305,5.94547e-08,0.0083
0.0376675,5.95992e-08,0.0083
0.039599,6.17574e-08,0.0082
0.0416295,6.17363e-08,0.0082
0.0437635,6.19553e-08,0.0081
0.046007,6.19566e-08,0.0081
0.048366,6.34832e-08,0.0081
0.050846,6.3339e-08,0.008
0.053453,6.41456e-08,0.008
0.0561935,6.47257e-08,0.008
0.0590745,6.62051e-08,0.0079
0.0621035,6.63973e-08,0.0079
0.0652875,6.84675e-08,0.0078
0.0686345,6.85615e-08,0.0078
0.0721535,6.94988e-08,0.0077
0.075853,6.92502e-08,0.0077
0.079742,7.06151e-08,0.0077
0.0838305,7.18509e-08,0.0077
0.088129,7.29308e-08,0.0077
0.0926475,7.44913e-08,0.0076
0.0973975,7.62027e-08,0.0076
0.102391,7.67702e-08,0.0075
0.10764,7.73585e-08,0.0075
0.11316,7.87851e-08,0.0075
0.11896,7.93457e-08,0.0075
0.12506,8.14129e-08,0.0074
0.131475,8.26995e-08,0.0073
0.138215,8.37263e-08,0.0073
0.1453,8.71375e-08,0.0073
0.15275,8.73984e-08,0.0073
0.16058,8.88633e-08,0.0072
0.16881,9.07502e-08,0.0072
0.17747,9.24312e-08,0.0072
0.18657,9.46553e-08,0.0072
0.196135,9.58585e-08,0.0071
0.20619,9.70287e-08,0.0071
0.21676,9.93661e-08,0.0069
0.227875,1.02555e-07,0.007
0.23956,1.04677e-07,0.0069
0.251845,1.08124e-07,0.0068
0.264755,1.11968e-07,0.0067
0.278325,1.14666e-07,0.0066
0.292595,1.19531e-07,0.0066
0.3076,1.20934e-07,0.0066
0.32337,1.24292e-07,0.0066
0.33995,1.26113e-07,0.0066
0.35738,1.29992e-07,0.0065
0.3757,1.31335e-07,0.0064
0.394965,1.34192e-07,0.0063
0.415215,1.39293e-07,0.0064
0.436505,1.41109e-07,0.0064
0.458885,1.41173e-07,0.0064
0.48241,1.41143e-07,0.0065
0.507145,1.40296e-07,0.0066
0.533145,1.37754e-07,0.0066
0.56048,1.37013e-07,0.0067
0.58922,1.2767e-07,0.0069
0.61943,8.2344e-08,0.009
0.65119,7.84355e-08,0.0095
0.68458,1.31281e-07,0.0072
0.719675,1.45846e-07,0.0069
0.75657,1.54702e-07,0.0067
0.79536,1.52038e-07,0.0069
0.83614,1.25058e-07,0.0077
0.87901,1.47249e-07,0.0071
0.92408,1.45542e-07,0.0072
0.97146,1.44619e-07,0.0072
1.02127,1.44835e-07,0.0073
1.07365,1.48718e-07,0.0074
1.1287,1.53504e-07,0.0073
1.18655,1.6088e-07,0.0071
1.2474,1.68232e-07,0.007
1.31135,1.78487e-07,0.0069
1.37855,1.89273e-07,0.0066
1.44925,2.03022e-07,0.0067
1.52355,2.13146e-07,0.0064
1.60165,2.2333e-07,0.0065
1.6838,2.3113e-07,0.0062
1.77015,2.34335e-07,0.0061
1.8609,2.3578e-07,0.0061
1.9563,2.30711e-07,0.0063
2.0566,2.18898e-07,0.0065
2.16205,2.05092e-07,0.0074
2.2729,1.81921e-07,0.0075
2.3894,1.63319e-07,0.0078
2.5119,1.46643e-07,0.0085
2.6407,1.35737e-07,0.0101
2.7761,9.30915e-08,0.0134
2.91845,9.66109e-08,0.0143
3.06805,1.10901e-07,0.0122
3.22535,1.27734e-07,0.0111
3.39075,1.29121e-07,0.0106
3.5646,1.2723e-07,0.0112
3.74735,1.34468e-07,0.0116
3.93945,1.36088e-07,0.0111
4.14145,1.49215e-07,0.0106
4.3538,1.54374e-07,0.0103
4.577,1.50082e-07,0.0113
4.81165,1.56679e-07,0.0112
5.05835,1.63915e-07,0.0113
5.3177,1.63329e-07,0.0108
5.59035,1.67955e-07,0.0108
5.877,1.68885e-07,0.0107
6.1783,1.7834e-07,0.0114
6.49505,1.78773e-07,0.0113
6.8281,1.8798e-07,0.0114
7.1782,1.92684e-07,0.012
7.5462,1.94238e-07,0.0113
7.9331,2.03229e-07,0.0119
8.33985,1.96673e-07,0.0117
8.76745,1.98003e-07,0.0128
9.21695,1.97817e-07,0.0121
9.6895,2.11298e-07,0.0124
10.1863,2.35281e-07,0.012
10.7085,2.85766e-07,0.0116
11.2575,3.90839e-07,0.0106
11.835,5.63642e-07,0.01
12.442,8.40862e-07,0.0082
13.0795,1.57241e-06,0.0049
13.75,4.1198e-06,0.0022
14.455,1.59202e-05,0.001
15.196,2.97236e-05,0.0006
15.9755,1.89604e-05,0.0007
16.7945,2.38891e-06,0.002
17.6555,1.86274e-07,0.008
18.561,2.87404e-08,0.022
19.5125,5.66895e-09,0.0464
20.464,8.37018e-10,0.0791
total,0.000100099,0.0005
