Energy,Value,Error
0.3,0.0980654,0.0012
0.4,0.0393116,0.0018
0.5,0.0320187,0.002
0.6,0.0364769,0.0019
0.7,0.020931,0.0024
0.8,0.0233158,0.0023
0.9,0.0191884,0.0025
1.0,0.0226567,0.0023
1.1,0.0134508,0.003
1.2,0.0122684,0.0032
1.3,0.0137673,0.003
1.4,0.0177736,0.0027
1.5,0.044958,0.0017
1.6,0.00775076,0.004
1.7,0.00542804,0.0048
1.8,0.00643214,0.0044
1.9,0.0048491,0.0051
2.0,0.0048649,0.0051
2.1,0.00511736,0.0049
2.2,0.00442743,0.0053
2.3,0.00435043,0.0054
2.4,0.00439187,0.0053
2.5,0.00423171,0.0054
2.6,0.00420795,0.0055
2.7,0.00409783,0.0055
2.8,0.00392332,0.0056
2.9,0.00382813,0.0057
3.0,0.00371592,0.0058
3.1,0.00358613,0.0059
3.2,0.00373377,0.0058
3.3,0.00353894,0.006
3.4,0.00353143,0.006
3.5,0.00349487,0.006
3.6,0.0034075,0.0061
3.7,0.00327178,0.0062
3.8,0.00312749,0.0063
3.9,0.00299644,0.0065
4.0,0.00286173,0.0066
4.1,0.00273473,0.0068
4.2,0.00264134,0.0069
4.3,0.00256113,0.007
4.4,0.00254459,0.007
4.5,0.00243602,0.0072
4.6,0.00225879,0.0075
4.7,0.0022095,0.0076
4.8,0.00216427,0.0076
4.9,0.00209312,0.0078
5.0,0.00204689,0.0078
5.5,0.00891113,0.0038
6.0,0.00713073,0.0042
6.5,0.00554697,0.0048
7.0,0.00431351,0.0054
7.5,0.00327802,0.0062
8.0,0.00247292,0.0072
8.5,0.00192301,0.0082
9.0,0.0014018,0.0096
9.5,0.00101739,0.0113
10.0,0.000677197,0.0138
10.5,0.000427248,0.0174
total,0.56014,0.0005
