Energy,Value,Error
0.5,0.0660356,0.0014
0.6,0.0142033,0.0028
0.7,0.0106421,0.0032
0.8,0.00850396,0.0036
0.9,0.00926761,0.0035
1.0,0.00993157,0.0033
1.1,0.00547438,0.0046
1.2,0.00654013,0.0042
1.3,0.00451007,0.0051
1.4,0.00567209,0.0045
1.5,0.00499797,0.0048
1.6,0.0032977,0.0059
1.7,0.00256626,0.0067
1.8,0.00244398,0.0069
1.9,0.00263198,0.0066
2.0,0.00211706,0.0074
2.1,0.00231616,0.007
2.2,0.00187695,0.0078
2.3,0.00174338,0.0081
2.4,0.0017048,0.0082
2.5,0.00159154,0.0085
2.6,0.00153696,0.0086
2.7,0.0014256,0.009
2.8,0.0014238,0.009
2.9,0.00140777,0.009
3.0,0.00129795,0.0094
3.1,0.00121773,0.0097
3.2,0.00114838,0.01
3.3,0.00112635,0.0101
3.4,0.00104166,0.0105
3.5,0.000988928,0.0108
3.6,0.000918429,0.0112
3.7,0.000895715,0.0114
3.8,0.000841283,0.0117
3.9,0.000775024,0.0122
4.0,0.00073626,0.0125
4.5,0.00315985,0.0061
5.0,0.00237731,0.007
5.5,0.00192188,0.0077
6.0,0.00131219,0.0094
6.5,0.000964883,0.0109
7.0,0.00101819,0.0104
7.5,0.00111659,0.0097
8.0,0.00136701,0.0087
8.5,0.00118435,0.0093
9.0,0.000169046,0.0256
9.5,8.35688e-05,0.0368
10.0,3.2827e-05,0.0604
10.5,2.20602e-05,0.0734
total,0.19958,0.0008
