Energy,Value,Error
0.3,0.110654,0.001
0.4,0.0363505,0.0017
0.5,0.0290455,0.0019
0.6,0.0360039,0.0017
0.7,0.0172985,0.0025
0.8,0.0160779,0.0026
0.9,0.0193234,0.0023
1.0,0.0170235,0.0025
1.1,0.0136073,0.0028
1.2,0.0120766,0.0029
1.3,0.0125489,0.0029
1.4,0.0118908,0.003
1.5,0.0120093,0.003
1.6,0.0114123,0.003
1.7,0.0128047,0.0028
1.8,0.0521175,0.0014
1.9,0.0100873,0.0032
2.0,0.0064934,0.004
2.1,0.00543874,0.0044
2.2,0.00526497,0.0044
2.3,0.00598853,0.0041
2.4,0.00395189,0.0051
2.5,0.00435347,0.0049
2.6,0.00450225,0.0048
2.7,0.00401434,0.0051
2.8,0.00547302,0.0043
2.9,0.0104092,0.0031
3.0,0.00461962,0.0047
3.1,0.00359303,0.0054
3.2,0.00393997,0.0051
3.3,0.00323312,0.0057
3.4,0.00335927,0.0056
3.5,0.00309616,0.0058
3.6,0.00284897,0.0061
3.7,0.00301128,0.0059
3.8,0.00301574,0.0059
3.9,0.00270815,0.0062
4.0,0.00376143,0.0052
4.5,0.0155316,0.0026
5.0,0.0131233,0.0028
5.5,0.0150751,0.0026
6.0,0.00897757,0.0034
6.5,0.00834875,0.0035
7.0,0.011452,0.003
7.5,0.00754154,0.0037
8.0,0.00506052,0.0045
8.5,0.00385316,0.0051
9.0,0.00315365,0.0057
9.5,0.00265219,0.0062
10.0,0.00234824,0.0066
10.5,0.00161561,0.0079
total,0.622142,0.0004
