Energy,Value,Error
0.011927,7.87028e-06,0.0018
0.0125385,4.35128e-08,0.0095
0.0131815,4.42368e-08,0.0095
0.013857,4.45076e-08,0.0095
0.0145675,4.48698e-08,0.0094
0.0153145,4.48604e-08,0.0095
0.0160995,4.48152e-08,0.0094
0.016925,4.56265e-08,0.0094
0.017793,4.55707e-08,0.0093
0.0187055,4.6522e-08,0.0093
0.0196645,4.67426e-08,0.0093
0.0206725,4.66558e-08,0.0093
0.021732,4.73417e-08,0.0091
0.0228465,4.77353e-08,0.0091
0.024018,4.77358e-08,0.0091
0.025249,4.776e-08,0.0091
0.0265435,4.79848e-08,0.0091
0.0279045,4.91209e-08,0.009
0.0293355,4.89529e-08,0.009
0.0308395,4.92707e-08,0.009
0.0324205,5.07024e-08,0.009
0.034083,5.02812e-08,0.0089
0.0358305,5.14557e-08,0.0089
0.0376675,5.17868e-08,0.0088
0.039599,5.27941e-08,0.0088
0.0416295,5.28609e-08,0.0087
0.0437635,5.36766e-08,0.0087
0.046007,5.35718e-08,0.0086
0.048366,5.39422e-08,0.0087
0.050846,5.4884e-08,0.0086
0.053453,5.6275e-08,0.0085
0.0561935,5.58326e-08,0.0085
0.0590745,5.69182e-08,0.0085
0.0621035,5.71893e-08,0.0085
0.0652875,5.75643e-08,0.0084
0.0686345,5.89692e-08,0.0083
0.0721535,6.0195e-08,0.0084
0.075853,5.99919e-08,0.0083
0.079742,6.0618e-08,0.0083
0.0838305,6.21791e-08,0.0082
0.088129,6.34014e-08,0.0082
0.0926475,6.45945e-08,0.008
0.0973975,6.50216e-08,0.008
0.102391,6.59753e-08,0.008
0.10764,6.82102e-08,0.008
0.11316,6.87401e-08,0.0079
0.11896,6.88883e-08,0.0079
0.12506,7.07942e-08,0.0078
0.131475,7.13241e-08,0.0078
0.138215,7.24238e-08,0.0077
0.1453,7.45487e-08,0.0077
0.15275,7.66796e-08,0.0077
0.16058,7.71603e-08,0.0076
0.16881,7.78544e-08,0.0076
0.17747,8.07622e-08,0.0075
0.18657,8.17593e-08,0.0075
0.196135,8.30344e-08,0.0073
0.20619,8.43573e-08,0.0073
0.21676,8.52435e-08,0.0072
0.227875,8.86549e-08,0.0072
0.23956,9.12824e-08,0.0071
0.251845,9.37412e-08,0.0071
0.264755,9.63751e-08,0.007
0.278325,9.90557e-08,0.007
0.292595,1.0219e-07,0.0069
0.3076,1.04517e-07,0.0069
0.32337,1.08567e-07,0.0069
0.33995,1.08593e-07,0.0068
0.35738,1.12599e-07,0.0068
0.3757,1.12466e-07,0.0067
0.394965,1.17271e-07,0.0067
0.415215,1.19534e-07,0.0066
0.436505,1.22324e-07,0.0066
0.458885,1.1917e-07,0.0067
0.48241,1.19818e-07,0.0067
0.507145,1.1982e-07,0.0068
0.533145,1.18421e-07,0.0068
0.56048,1.17311e-07,0.0068
0.58922,1.0901e-07,0.0073
0.61943,7.11141e-08,0.0095
0.65119,6.72008e-08,0.0096
0.68458,1.12001e-07,0.0076
0.719675,1.23586e-07,0.0071
0.75657,1.28326e-07,0.0071
0.79536,1.28703e-07,0.0072
0.83614,1.05462e-07,0.0082
0.87901,1.27794e-07,0.0074
0.92408,1.2289e-07,0.0074
0.97146,1.23084e-07,0.0076
1.02127,1.20963e-07,0.0077
1.07365,1.24457e-07,0.0077
1.1287,1.28676e-07,0.0077
1.18655,1.34677e-07,0.0077
1.2474,1.40619e-07,0.0077
1.31135,1.46124e-07,0.0075
1.37855,1.5454e-07,0.0073
1.44925,1.60564e-07,0.0071
1.52355,1.67812e-07,0.0071
1.60165,1.72032e-07,0.0069
1.6838,1.7434e-07,0.007
1.77015,1.73501e-07,0.0072
1.8609,1.70963e-07,0.0074
1.9563,1.60812e-07,0.0079
2.0566,1.49005e-07,0.0082
2.16205,1.39051e-07,0.0086
2.2729,1.25634e-07,0.0093
2.3894,1.18073e-07,0.0101
2.5119,1.10611e-07,0.0098
2.6407,1.04432e-07,0.0115
2.7761,7.3151e-08,0.0148
2.91845,7.45851e-08,0.0152
3.06805,7.95055e-08,0.0148
3.22535,8.57716e-08,0.0144
3.39075,8.94616e-08,0.0144
3.5646,9.01139e-08,0.0137
3.74735,8.96641e-08,0.014
3.93945,9.44363e-08,0.014
4.14145,1.03506e-07,0.0129
4.3538,1.08316e-07,0.0126
4.577,1.07552e-07,0.0134
4.81165,1.127e-07,0.0135
5.05835,1.16793e-07,0.0133
5.3177,1.18925e-07,0.0131
5.59035,1.1997e-07,0.0144
5.877,1.2303e-07,0.0134
6.1783,1.24092e-07,0.0134
6.49505,1.30191e-07,0.0137
6.8281,1.35581e-07,0.014
7.1782,1.32434e-07,0.0142
7.5462,1.32848e-07,0.0142
7.9331,1.34013e-07,0.0139
8.33985,1.32568e-07,0.016
8.76745,1.29195e-07,0.0156
9.21695,1.41481e-07,0.0152
9.6895,1.5244e-07,0.0154
10.1863,1.74383e-07,0.0145
10.7085,2.19443e-07,0.014
11.2575,2.53296e-07,0.0137
11.835,2.65865e-07,0.0142
12.442,2.80127e-07,0.0127
13.0795,4.24912e-07,0.0084
13.75,8.51844e-07,0.006
14.455,9.84027e-07,0.0058
15.196,4.02889e-07,0.0096
15.9755,4.11434e-08,0.0294
16.7945,3.23999e-09,0.1119
17.6555,4.69725e-10,0.2988
18.561,1.37227e-10,0.4131
19.5125,0.0,0.0
20.464,0.0,0.0
total,2.42684e-05,0.0012
