Tally N.,Tally Description,Energy,Value,Error
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.14e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.316e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.826e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.764e-07,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.125e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.445e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.855e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.382e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.059e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.928e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,5.043e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.476e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,8.315e-06,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.068e-05,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.371e-05,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,1.76e-05,0.0,
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.26e-05,1.10059e-14,1.0
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,2.902e-05,1.44328e-12,0.1273
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,3.727e-05,1.50321e-11,0.0445
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,4.785e-05,4.47766e-11,0.0275
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,6.144e-05,6.66944e-11,0.023
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,7.889e-05,7.93488e-11,0.0212
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001013,9.06047e-11,0.0199
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0001301,4.03057e-11,0.0272
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000167,9.77256e-11,0.0255
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002145,2.45631e-10,0.0138
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0002754,1.373e-09,0.004
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0003536,5.09651e-11,0.0259
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.000454,6.04279e-10,0.0074
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0005829,1.74579e-09,0.0039
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0007485,5.66415e-10,0.0088
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0009611,9.85414e-09,0.0016
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001234,6.90056e-09,0.0019
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.001585,4.92794e-09,0.0026
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002035,3.08883e-08,0.0009
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002249,5.60438e-09,0.0022
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002485,4.07347e-09,0.0028
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002613,4.23693e-09,0.0026
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.002747,1.84224e-09,0.0053
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003035,1.67345e-08,0.0012
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003355,1.46927e-08,0.0014
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.003707,2.20718e-08,0.0011
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.004307,3.86291e-08,0.0008
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.005531,9.43023e-08,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.007102,9.9455e-08,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.009119,5.27642e-08,0.0008
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01059,3.30034e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01171,7.52006e-08,0.0006
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.01503,2.37517e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0193,3.32032e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02187,2.02476e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02358,1.3598e-07,0.0004
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02418,4.84077e-08,0.0007
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02479,4.95643e-08,0.0007
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.02606,1.03533e-07,0.0005
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.027,7.59109e-08,0.0006
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.0285,1.21067e-07,0.0004
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03183,2.73012e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.03431,2.03465e-07,0.0003
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04087,5.33719e-07,0.0002
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.04631,4.38983e-07,0.0002
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.05248,4.94293e-07,0.0002
2,Neutron Flux at the external surface in Vitamin-J 175 energy groups,0.05656,3.0166e-07,0.0003
