Energy,Value,Error
1e-07,6.14935e-11,0.0303
4.14e-07,1.40842e-09,0.0051
5.316e-07,7.49747e-10,0.0071
6.826e-07,1.01745e-09,0.0061
8.764e-07,1.30549e-09,0.0051
1.125e-06,1.62644e-09,0.0048
1.445e-06,1.99675e-09,0.0047
1.855e-06,2.35861e-09,0.004
2.382e-06,2.74516e-09,0.0036
3.059e-06,3.1285e-09,0.0035
3.928e-06,3.49868e-09,0.0033
5.043e-06,3.86474e-09,0.0032
6.476e-06,4.21049e-09,0.0031
8.315e-06,4.48996e-09,0.0031
1.068e-05,4.84949e-09,0.0032
1.371e-05,5.04504e-09,0.0037
1.76e-05,5.26391e-09,0.0032
2.26e-05,5.46663e-09,0.0033
2.902e-05,5.60197e-09,0.0032
3.727e-05,5.73053e-09,0.0033
4.785e-05,5.79648e-09,0.0036
6.144e-05,5.9055e-09,0.0035
7.889e-05,5.90458e-09,0.0033
0.0001013,5.98622e-09,0.0034
0.0001301,5.94285e-09,0.0034
0.000167,5.96744e-09,0.0035
0.0002145,5.93903e-09,0.0034
0.0002754,6.81801e-09,0.0033
0.0003536,7.47656e-09,0.0032
0.000454,1.00251e-08,0.003
0.0005829,1.07063e-08,0.0029
0.0007485,1.08269e-08,0.0029
0.0009611,1.11719e-08,0.0029
0.001234,1.15429e-08,0.0028
0.001585,1.22918e-08,0.0026
0.002035,1.30427e-08,0.0026
0.002249,5.49784e-09,0.0041
0.002485,5.59791e-09,0.0039
0.002613,2.90418e-09,0.0053
0.002747,2.94876e-09,0.0052
0.003035,6.05135e-09,0.0039
0.003355,6.36216e-09,0.0036
0.003707,6.63021e-09,0.0035
0.004307,1.07388e-08,0.0027
0.005531,2.12991e-08,0.0019
0.007102,3.38088e-08,0.0015
0.009119,1.07067e-06,0.0002
0.01059,9.23644e-07,0.0002
0.01171,1.0055e-09,0.0104
0.01503,2.01963e-08,0.0024
0.0193,5.47014e-08,0.0013
0.02187,4.66589e-08,0.0014
0.02358,3.76865e-08,0.0014
0.02418,1.47546e-08,0.0023
0.02479,1.61607e-08,0.0021
0.02606,3.48918e-08,0.0014
0.027,2.87781e-08,0.0016
0.0285,6.14113e-08,0.001
0.03183,2.25266e-07,0.0004
0.03431,2.83707e-06,0.0001
0.04087,4.68251e-06,0.0001
0.04631,4.84093e-09,0.0049
0.05248,1.05239e-08,0.0038
0.05656,1.82874e-08,0.0024
0.06738,1.2653e-06,0.0002
0.07202,2.80874e-08,0.002
0.0795,2.05504e-07,0.0007
0.0825,4.86258e-07,0.0004
0.08652,7.27644e-06,0.0001
0.09804,9.12907e-07,0.0002
0.1111,4.24828e-08,0.0017
0.1168,5.19451e-08,0.0015
0.1228,1.1817e-06,0.0002
0.1291,1.75563e-08,0.0026
0.1357,2.74567e-08,0.002
0.1426,3.78488e-08,0.0017
0.15,4.72323e-08,0.0015
0.1576,5.20083e-08,0.0014
0.1657,7.37592e-08,0.0012
0.1742,1.39528e-07,0.0008
0.1832,1.22728e-06,0.0002
0.1925,5.3698e-08,0.0014
0.2024,6.93398e-08,0.0012
0.2128,9.67769e-08,0.001
0.2237,1.76623e-07,0.0007
0.2352,3.42858e-06,0.0001
0.2472,7.68477e-08,0.0009
0.2732,4.88582e-08,0.0015
0.2872,4.55063e-08,0.0015
0.2945,3.13557e-08,0.0018
0.2972,1.20386e-08,0.0029
0.2985,7.64862e-09,0.0037
0.302,2.41248e-08,0.0019
0.3337,2.62473e-07,0.0005
0.3688,9.02488e-07,0.0002
0.3877,8.06862e-07,0.0002
0.4076,8.18123e-07,0.0002
0.4505,1.60197e-06,0.0002
0.4979,1.5374e-06,0.0002
0.5234,7.37528e-07,0.0003
0.5502,7.13889e-07,0.0003
0.5784,6.88666e-07,0.0003
0.6081,6.591e-07,0.0003
0.6393,6.07456e-07,0.0003
0.6721,5.47672e-07,0.0003
0.7065,4.85832e-07,0.0003
0.7427,4.18288e-07,0.0003
0.7808,3.39398e-07,0.0004
0.8209,2.7399e-07,0.0004
0.8629,1.39915e-07,0.0005
0.9072,6.84004e-08,0.0008
0.9617,5.52268e-08,0.0009
1.003,2.8639e-08,0.0013
1.108,4.67561e-08,0.0011
1.165,1.80025e-08,0.0018
1.225,1.53588e-08,0.0019
1.287,1.28475e-08,0.0021
1.353,1.10901e-08,0.0023
1.423,9.67748e-09,0.0025
1.496,8.31429e-09,0.0027
1.572,7.22199e-09,0.0029
1.653,6.44509e-09,0.0035
1.738,5.56408e-09,0.0033
1.827,4.63341e-09,0.0037
1.921,4.15807e-09,0.0046
2.019,3.82374e-09,0.0042
2.122,3.66867e-09,0.0043
2.231,3.43766e-09,0.0045
2.307,2.04385e-09,0.0058
2.346,9.45993e-10,0.0084
2.365,4.35309e-10,0.0128
2.385,4.39788e-10,0.0122
2.466,1.65543e-09,0.0064
2.592,2.35738e-09,0.0053
2.725,2.24783e-09,0.0054
2.865,2.20084e-09,0.0056
3.012,2.1132e-09,0.0056
3.166,1.74852e-09,0.0064
3.329,1.6807e-09,0.0062
3.679,3.07669e-09,0.0049
4.066,2.67173e-09,0.0051
4.493,2.36713e-09,0.0054
4.724,1.10934e-09,0.0075
4.966,1.06627e-09,0.0081
