Energy,Value,Error
1e-07,1.99471e-12,0.1116
4.14e-07,4.22554e-11,0.027
5.316e-07,2.95126e-11,0.0343
6.826e-07,4.52234e-11,0.0292
8.764e-07,6.88573e-11,0.0253
1.125e-06,1.03626e-10,0.0203
1.445e-06,1.46529e-10,0.0198
1.855e-06,2.07151e-10,0.0154
2.382e-06,2.88307e-10,0.0299
3.059e-06,3.96723e-10,0.0115
3.928e-06,5.50698e-10,0.0109
5.043e-06,7.65762e-10,0.0087
6.476e-06,1.08734e-09,0.0073
8.315e-06,1.54228e-09,0.0065
1.068e-05,2.2145e-09,0.0052
1.371e-05,3.10112e-09,0.0044
1.76e-05,4.4372e-09,0.0037
2.26e-05,6.3721e-09,0.0031
2.902e-05,9.09583e-09,0.0026
3.727e-05,1.30269e-08,0.0022
4.785e-05,1.87488e-08,0.0019
6.144e-05,2.7058e-08,0.0016
7.889e-05,3.90198e-08,0.0013
0.0001013,5.61051e-08,0.0011
0.0001301,8.07683e-08,0.0009
0.000167,1.15691e-07,0.0008
0.0002145,1.65668e-07,0.0006
0.0002754,2.34287e-07,0.0005
0.0003536,3.26145e-07,0.0005
0.000454,4.4383e-07,0.0004
0.0005829,5.7993e-07,0.0003
0.0007485,7.09323e-07,0.0003
0.0009611,7.75511e-07,0.0003
0.001234,7.07705e-07,0.0003
0.001585,4.83191e-07,0.0004
0.002035,2.00275e-07,0.0006
0.002249,2.33534e-08,0.002
0.002485,7.74168e-09,0.0034
0.002613,1.14979e-09,0.0095
0.002747,4.40236e-10,0.0187
0.003035,5.14404e-10,0.0157
0.003355,2.41388e-09,0.0099
0.003707,8.73041e-09,0.0051
0.004307,3.82337e-08,0.0017
0.005531,1.73817e-07,0.0008
0.007102,3.47921e-07,0.0005
0.009119,5.32774e-07,0.0004
0.01059,4.0773e-07,0.0004
0.01171,3.11871e-07,0.0005
0.01503,9.08256e-07,0.0003
0.0193,1.08948e-06,0.0003
0.02187,6.02047e-07,0.0003
0.02358,3.79065e-07,0.0004
0.02418,1.28855e-07,0.0007
0.02479,1.29106e-07,0.0007
0.02606,2.61848e-07,0.0005
0.027,1.88282e-07,0.0006
0.0285,2.90617e-07,0.0005
0.03183,6.05101e-07,0.0003
0.03431,4.16283e-07,0.0004
0.04087,9.62648e-07,0.0003
0.04631,6.94318e-07,0.0003
0.05248,4.45501e-07,0.0004
0.05656,1.33719e-07,0.0008
0.06738,8.35553e-07,0.0003
0.07202,3.3617e-07,0.0005
0.0795,4.96866e-07,0.0004
0.0825,1.86312e-07,0.0006
0.08652,2.39783e-07,0.0005
0.09804,6.3415e-07,0.0003
0.1111,6.48611e-07,0.0003
0.1168,2.76594e-07,0.0005
0.1228,2.88008e-07,0.0005
0.1291,2.98188e-07,0.0005
0.1357,3.06817e-07,0.0005
0.1426,3.15523e-07,0.0005
0.15,3.29078e-07,0.0005
0.1576,3.335e-07,0.0005
0.1657,3.50401e-07,0.0004
0.1742,3.64673e-07,0.0005
0.1832,3.61728e-07,0.0004
0.1925,3.20598e-07,0.0005
0.2024,1.72753e-07,0.0007
0.2128,2.02914e-07,0.0006
0.2237,2.54857e-07,0.0005
0.2352,2.68596e-07,0.0005
0.2472,1.51299e-07,0.0008
0.2732,7.80001e-07,0.0003
0.2872,4.82173e-07,0.0004
0.2945,3.02239e-07,0.0004
0.2972,1.81703e-07,0.0005
0.2985,7.2489e-08,0.0009
0.302,4.16318e-08,0.0014
0.3337,7.8224e-07,0.0003
0.3688,8.59695e-07,0.0003
0.3877,3.10835e-07,0.0005
0.4076,2.28771e-07,0.0006
0.4505,6.90419e-07,0.0003
0.4979,1.0979e-06,0.0002
0.5234,7.44843e-07,0.0003
0.5502,4.4379e-07,0.0004
0.5784,2.75463e-07,0.0005
