Energy,Time,Value,Error
0.01,0s,7.93545e-14,0.0257
0.01,2.7h,7.79638e-14,0.0257
0.01,24h,6.81131e-14,0.0257
0.01,11.6d,1.35437e-14,0.0257
0.01,30d,8.11614e-16,0.0257
0.01,10y,0.0,0.0
0.02,0s,0.0,0.0
0.02,2.7h,0.0,0.0
0.02,24h,0.0,0.0
0.02,11.6d,0.0,0.0
0.02,30d,0.0,0.0
0.02,10y,0.0,0.0
0.05,0s,2.33247e-13,0.0144
0.05,2.7h,2.29159e-13,0.0144
0.05,24h,2.00205e-13,0.0144
0.05,11.6d,3.98092e-14,0.0144
0.05,30d,2.38558e-15,0.0144
0.05,10y,0.0,0.0
0.1,0s,3.58049e-10,0.0004
0.1,2.7h,3.51775e-10,0.0004
0.1,24h,3.07328e-10,0.0004
0.1,11.6d,6.11097e-11,0.0004
0.1,30d,3.66202e-12,0.0004
0.1,10y,0.0,0.0
0.2,0s,2.84484e-09,0.0001
0.2,2.7h,2.79499e-09,0.0001
0.2,24h,2.44184e-09,0.0001
0.2,11.6d,4.85541e-10,0.0001
0.2,30d,2.90962e-11,0.0001
0.2,10y,0.0,0.0
0.3,0s,2.50851e-09,0.0001
0.3,2.7h,2.46455e-09,0.0001
0.3,24h,2.15315e-09,0.0001
0.3,11.6d,4.28137e-10,0.0001
0.3,30d,2.56562e-11,0.0001
0.3,10y,0.0,0.0
0.4,0s,1.88946e-09,0.0002
0.4,2.7h,1.85635e-09,0.0002
0.4,24h,1.6218e-09,0.0002
0.4,11.6d,3.22482e-10,0.0002
0.4,30d,1.93248e-11,0.0002
0.4,10y,0.0,0.0
0.6,0s,2.86803e-09,0.0001
0.6,2.7h,2.81777e-09,0.0001
0.6,24h,2.46174e-09,0.0001
0.6,11.6d,4.89498e-10,0.0001
0.6,30d,2.93333e-11,0.0001
0.6,10y,0.0,0.0
0.8,0s,1.84072e-09,0.0001
0.8,2.7h,1.80846e-09,0.0001
0.8,24h,1.57996e-09,0.0001
0.8,11.6d,3.14163e-10,0.0001
0.8,30d,1.88263e-11,0.0001
0.8,10y,0.0,0.0
1.0,0s,1.75003e-09,0.0001
1.0,2.7h,1.71936e-09,0.0001
1.0,24h,1.50212e-09,0.0001
1.0,11.6d,2.98684e-10,0.0001
1.0,30d,1.78987e-11,0.0001
1.0,10y,0.0,0.0
1.22,0s,1.39529e-09,0.0001
1.22,2.7h,1.37084e-09,0.0001
1.22,24h,1.19763e-09,0.0001
1.22,11.6d,2.3814e-10,0.0001
1.22,30d,1.42706e-11,0.0001
1.22,10y,0.0,0.0
1.44,0s,6.02446e-09,0.0001
1.44,2.7h,5.91888e-09,0.0001
1.44,24h,5.17103e-09,0.0001
1.44,11.6d,1.02822e-09,0.0001
1.44,30d,6.16163e-11,0.0001
1.44,10y,0.0,0.0
1.66,0s,3.74796e-13,0.0077
1.66,2.7h,3.68228e-13,0.0077
1.66,24h,3.21702e-13,0.0077
1.66,11.6d,6.3968e-14,0.0077
1.66,30d,3.8333e-15,0.0077
1.66,10y,0.0,0.0
2.0,0s,3.05495e-12,0.0031
2.0,2.7h,3.00141e-12,0.0031
2.0,24h,2.62218e-12,0.0031
2.0,11.6d,5.214e-13,0.0031
2.0,30d,3.12451e-14,0.0031
2.0,10y,0.0,0.0
2.5,0s,0.0,0.0
2.5,2.7h,0.0,0.0
2.5,24h,0.0,0.0
2.5,11.6d,0.0,0.0
2.5,30d,0.0,0.0
2.5,10y,0.0,0.0
3.0,0s,0.0,0.0
3.0,2.7h,0.0,0.0
3.0,24h,0.0,0.0
3.0,11.6d,0.0,0.0
3.0,30d,0.0,0.0
3.0,10y,0.0,0.0
4.0,0s,0.0,0.0
4.0,2.7h,0.0,0.0
4.0,24h,0.0,0.0
4.0,11.6d,0.0,0.0
4.0,30d,0.0,0.0
4.0,10y,0.0,0.0
5.0,0s,0.0,0.0
5.0,2.7h,0.0,0.0
5.0,24h,0.0,0.0
5.0,11.6d,0.0,0.0
5.0,30d,0.0,0.0
5.0,10y,0.0,0.0
6.5,0s,0.0,0.0
6.5,2.7h,0.0,0.0
6.5,24h,0.0,0.0
6.5,11.6d,0.0,0.0
6.5,30d,0.0,0.0
6.5,10y,0.0,0.0
8.0,0s,0.0,0.0
8.0,2.7h,0.0,0.0
8.0,24h,0.0,0.0
8.0,11.6d,0.0,0.0
8.0,30d,0.0,0.0
8.0,10y,0.0,0.0
10.0,0s,0.0,0.0
10.0,2.7h,0.0,0.0
10.0,24h,0.0,0.0
10.0,11.6d,0.0,0.0
10.0,30d,0.0,0.0
10.0,10y,0.0,0.0
12.0,0s,0.0,0.0
12.0,2.7h,0.0,0.0
12.0,24h,0.0,0.0
12.0,11.6d,0.0,0.0
12.0,30d,0.0,0.0
12.0,10y,0.0,0.0
14.0,0s,0.0,0.0
14.0,2.7h,0.0,0.0
14.0,24h,0.0,0.0
14.0,11.6d,0.0,0.0
14.0,30d,0.0,0.0
14.0,10y,0.0,0.0
20.0,0s,0.0,0.0
20.0,2.7h,0.0,0.0
20.0,24h,0.0,0.0
20.0,11.6d,0.0,0.0
20.0,30d,0.0,0.0
20.0,10y,0.0,0.0
