Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,8.632671473370484e-13,0.1384
5.316e-07,1.2470575333327122e-11,0.0928
6.826e-07,4.5285592035045925e-11,0.0561
8.764e-07,1.3180076550232848e-10,0.0292
1.125e-06,3.6208495299007095e-10,0.0239
1.445e-06,8.960185670729881e-10,0.0134
1.855e-06,2.1065447346993217e-09,0.0082
2.382e-06,4.444368463640884e-09,0.0056
3.059e-06,8.658168417001175e-09,0.004
3.928e-06,1.599585188158081e-08,0.0029
5.043e-06,2.7567892313358728e-08,0.0022
6.476e-06,4.501605276761523e-08,0.0017
8.315e-06,6.987571764649823e-08,0.0014
1.068e-05,1.049759072682246e-07,0.0011
1.371e-05,1.4732375620658744e-07,0.001
1.76e-05,2.0167318974659292e-07,0.0008
2.26e-05,2.6659800949081705e-07,0.0007
2.902e-05,3.410281906483158e-07,0.0007
3.727e-05,4.2453048985775536e-07,0.0006
4.785e-05,5.136976343100817e-07,0.0005
6.144e-05,6.049922700140049e-07,0.0005
7.889e-05,6.948943778227407e-07,0.0004
0.0001013,7.797643955546736e-07,0.0005
0.0001301,8.524002043726982e-07,0.0004
0.000167,9.108839406672208e-07,0.0004
0.0002145,9.508583966259142e-07,0.0005
0.0002754,9.72303174525593e-07,0.0005
0.0003536,9.771596998290006e-07,0.0005
0.000454,9.680837050471585e-07,0.0005
0.0005829,9.493736970538956e-07,0.0005
0.0007485,9.232468220276527e-07,0.0005
0.0009611,8.858702815218658e-07,0.0005
0.001234,8.282982706674369e-07,0.0006
0.001585,7.378972145873268e-07,0.0006
0.002035,6.022053937327601e-07,0.0007
0.002249,4.752712206253735e-07,0.0013
0.002485,3.913967275888129e-07,0.0014
0.002613,3.2360717922442943e-07,0.0022
0.002747,2.7388291965174565e-07,0.0024
0.003035,2.0102702556083658e-07,0.002
0.003355,1.0927536113648471e-07,0.0027
0.003707,3.8319893641537755e-08,0.0046
0.004307,4.651554000783988e-09,0.011
0.005531,1.1940213180521528e-08,0.0065
0.007102,1.2364334059263452e-08,0.0056
0.009119,2.8188276248512784e-07,0.0011
0.01059,4.2080772660272696e-08,0.0038
0.01171,1.400166858664936e-08,0.0091
0.01503,2.6008691010740966e-08,0.0041
0.0193,9.087931872213919e-08,0.0022
0.02187,7.556062856957286e-07,0.0009
0.02358,1.3780789386144923e-07,0.0034
0.02418,2.5538316350483506e-07,0.004
0.02479,3.1236708467851923e-07,0.0036
0.02606,4.086829283012899e-07,0.0022
0.027,5.410876465014022e-07,0.0023
0.0285,7.567764541747327e-07,0.0015
0.03183,8.75614362593586e-07,0.001
0.03431,1.7019599919184872e-06,0.0008
0.04087,5.640472992019176e-06,0.0003
0.04631,6.90398363805388e-06,0.0003
0.05248,2.6021428654032134e-05,0.0001
0.05656,5.3851030135374815e-06,0.0005
0.06738,6.693775073600158e-05,0.0001
0.07202,5.693842907690546e-07,0.0018
0.0795,4.380975013160052e-06,0.0005
0.0825,5.825690917476794e-06,0.0006
0.08652,5.533268116289477e-06,0.0006
0.09804,8.816162992201928e-06,0.0003
0.1111,2.5805816953876223e-05,0.0001
0.1168,1.6986081937093006e-06,0.001
0.1228,9.74059832767358e-07,0.0016
0.1291,1.5508127614307047e-06,0.0013
0.1357,1.2634822226309697e-05,0.0003
0.1426,1.4645499970629734e-06,0.0013
0.15,1.2549922600942663e-05,0.0003
0.1576,1.3703623648674058e-05,0.0003
0.1657,2.0426089260003012e-06,0.0009
0.1742,2.190178778728332e-06,0.0009
0.1832,1.448073180726215e-06,0.0011
0.1925,1.2193942405599273e-06,0.0013
0.2024,2.4467303940843773e-06,0.0008
0.2128,1.4215310395467762e-06,0.0015
0.2237,4.622935293615824e-06,0.0006
0.2352,3.6839361605347076e-06,0.0006
0.2472,1.2787855626540042e-06,0.0014
0.2732,7.829438750476152e-06,0.0003
0.2872,1.6730122270696351e-06,0.0011
0.2945,1.7399167855470542e-06,0.0014
0.2972,1.1158179238667534e-06,0.0031
0.2985,1.1324628518399104e-06,0.0046
0.302,8.855816360100151e-07,0.0032
0.3337,1.6386654946087883e-06,0.0007
0.3688,2.756296324831094e-06,0.0005
0.3877,3.5103699873721058e-06,0.0006
0.4076,1.810514108552144e-06,0.0009
0.4505,2.335413740444035e-06,0.0006
0.4979,1.7338960405673906e-06,0.0007
0.5234,3.1750623019262515e-06,0.0007
0.5502,3.517512377830614e-06,0.0006
0.5784,3.980848014992896e-06,0.0006
0.6081,1.7120034901786151e-06,0.001
0.6393,3.2675863034689545e-06,0.0006
0.6721,1.7270973661724374e-06,0.0009
0.7065,1.4953783470001254e-06,0.001
0.7427,1.5637817776847357e-06,0.001
0.7808,2.6432810643290995e-06,0.0007
0.8209,1.9028512671497943e-06,0.0009
0.8629,2.1143139138931473e-06,0.0008
0.9072,8.822525383066615e-07,0.0014
0.9617,1.0630563129171998e-06,0.0011
1.003,1.065231362871365e-06,0.0013
1.108,1.1110164808114712e-06,0.0008
1.165,6.958127941019119e-07,0.0015
1.225,7.228131353793662e-07,0.0014
1.287,7.232503352137799e-07,0.0014
1.353,5.904129511552284e-07,0.0017
1.423,6.433998642838435e-07,0.0015
1.496,4.747762990825177e-07,0.0018
1.572,5.208539500744072e-07,0.0017
1.653,3.492438031813822e-07,0.0023
1.738,3.398326648453409e-07,0.0021
1.827,2.8827848960862897e-07,0.0023
1.921,2.6097352497748953e-07,0.0024
2.019,2.531571001634146e-07,0.0024
2.122,2.3642041768084617e-07,0.0025
2.231,2.0790213679109544e-07,0.0027
2.307,2.0104415741835055e-07,0.0033
2.346,2.1277074183129744e-07,0.0045
2.365,2.3099023518964992e-07,0.0062
2.385,1.8652902269303708e-07,0.0067
2.466,1.8969090395592368e-07,0.0034
2.592,1.6934834456606107e-07,0.003
2.725,1.6274519918103905e-07,0.003
2.865,1.538413571198347e-07,0.0031
3.012,1.4899764157875224e-07,0.0031
3.166,1.388538732103646e-07,0.0032
3.329,1.2514691071574593e-07,0.0037
3.679,1.1143852640829219e-07,0.0025
4.066,9.992447506916234e-08,0.0026
4.493,9.033293967586012e-08,0.0028
4.724,8.556451675610109e-08,0.0039
4.966,8.445661124895581e-08,0.0038
5.22,8.480613006397593e-08,0.0039
5.488,8.436541335528848e-08,0.0037
5.77,8.329516575969638e-08,0.0038
6.065,8.295940160930102e-08,0.0037
6.376,8.139218327878427e-08,0.0037
6.592,8.025459083813031e-08,0.0045
6.703,7.980587466418608e-08,0.0065
7.047,8.029383378012317e-08,0.0036
7.408,8.090354508984145e-08,0.0035
7.788,8.182279573319876e-08,0.0035
8.187,8.4188353667615e-08,0.0034
8.607,8.517819719309067e-08,0.0033
9.048,8.949483215139708e-08,0.0032
9.512,9.55778804712114e-08,0.0031
10.0,1.2690568699069356e-07,0.0026
10.51,1.872444371598905e-07,0.0021
11.05,1.9837079178969698e-07,0.0021
11.62,2.1121402232164284e-07,0.0019
12.21,2.2148083129389922e-07,0.0019
12.52,2.2961479712524977e-07,0.0026
12.84,2.3541032843500072e-07,0.0025
13.5,2.388059121082426e-07,0.0018
13.84,2.0925922082733635e-07,0.0025
14.19,4.58266680779148e-08,0.0052
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
