Energy,Value,Error
1e-07,1.60646e-10,0.022
4.14e-07,6.73415e-10,0.0121
5.316e-07,2.54708e-10,0.0181
6.826e-07,3.24795e-10,0.0159
8.764e-07,4.03205e-10,0.0156
1.125e-06,5.16295e-10,0.014
1.445e-06,6.31093e-10,0.0112
1.855e-06,7.7551e-10,0.0105
2.382e-06,9.7389e-10,0.0096
3.059e-06,1.2048e-09,0.0085
3.928e-06,1.48137e-09,0.0075
5.043e-06,1.81639e-09,0.0068
6.476e-06,2.24927e-09,0.0066
8.315e-06,2.77777e-09,0.0054
1.068e-05,3.43189e-09,0.0049
1.371e-05,4.1765e-09,0.0048
1.76e-05,5.10601e-09,0.0041
2.26e-05,6.21768e-09,0.0037
2.902e-05,7.57089e-09,0.0033
3.727e-05,9.17658e-09,0.003
4.785e-05,1.10748e-08,0.0028
6.144e-05,1.34031e-08,0.0026
7.889e-05,1.60736e-08,0.0023
0.0001013,1.92178e-08,0.0021
0.0001301,2.28967e-08,0.0019
0.000167,2.71016e-08,0.0018
0.0002145,3.19288e-08,0.0016
0.0002754,3.72204e-08,0.0015
0.0003536,4.32336e-08,0.0014
0.000454,4.95877e-08,0.0013
0.0005829,5.6497e-08,0.0012
0.0007485,6.34602e-08,0.0011
0.0009611,7.05738e-08,0.0011
0.001234,7.72067e-08,0.001
0.001585,8.40707e-08,0.001
0.002035,9.17746e-08,0.0009
0.002249,3.95428e-08,0.0014
0.002485,4.20485e-08,0.0013
0.002613,2.24234e-08,0.0018
0.002747,2.33169e-08,0.0018
0.003035,5.10874e-08,0.0012
0.003355,6.24153e-08,0.0011
0.003707,1.14081e-07,0.0008
0.004307,4.4453e-07,0.0003
0.005531,1.6466e-07,0.0007
0.007102,1.96652e-07,0.0006
0.009119,2.1703e-07,0.0006
0.01059,1.89887e-07,0.0006
0.01171,1.86719e-07,0.0006
0.01503,2.03036e-06,0.0002
0.0193,5.80535e-06,0.0001
0.02187,3.5258e-07,0.0005
0.02358,2.91338e-07,0.0005
0.02418,1.05737e-07,0.0009
0.02479,1.08392e-07,0.0009
0.02606,2.29051e-07,0.0006
0.027,1.54441e-07,0.0008
0.0285,2.74983e-07,0.0005
0.03183,6.16883e-07,0.0004
0.03431,4.95946e-07,0.0004
0.04087,1.58178e-06,0.0002
0.04631,1.67192e-07,0.0007
0.05248,4.76567e-07,0.0004
0.05656,3.11718e-07,0.0005
0.06738,8.98946e-07,0.0003
0.07202,1.62005e-06,0.0002
0.0795,4.75929e-07,0.0004
0.0825,1.67392e-07,0.0007
0.08652,2.63355e-07,0.0006
0.09804,8.07316e-07,0.0003
0.1111,8.27677e-07,0.0003
0.1168,6.06784e-07,0.0003
0.1228,3.91663e-07,0.0005
0.1291,4.46698e-07,0.0004
0.1357,6.22397e-07,0.0003
0.1426,5.87322e-07,0.0004
0.15,1.09799e-06,0.0002
0.1576,6.17982e-07,0.0003
0.1657,3.98983e-07,0.0004
0.1742,4.71974e-07,0.0004
0.1832,5.66731e-07,0.0004
0.1925,5.506e-07,0.0004
0.2024,5.6698e-07,0.0004
0.2128,5.71993e-07,0.0004
0.2237,5.70517e-07,0.0004
0.2352,5.79466e-07,0.0004
0.2472,5.89231e-07,0.0004
0.2732,1.20334e-06,0.0003
0.2872,5.97338e-07,0.0004
0.2945,3.04292e-07,0.0005
0.2972,1.10068e-07,0.0008
0.2985,5.26965e-08,0.0012
0.302,1.41075e-07,0.0007
0.3337,1.19356e-06,0.0003
0.3688,1.14232e-06,0.0003
0.3877,5.60451e-07,0.0004
0.4076,4.53423e-07,0.0004
0.4505,6.29086e-07,0.0004
0.4979,6.37015e-07,0.0004
0.5234,3.19543e-07,0.0005
0.5502,3.19416e-07,0.0005
0.5784,3.20014e-07,0.0005
0.6081,3.20951e-07,0.0005
0.6393,3.20781e-07,0.0005
0.6721,3.20874e-07,0.0005
0.7065,3.20265e-07,0.0005
0.7427,3.18847e-07,0.0005
0.7808,3.18204e-07,0.0005
0.8209,3.17142e-07,0.0005
0.8629,3.13966e-07,0.0005
0.9072,3.14183e-07,0.0005
0.9617,3.66024e-07,0.0005
1.003,2.64864e-07,0.0006
1.108,6.21214e-07,0.0004
1.165,3.07447e-07,0.0005
1.225,3.03263e-07,0.0005
1.287,2.90255e-07,0.0005
1.353,2.79384e-07,0.0005
1.423,2.65078e-07,0.0005
1.496,2.43996e-07,0.0006
1.572,2.18203e-07,0.0006
1.653,1.93038e-07,0.0006
1.738,1.62858e-07,0.0007
1.827,1.31315e-07,0.0007
1.921,1.03582e-07,0.0009
2.019,8.1156e-08,0.001
2.122,6.31418e-08,0.0011
2.231,4.67554e-08,0.0012
2.307,2.35224e-08,0.0017
2.346,1.02962e-08,0.0026
2.365,4.72797e-09,0.0038
2.385,4.70205e-09,0.0038
2.466,1.72961e-08,0.002
2.592,2.28909e-08,0.0017
2.725,2.01876e-08,0.0019
2.865,1.72828e-08,0.002
3.012,1.4994e-08,0.0021
3.166,1.34832e-08,0.0022
3.329,1.1999e-08,0.0023
3.679,1.9625e-08,0.002
4.066,1.49655e-08,0.0021
4.493,1.35569e-08,0.0022
4.724,6.74566e-09,0.0032
4.966,6.67153e-09,0.0032
5.22,6.77841e-09,0.003
5.488,7.03143e-09,0.0029
5.77,7.38749e-09,0.0028
6.065,7.75111e-09,0.0027
6.376,8.06149e-09,0.0026
6.592,5.56293e-09,0.0031
6.703,2.83761e-09,0.0043
7.047,8.92725e-09,0.0025
7.408,9.34104e-09,0.0024
7.788,9.97995e-09,0.0023
8.187,1.09359e-08,0.0022
8.607,1.18897e-08,0.0021
9.048,1.25758e-08,0.0019
9.512,1.34478e-08,0.0021
10.0,1.68629e-08,0.0017
10.51,2.83373e-08,0.0012
11.05,3.09138e-08,0.0012
11.62,3.32466e-08,0.0011
12.21,3.41117e-08,0.0011
12.52,1.79874e-08,0.0015
12.84,1.84884e-08,0.0014
13.5,3.78381e-08,0.001
13.84,1.82387e-08,0.0014
14.19,5.11989e-09,0.0025
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
