Energy,Value,Error
1e-07,1.09943e-08,0.0018
4.14e-07,2.39246e-08,0.0014
5.316e-07,5.84461e-09,0.0031
6.826e-07,6.42516e-09,0.003
8.764e-07,7.11493e-09,0.0028
1.125e-06,7.82654e-09,0.0026
1.445e-06,8.64481e-09,0.0026
1.855e-06,9.4749e-09,0.0024
2.382e-06,1.04331e-08,0.0023
3.059e-06,1.15101e-08,0.0022
3.928e-06,1.25668e-08,0.0022
5.043e-06,1.37978e-08,0.002
6.476e-06,1.49717e-08,0.002
8.315e-06,1.63012e-08,0.0019
1.068e-05,1.79327e-08,0.0018
1.371e-05,1.91931e-08,0.0018
1.76e-05,2.0711e-08,0.0017
2.26e-05,2.24518e-08,0.0017
2.902e-05,2.4147e-08,0.0015
3.727e-05,2.60005e-08,0.0015
4.785e-05,2.78958e-08,0.0015
6.144e-05,2.97736e-08,0.0014
7.889e-05,3.17606e-08,0.0013
0.0001013,3.37838e-08,0.0012
0.0001301,3.5982e-08,0.0012
0.000167,3.79328e-08,0.0012
0.0002145,4.02868e-08,0.0011
0.0002754,4.25764e-08,0.0011
0.0003536,4.4734e-08,0.0011
0.000454,7.28419e-08,0.0009
0.0005829,7.76511e-08,0.0009
0.0007485,8.19328e-08,0.0008
0.0009611,8.66367e-08,0.0008
0.001234,9.22626e-08,0.0007
0.001585,9.96959e-08,0.0007
0.002035,1.13858e-07,0.0007
0.002249,5.49653e-08,0.0009
0.002485,6.31198e-08,0.001
0.002613,3.71944e-08,0.0012
0.002747,4.12355e-08,0.0011
0.003035,1.24268e-07,0.0006
0.003355,6.77816e-07,0.0002
0.003707,6.16037e-08,0.001
0.004307,1.18295e-07,0.0007
0.005531,2.46654e-07,0.0005
0.007102,2.98534e-07,0.0004
0.009119,3.40008e-07,0.0004
0.01059,2.63814e-07,0.0005
0.01171,5.52337e-07,0.0003
0.01503,1.51704e-06,0.0002
0.0193,2.07721e-06,0.0001
0.02187,8.72456e-07,0.0002
0.02358,1.6739e-07,0.0006
0.02418,5.57745e-08,0.0011
0.02479,7.11807e-08,0.0009
0.02606,3.35459e-07,0.0004
0.027,4.51151e-08,0.0013
0.0285,1.38263e-07,0.0007
0.03183,1.36461e-06,0.0002
0.03431,1.26501e-07,0.0007
0.04087,5.64071e-07,0.0003
0.04631,3.19402e-07,0.0005
0.05248,8.52699e-07,0.0002
0.05656,5.67663e-07,0.0003
0.06738,1.33488e-06,0.0002
0.07202,5.029e-07,0.0003
0.0795,7.28663e-07,0.0003
0.0825,2.74002e-07,0.0004
0.08652,3.42113e-07,0.0004
0.09804,9.04965e-07,0.0002
0.1111,8.86332e-07,0.0002
0.1168,3.51048e-07,0.0004
0.1228,3.53475e-07,0.0004
0.1291,3.52653e-07,0.0004
0.1357,3.42455e-07,0.0004
0.1426,3.36268e-07,0.0004
0.15,3.4208e-07,0.0004
0.1576,3.30232e-07,0.0004
0.1657,3.28187e-07,0.0004
0.1742,3.24526e-07,0.0004
0.1832,3.15342e-07,0.0004
0.1925,3.01997e-07,0.0004
0.2024,3.01345e-07,0.0004
0.2128,2.94959e-07,0.0004
0.2237,2.88154e-07,0.0004
0.2352,2.85867e-07,0.0004
0.2472,2.84259e-07,0.0004
0.2732,5.53241e-07,0.0003
0.2872,2.61927e-07,0.0005
0.2945,1.30159e-07,0.0008
0.2972,4.73497e-08,0.0011
0.2985,2.26175e-08,0.0016
0.302,6.03474e-08,0.001
0.3337,4.93356e-07,0.0003
0.3688,4.74946e-07,0.0004
0.3877,2.3006e-07,0.0005
0.4076,2.2802e-07,0.0005
0.4505,4.34214e-07,0.0004
0.4979,4.12159e-07,0.0004
0.5234,1.99067e-07,0.0006
0.5502,1.9325e-07,0.0006
0.5784,1.88256e-07,0.0006
0.6081,1.84376e-07,0.0006
0.6393,1.80193e-07,0.0006
0.6721,1.76297e-07,0.0006
0.7065,1.71395e-07,0.0006
0.7427,1.62357e-07,0.0006
0.7808,1.5247e-07,0.0006
0.8209,1.43406e-07,0.0006
0.8629,1.32672e-07,0.0007
0.9072,1.24781e-07,0.0007
0.9617,1.30727e-07,0.0007
1.003,7.997e-08,0.0008
1.108,8.60083e-08,0.0009
1.165,3.57883e-08,0.0014
1.225,3.08238e-08,0.0015
1.287,2.53931e-08,0.0016
1.353,2.11382e-08,0.0018
1.423,1.69615e-08,0.002
1.496,1.30343e-08,0.0022
1.572,9.76629e-09,0.0026
1.653,7.60519e-09,0.003
1.738,5.66483e-09,0.0033
1.827,4.31134e-09,0.004
1.921,3.34259e-09,0.0043
2.019,2.7671e-09,0.0046
2.122,2.61726e-09,0.0048
2.231,2.52472e-09,0.0052
2.307,1.533e-09,0.0061
2.346,7.21482e-10,0.0089
2.365,3.31602e-10,0.0138
2.385,3.20632e-10,0.0127
2.466,1.26027e-09,0.0074
2.592,1.71029e-09,0.0061
2.725,1.63619e-09,0.0058
2.865,1.50787e-09,0.0063
3.012,1.31085e-09,0.0064
3.166,1.23721e-09,0.0067
3.329,1.14357e-09,0.007
3.679,2.01716e-09,0.0052
4.066,1.79529e-09,0.0052
4.493,1.35793e-09,0.006
4.724,6.30442e-10,0.0086
4.966,6.53045e-10,0.0086
5.22,6.54261e-10,0.0086
5.488,6.65909e-10,0.0081
5.77,6.55955e-10,0.008
6.065,6.94067e-10,0.0083
6.376,7.00072e-10,0.0077
6.592,4.8102e-10,0.0093
6.703,2.43338e-10,0.0129
7.047,7.44659e-10,0.0077
7.408,7.62565e-10,0.0069
7.788,7.86041e-10,0.0069
8.187,8.27391e-10,0.0076
8.607,8.59816e-10,0.0063
9.048,9.07926e-10,0.0061
9.512,9.60363e-10,0.0058
10.0,1.32341e-09,0.0051
10.51,2.223e-09,0.004
11.05,2.4852e-09,0.0035
11.62,2.75881e-09,0.0032
12.21,3.02783e-09,0.0031
12.52,1.63348e-09,0.0041
12.84,1.72346e-09,0.004
13.5,3.70572e-09,0.0028
13.84,1.7997e-09,0.004
14.19,3.73462e-10,0.0085
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
