Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,8.29503e-13,0.1718
1.445e-06,1.67892e-12,0.1221
1.855e-06,1.68138e-12,0.1203
2.382e-06,2.42961e-12,0.1003
3.059e-06,2.1361e-12,0.1089
3.928e-06,9.6993e-13,0.1843
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,7.38311e-13,0.1723
1.068e-05,4.12858e-11,0.0255
1.371e-05,1.55733e-10,0.0145
1.76e-05,2.43324e-10,0.0122
2.26e-05,1.25636e-10,0.0153
2.902e-05,2.92119e-10,0.0119
3.727e-05,7.04166e-10,0.0077
4.785e-05,5.00112e-10,0.0084
6.144e-05,8.30357e-10,0.007
7.889e-05,1.54314e-09,0.0053
0.0001013,1.20003e-09,0.0056
0.0001301,1.6491e-09,0.0048
0.000167,1.89931e-09,0.0048
0.0002145,3.1053e-09,0.0036
0.0002754,3.26579e-09,0.0035
0.0003536,5.73728e-09,0.0027
0.000454,5.69494e-09,0.0025
0.0005829,9.70477e-09,0.002
0.0007485,1.20915e-08,0.0019
0.0009611,1.62174e-08,0.0016
0.001234,2.05175e-08,0.0014
0.001585,2.59856e-08,0.0012
0.002035,3.50597e-08,0.0011
0.002249,1.65753e-08,0.0015
0.002485,1.74099e-08,0.0015
0.002613,9.28999e-09,0.0021
0.002747,1.11935e-08,0.0018
0.003035,1.97871e-08,0.0014
0.003355,2.6658e-08,0.0012
0.003707,2.38526e-08,0.0013
0.004307,4.93089e-08,0.0009
0.005531,9.74274e-08,0.0006
0.007102,1.07952e-07,0.0006
0.009119,1.51146e-07,0.0005
0.01059,1.12407e-07,0.0006
0.01171,8.68329e-08,0.0006
0.01503,2.62001e-07,0.0004
0.0193,3.39029e-07,0.0003
0.02187,2.06015e-07,0.0004
0.02358,1.39541e-07,0.0005
0.02418,4.92875e-08,0.0009
0.02479,5.03787e-08,0.0009
0.02606,1.05497e-07,0.0006
0.027,7.8692e-08,0.0007
0.0285,1.26563e-07,0.0005
0.03183,2.85574e-07,0.0004
0.03431,2.16492e-07,0.0004
0.04087,5.86321e-07,0.0003
0.04631,5.00507e-07,0.0003
0.05248,5.82799e-07,0.0003
0.05656,3.93058e-07,0.0003
0.06738,1.06697e-06,0.0002
0.07202,4.67885e-07,0.0003
0.0795,7.63395e-07,0.0002
0.0825,3.05933e-07,0.0004
0.08652,4.04163e-07,0.0003
0.09804,1.03001e-06,0.0002
0.1111,3.92757e-07,0.0004
0.1168,1.49509e-07,0.0006
0.1228,1.58179e-07,0.0006
0.1291,1.6732e-07,0.0006
0.1357,1.76488e-07,0.0005
0.1426,1.85379e-07,0.0005
0.15,1.9946e-07,0.0005
0.1576,2.05014e-07,0.0005
0.1657,2.17439e-07,0.0005
0.1742,2.26104e-07,0.0005
0.1832,2.38631e-07,0.0005
0.1925,2.45918e-07,0.0005
0.2024,2.61593e-07,0.0005
0.2128,2.73868e-07,0.0004
0.2237,2.85012e-07,0.0004
0.2352,2.98641e-07,0.0004
0.2472,3.10649e-07,0.0004
0.2732,6.67289e-07,0.0003
0.2872,3.56365e-07,0.0004
0.2945,1.85443e-07,0.0005
0.2972,6.85645e-08,0.0009
0.2985,3.31467e-08,0.0013
0.302,8.91072e-08,0.0008
0.3337,8.01879e-07,0.0003
0.3688,8.71884e-07,0.0003
0.3877,4.64159e-07,0.0003
0.4076,4.86716e-07,0.0003
0.4505,1.035e-06,0.0002
0.4979,1.12148e-06,0.0002
0.5234,5.91934e-07,0.0003
0.5502,6.11006e-07,0.0003
0.5784,6.27399e-07,0.0003
0.6081,6.42169e-07,0.0003
0.6393,6.50666e-07,0.0003
0.6721,6.54769e-07,0.0003
0.7065,6.55072e-07,0.0003
0.7427,6.50055e-07,0.0003
0.7808,6.42215e-07,0.0003
0.8209,6.27134e-07,0.0003
0.8629,6.09737e-07,0.0003
0.9072,5.97589e-07,0.0003
0.9617,6.62735e-07,0.0003
1.003,3.90672e-07,0.0004
1.108,6.46077e-07,0.0003
1.165,3.17952e-07,0.0004
1.225,3.1201e-07,0.0004
1.287,3.01377e-07,0.0004
1.353,2.9998e-07,0.0004
1.423,2.96435e-07,0.0004
1.496,2.85994e-07,0.0005
1.572,2.74395e-07,0.0005
1.653,2.70171e-07,0.0005
1.738,2.61139e-07,0.0005
1.827,2.5217e-07,0.0005
1.921,2.44974e-07,0.0005
2.019,2.33512e-07,0.0005
2.122,2.24371e-07,0.0005
2.231,2.17255e-07,0.0005
2.307,1.40468e-07,0.0006
2.346,6.88463e-08,0.0009
2.365,3.26963e-08,0.0013
2.385,3.38993e-08,0.0012
2.466,1.31892e-07,0.0006
2.592,1.89139e-07,0.0005
2.725,1.80931e-07,0.0005
2.865,1.72914e-07,0.0005
3.012,1.64226e-07,0.0005
3.166,1.55455e-07,0.0006
3.329,1.49108e-07,0.0006
3.679,2.77157e-07,0.0004
4.066,2.56923e-07,0.0004
4.493,2.45425e-07,0.0004
4.724,1.22241e-07,0.0006
4.966,1.23608e-07,0.0006
5.22,1.26073e-07,0.0006
5.488,1.30675e-07,0.0006
5.77,1.36313e-07,0.0005
6.065,1.41652e-07,0.0005
6.376,1.49389e-07,0.0005
6.592,1.03617e-07,0.0006
6.703,5.31608e-08,0.0009
7.047,1.64468e-07,0.0005
7.408,1.71693e-07,0.0005
7.788,1.79342e-07,0.0005
8.187,1.86624e-07,0.0005
8.607,1.94162e-07,0.0004
9.048,2.0153e-07,0.0004
9.512,2.09875e-07,0.0004
10.0,2.3889e-07,0.0004
10.51,5.0094e-07,0.0003
11.05,5.29064e-07,0.0003
11.62,5.58351e-07,0.0003
12.21,5.79132e-07,0.0002
12.52,3.0471e-07,0.0003
12.84,3.1525e-07,0.0003
13.5,6.51608e-07,0.0002
13.84,3.27864e-07,0.0003
14.19,1.31903e-07,0.0005
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
