Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,1.3980513273218682e-13,1.0
1.125e-06,4.298367985141862e-11,0.0545
1.445e-06,1.0419640872067597e-10,0.0349
1.855e-06,1.302758531171814e-10,0.0313
2.382e-06,1.760975127338667e-10,0.027
3.059e-06,2.2321461923554488e-10,0.0239
3.928e-06,2.6770187772574494e-10,0.0218
5.043e-06,3.5476220836883845e-10,0.0191
6.476e-06,4.689648635763614e-10,0.0165
8.315e-06,5.906550485292198e-10,0.0147
1.068e-05,7.520143257089384e-10,0.013
1.371e-05,9.522941615910624e-10,0.0116
1.76e-05,1.2286736281496668e-09,0.0102
2.26e-05,1.6114632342076166e-09,0.0089
2.902e-05,2.032384692524881e-09,0.008
3.727e-05,2.640171259287284e-09,0.007
4.785e-05,3.37886535869133e-09,0.0062
6.144e-05,4.319653288240194e-09,0.0054
7.889e-05,5.542586584397606e-09,0.0048
0.0001013,7.160405354233039e-09,0.0042
0.0001301,9.182790283353752e-09,0.0037
0.000167,1.1789999466816147e-08,0.0033
0.0002145,1.5133435819568053e-08,0.0029
0.0002754,1.9439301187215268e-08,0.0026
0.0003536,2.497489970418238e-08,0.0023
0.000454,3.2080311196960614e-08,0.002
0.0005829,4.1243854238503344e-08,0.0018
0.0007485,5.292663783632359e-08,0.0016
0.0009611,6.768603494727605e-08,0.0014
0.001234,8.708888769829423e-08,0.0012
0.001585,1.1210494434261184e-07,0.0011
0.002035,1.437737467646991e-07,0.0009
0.002249,1.7106935655557789e-07,0.0014
0.002485,1.8868492422632063e-07,0.0013
0.002613,2.0383732224859163e-07,0.0018
0.002747,2.1435532588645056e-07,0.0017
0.003035,2.307425727213676e-07,0.0012
0.003355,2.552934127184574e-07,0.0011
0.003707,2.8163651461655293e-07,0.0011
0.004307,3.1952353794757974e-07,0.0008
0.005531,3.909801430822477e-07,0.0006
0.007102,5.01396349397593e-07,0.0005
0.009119,6.442259663466533e-07,0.0004
0.01059,7.848344475577572e-07,0.0005
0.01171,8.888442999222315e-07,0.0006
0.01503,1.0619377505448411e-06,0.0003
0.0193,1.3634697171273816e-06,0.0003
0.02187,1.6470824987757383e-06,0.0004
0.02358,1.8707262857443508e-06,0.0005
0.02418,1.9822302287596575e-06,0.0008
0.02479,2.0380018963413355e-06,0.0008
0.02606,2.0951847885829096e-06,0.0006
0.027,2.0283449426444844e-06,0.0007
0.0285,2.111815575452405e-06,0.0005
0.03183,2.4049195022464996e-06,0.0003
0.03431,2.639028289503504e-06,0.0004
0.04087,3.0151845357518297e-06,0.0002
0.04631,3.5742893664124678e-06,0.0003
0.05248,3.848706664364106e-06,0.0003
0.05656,4.344858215894383e-06,0.0003
0.06738,4.938501487364587e-06,0.0002
0.07202,5.585922897728201e-06,0.0003
0.0795,6.118344752415609e-06,0.0002
0.0825,6.627742214645435e-06,0.0004
0.08652,6.906380700784821e-06,0.0003
0.09804,7.282258471595394e-06,0.0002
0.1111,1.972665849429259e-06,0.0004
0.1168,1.0149188654371907e-06,0.0008
0.1228,1.071476795414884e-06,0.0008
0.1291,1.1281347533192709e-06,0.0008
0.1357,1.1892974205859695e-06,0.0007
0.1426,1.2515429091800183e-06,0.0007
0.15,1.3165773560000015e-06,0.0007
0.1576,1.3828014432952884e-06,0.0007
0.1657,1.452430564301778e-06,0.0007
0.1742,1.524699381581356e-06,0.0006
0.1832,1.6022447813320621e-06,0.0006
0.1925,1.6848924221682743e-06,0.0006
0.2024,1.7730864116520658e-06,0.0006
0.2128,1.8579845996879603e-06,0.0006
0.2237,1.950843460865057e-06,0.0006
0.2352,2.052688741918823e-06,0.0006
0.2472,2.1536123190314286e-06,0.0005
0.2732,2.3101721001693582e-06,0.0004
0.2872,2.4712900043124193e-06,0.0005
0.2945,2.572708093327454e-06,0.0007
0.2972,2.6235467183053467e-06,0.0012
0.2985,2.6360370499282226e-06,0.0017
0.302,2.6602706609617636e-06,0.001
0.3337,2.8117513820579353e-06,0.0003
0.3688,3.106563921698131e-06,0.0003
0.3877,3.343214275845555e-06,0.0004
0.4076,3.5124544684040223e-06,0.0004
0.4505,3.7807163643711526e-06,0.0003
0.4979,4.200570347960835e-06,0.0003
0.5234,4.520735808945037e-06,0.0004
0.5502,4.762769834082485e-06,0.0004
0.5784,5.00557956987804e-06,0.0004
0.6081,5.2508832140912825e-06,0.0003
0.6393,5.52618851631374e-06,0.0003
0.6721,5.816484917775347e-06,0.0003
0.7065,6.116888647461066e-06,0.0003
0.7427,6.429627326871143e-06,0.0003
0.7808,6.75623319677684e-06,0.0003
0.8209,7.093888530851231e-06,0.0003
0.8629,7.441994576662714e-06,0.0003
0.9072,7.812740401188858e-06,0.0003
0.9617,8.221565555594792e-06,0.0003
1.003,8.077580187504513e-06,0.0003
1.108,9.397497557806723e-07,0.0006
1.165,1.0127759934641435e-06,0.0008
1.225,1.0637128336226261e-06,0.0008
1.287,1.1177182958640652e-06,0.0008
1.353,1.1733734554860277e-06,0.0007
1.423,1.236241642790978e-06,0.0007
1.496,1.299489709717715e-06,0.0007
1.572,1.364573055456209e-06,0.0007
1.653,1.4326875615494573e-06,0.0007
1.738,1.5083937189159083e-06,0.0006
1.827,1.5864798258559244e-06,0.0006
1.921,1.669910053464704e-06,0.0006
2.019,1.74983726327764e-06,0.0006
2.122,1.8412334100639892e-06,0.0006
2.231,1.9367798925281472e-06,0.0006
2.307,2.017009117958559e-06,0.0007
2.346,2.067243695824664e-06,0.001
2.365,2.0941025298698983e-06,0.0014
2.385,2.113547509835719e-06,0.0013
2.466,2.1572817262775258e-06,0.0007
2.592,2.245688727697231e-06,0.0005
2.725,2.361174829557105e-06,0.0005
2.865,2.4828381942819197e-06,0.0005
3.012,2.612501101176208e-06,0.0005
3.166,2.7421228431114263e-06,0.0005
3.329,2.883791969897277e-06,0.0005
3.679,3.107142669553239e-06,0.0003
4.066,3.4370859215985827e-06,0.0003
4.493,3.792995492261146e-06,0.0003
4.724,4.0851681293612335e-06,0.0004
4.966,4.293698973963054e-06,0.0004
5.22,4.514489655669271e-06,0.0004
5.488,4.742613412208639e-06,0.0004
5.77,4.985212986525888e-06,0.0004
6.065,5.23379693222854e-06,0.0003
6.376,5.5052754247323864e-06,0.0003
6.592,5.731776124117261e-06,0.0004
6.703,5.878271615920981e-06,0.0006
7.047,6.081526843223647e-06,0.0003
7.408,6.385179315850009e-06,0.0003
7.788,6.711333570529739e-06,0.0003
8.187,7.05709974422896e-06,0.0003
8.607,7.420880483212638e-06,0.0003
9.048,7.799685347224446e-06,0.0003
9.512,8.207989360680939e-06,0.0003
10.0,8.632339412350306e-06,0.0003
10.51,2.0372484577908382e-05,0.0002
11.05,2.1413583915038706e-05,0.0002
11.62,2.2509945303557285e-05,0.0002
12.21,2.3666430396633457e-05,0.0002
12.52,2.455337013012032e-05,0.0002
12.84,2.5183441541296878e-05,0.0002
13.5,2.614076846919876e-05,0.0002
13.84,2.7130334795791536e-05,0.0002
14.19,1.2706459759291681e-05,0.0003
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
