Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,1.74346e-13,0.3599
1.125e-06,6.02873e-13,0.1832
1.445e-06,2.69138e-12,0.1194
1.855e-06,5.69989e-12,0.0659
2.382e-06,1.41783e-11,0.0459
3.059e-06,2.65194e-11,0.0393
3.928e-06,4.43674e-11,0.027
5.043e-06,6.33538e-11,0.0366
6.476e-06,7.14359e-11,0.021
8.315e-06,7.518e-11,0.022
1.068e-05,7.10075e-11,0.0236
1.371e-05,4.04405e-11,0.0332
1.76e-05,1.32494e-11,0.0612
2.26e-05,5.81318e-13,0.2308
2.902e-05,1.16104e-10,0.0192
3.727e-05,1.86232e-10,0.0172
4.785e-05,8.57616e-11,0.0255
6.144e-05,1.0007e-11,0.0665
7.889e-05,2.77663e-11,0.0489
0.0001013,4.17644e-11,0.0315
0.0001301,1.72235e-11,0.0457
0.000167,7.91366e-11,0.023
0.0002145,7.78056e-11,0.0189
0.0002754,1.40294e-10,0.0167
0.0003536,2.52163e-10,0.0113
0.000454,3.77463e-10,0.0118
0.0005829,4.70568e-10,0.0119
0.0007485,1.38518e-09,0.0045
0.0009611,8.03484e-10,0.0067
0.001234,1.14994e-09,0.0058
0.001585,2.26308e-09,0.0039
0.002035,3.056e-09,0.0031
0.002249,1.13141e-09,0.0057
0.002485,1.51636e-09,0.0048
0.002613,1.12332e-09,0.0054
0.002747,8.95015e-10,0.006
0.003035,1.68036e-09,0.0046
0.003355,2.3203e-09,0.0038
0.003707,2.61314e-09,0.004
0.004307,4.85139e-09,0.0028
0.005531,1.14136e-08,0.0017
0.007102,1.72794e-08,0.0014
0.009119,2.70316e-08,0.0011
0.01059,2.3115e-08,0.0012
0.01171,1.9442e-08,0.0014
0.01503,6.86108e-08,0.0007
0.0193,1.11385e-07,0.0006
0.02187,7.91277e-08,0.0007
0.02358,5.71776e-08,0.0008
0.02418,2.09637e-08,0.0013
0.02479,2.17378e-08,0.0013
0.02606,4.67197e-08,0.0009
0.027,3.56558e-08,0.001
0.0285,5.88833e-08,0.0008
0.03183,1.38684e-07,0.0005
0.03431,1.09686e-07,0.0006
0.04087,3.0777e-07,0.0004
0.04631,2.63957e-07,0.0004
0.05248,2.94473e-07,0.0004
0.05656,1.88557e-07,0.0004
0.06738,4.83142e-07,0.0003
0.07202,1.98897e-07,0.0004
0.0795,3.09314e-07,0.0004
0.0825,1.20129e-07,0.0006
0.08652,1.57684e-07,0.0005
0.09804,4.35776e-07,0.0003
0.1111,4.57971e-07,0.0003
0.1168,1.92871e-07,0.0005
0.1228,1.99375e-07,0.0005
0.1291,2.05758e-07,0.0005
0.1357,2.12097e-07,0.0005
0.1426,2.17536e-07,0.0005
0.15,2.28676e-07,0.0005
0.1576,2.30112e-07,0.0005
0.1657,2.40332e-07,0.0005
0.1742,2.47135e-07,0.0005
0.1832,2.56379e-07,0.0004
0.1925,2.60108e-07,0.0005
0.2024,2.70915e-07,0.0004
0.2128,2.77477e-07,0.0004
0.2237,2.83636e-07,0.0004
0.2352,2.91485e-07,0.0004
0.2472,2.96385e-07,0.0004
0.2732,6.14784e-07,0.0003
0.2872,3.15386e-07,0.0004
0.2945,1.60355e-07,0.0006
0.2972,5.87104e-08,0.001
0.2985,2.81196e-08,0.0014
0.302,7.52807e-08,0.0009
0.3337,6.51949e-07,0.0003
0.3688,6.62077e-07,0.0003
0.3877,3.30398e-07,0.0004
0.4076,3.28738e-07,0.0004
0.4505,6.42589e-07,0.0003
0.4979,6.10104e-07,0.0003
0.5234,2.87113e-07,0.0005
0.5502,2.72428e-07,0.0005
0.5784,2.55783e-07,0.0005
0.6081,2.37466e-07,0.0005
0.6393,2.15902e-07,0.0005
0.6721,1.93074e-07,0.0006
0.7065,1.68139e-07,0.0006
0.7427,1.4386e-07,0.0007
0.7808,1.1958e-07,0.0007
0.8209,9.83389e-08,0.0008
0.8629,8.15866e-08,0.0009
0.9072,6.97953e-08,0.001
0.9617,6.94051e-08,0.001
1.003,4.3457e-08,0.0012
1.108,8.70593e-08,0.0009
1.165,3.67232e-08,0.0014
1.225,3.29462e-08,0.0014
1.287,2.94109e-08,0.0015
1.353,2.70364e-08,0.0016
1.423,2.47132e-08,0.0017
1.496,2.21188e-08,0.0018
1.572,1.94062e-08,0.0019
1.653,1.74587e-08,0.002
1.738,1.54578e-08,0.0022
1.827,1.3456e-08,0.0023
1.921,1.18758e-08,0.0024
2.019,1.06028e-08,0.0027
2.122,9.5291e-09,0.0027
2.231,8.66028e-09,0.0029
2.307,5.42287e-09,0.0038
2.346,2.57827e-09,0.0053
2.365,1.21777e-09,0.0078
2.385,1.24376e-09,0.0075
2.466,4.81974e-09,0.0039
2.592,6.77221e-09,0.0033
2.725,6.28736e-09,0.0033
2.865,5.98069e-09,0.0034
3.012,5.71045e-09,0.0035
3.166,5.4154e-09,0.0035
3.329,5.2526e-09,0.0035
3.679,1.01075e-08,0.0025
4.066,9.83253e-09,0.0025
4.493,9.87623e-09,0.0025
4.724,5.06586e-09,0.0035
4.966,5.13245e-09,0.0033
5.22,5.23487e-09,0.0033
5.488,5.47576e-09,0.0031
5.77,5.70383e-09,0.0032
6.065,5.86104e-09,0.003
6.376,6.10591e-09,0.0029
6.592,4.26279e-09,0.0035
6.703,2.17429e-09,0.0048
7.047,6.64068e-09,0.0028
7.408,6.7399e-09,0.0027
7.788,6.91258e-09,0.0028
8.187,7.04663e-09,0.0026
8.607,7.21644e-09,0.0026
9.048,7.4943e-09,0.0025
9.512,7.73305e-09,0.0025
10.0,8.71738e-09,0.0023
10.51,1.50348e-08,0.0017
11.05,1.58378e-08,0.0016
11.62,1.66096e-08,0.0016
12.21,1.70611e-08,0.0016
12.52,8.95806e-09,0.0021
12.84,9.20116e-09,0.0021
13.5,1.89797e-08,0.0014
13.84,9.73408e-09,0.002
14.19,3.25211e-09,0.0033
14.55,2.5352e-12,0.165
14.92,2.26127e-12,0.1453
15.68,2.15018e-12,0.166
16.49,1.46515e-12,0.1704
16.9,6.83394e-13,0.2551
17.33,2.87682e-13,0.3864
19.64,8.95748e-13,0.2091
