User,Time,Value,Error
0.0,86400.0,0.0,0.0
0.0,604800.0,0.0,0.0
0.0,1296000.0,0.0,0.0
0.0,2592000.0,0.0,0.0
0.0,5184000.0,0.0,0.0
Sc48,86400.0,1.72553e-08,0.229
Sc48,604800.0,1.75505e-09,0.229
Sc48,1296000.0,8.33251e-11,0.229
Sc48,2592000.0,2.74909e-13,0.229
Sc48,5184000.0,2.99238e-18,0.229
Cr51,86400.0,5.05652e-08,0.0238
Cr51,604800.0,4.35163e-08,0.0238
Cr51,1296000.0,3.5622e-08,0.0238
Cr51,2592000.0,2.44747e-08,0.0238
Cr51,5184000.0,1.15536e-08,0.0238
Mn56,86400.0,2.31887e-07,0.0033
Mn56,604800.0,3.79287e-24,0.0033
Mn56,1296000.0,1.57479e-46,0.0033
Mn56,2592000.0,1.70393e-88,0.0033
Mn56,5184000.0,0.0,0.0
Mn54,86400.0,5.43013e-08,0.0115
Mn54,604800.0,5.35826e-08,0.0115
Mn54,1296000.0,5.26392e-08,0.0115
Mn54,2592000.0,5.09148e-08,0.0115
Mn54,5184000.0,4.76337e-08,0.0115
Fe59,86400.0,2.87093e-08,0.0206
Fe59,604800.0,2.61475e-08,0.0206
Fe59,1296000.0,2.30838e-08,0.0206
Fe59,2592000.0,1.82737e-08,0.0206
Fe59,5184000.0,1.14515e-08,0.0206
Co60,86400.0,3.99454e-08,0.0035
Co60,604800.0,3.98592e-08,0.0035
Co60,1296000.0,3.97446e-08,0.0035
Co60,2592000.0,3.95305e-08,0.0035
Co60,5184000.0,3.91058e-08,0.0035
Co58,86400.0,3.89583e-07,0.0077
Co58,604800.0,3.67379e-07,0.0077
Co58,1296000.0,3.3973e-07,0.0077
Co58,2592000.0,2.93372e-07,0.0077
Co58,5184000.0,2.18772e-07,0.0077
Co57,86400.0,3.51131e-09,0.0264
Co57,604800.0,3.45799e-09,0.0264
Co57,1296000.0,3.38814e-09,0.0264
Co57,2592000.0,3.26097e-09,0.0264
Co57,5184000.0,3.02076e-09,0.0264
Ni57,86400.0,7.58247e-07,0.0379
Ni57,604800.0,4.70321e-08,0.0379
Ni57,1296000.0,1.1548e-09,0.0379
Ni57,2592000.0,1.10653e-12,0.0379
Ni57,5184000.0,1.01597e-18,0.0379
Cu64,86400.0,4.1757e-08,0.0376
Cu64,604800.0,1.613e-11,0.0376
Cu64,1296000.0,4.53773e-16,0.0376
Cu64,2592000.0,1.33076e-24,0.0376
Cu64,5184000.0,1.14451e-41,0.0376
Nb92m,86400.0,7.89109e-09,0.1473
Nb92m,604800.0,5.23827e-09,0.1473
Nb92m,1296000.0,3.03335e-09,0.1473
Nb92m,2592000.0,1.08905e-09,0.1473
Nb92m,5184000.0,1.40379e-10,0.1473
Nb96,86400.0,1.48823e-08,0.2161
Nb96,604800.0,2.071e-10,0.2161
Nb96,1296000.0,6.93202e-13,0.2161
Nb96,2592000.0,1.58356e-17,0.2161
Nb96,5184000.0,8.26389e-27,0.2161
Mo99,86400.0,2.55109e-07,0.0232
Mo99,604800.0,5.61464e-08,0.0232
Mo99,1296000.0,7.46076e-09,0.0232
Mo99,2592000.0,1.69541e-10,0.0232
Mo99,5184000.0,8.75499e-14,0.0232
