Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,4.2702159714508265e-11,0.0546
1.445e-06,1.0401504542582532e-10,0.035
1.855e-06,1.2996036965465305e-10,0.0313
2.382e-06,1.745222641710253e-10,0.027
3.059e-06,2.2358719927288155e-10,0.0239
3.928e-06,2.6717916622147885e-10,0.0218
5.043e-06,3.532498264831466e-10,0.019
6.476e-06,4.673615170537197e-10,0.0165
8.315e-06,5.88226641303099e-10,0.0147
1.068e-05,7.500208113891477e-10,0.013
1.371e-05,9.504443314434193e-10,0.0116
1.76e-05,1.2259551642260665e-09,0.0102
2.26e-05,1.6055404425574246e-09,0.0089
2.902e-05,2.0272854133830045e-09,0.0079
3.727e-05,2.6314863276417126e-09,0.007
4.785e-05,3.368384428646628e-09,0.0062
6.144e-05,4.3085328421297296e-09,0.0054
7.889e-05,5.527066173930402e-09,0.0048
0.0001013,7.1414077809182835e-09,0.0042
0.0001301,9.15209692203166e-09,0.0037
0.000167,1.1755156320813023e-08,0.0033
0.0002145,1.5084937107574953e-08,0.0029
0.0002754,1.939016445083531e-08,0.0026
0.0003536,2.4892360470714864e-08,0.0023
0.000454,3.198996621378214e-08,0.002
0.0005829,4.1103808553926176e-08,0.0018
0.0007485,5.277947054208147e-08,0.0016
0.0009611,6.747524106701831e-08,0.0014
0.001234,8.683122353232725e-08,0.0012
0.001585,1.1177017750658828e-07,0.0011
0.002035,1.433147841295734e-07,0.0009
0.002249,1.705082996312059e-07,0.0014
0.002485,1.8808765195618e-07,0.0013
0.002613,2.0317631432725414e-07,0.0018
0.002747,2.1380544048888736e-07,0.0017
0.003035,2.3008260613576563e-07,0.0012
0.003355,2.544893452617209e-07,0.0011
0.003707,2.807775489056915e-07,0.0011
0.004307,3.185189963925682e-07,0.0008
0.005531,3.898167342100191e-07,0.0006
0.007102,4.998923963420339e-07,0.0005
0.009119,6.422258360536107e-07,0.0004
0.01059,7.825074667808249e-07,0.0005
0.01171,8.861277794651413e-07,0.0006
0.01503,1.058704642572496e-06,0.0003
0.0193,1.3591387027301943e-06,0.0003
0.02187,1.6381232684652095e-06,0.0004
0.02358,1.808122560900115e-06,0.0005
0.02418,1.8994903819579508e-06,0.0008
0.02479,1.952417199624226e-06,0.0008
0.02606,2.0218879478351818e-06,0.0006
0.027,2.1099274455271406e-06,0.0007
0.0285,2.206216579981299e-06,0.0005
0.03183,2.3989921769030585e-06,0.0003
0.03431,2.629325195590582e-06,0.0004
0.04087,2.9833828794504974e-06,0.0002
0.04631,3.465519972395514e-06,0.0003
0.05248,3.925644978920305e-06,0.0003
0.05656,4.336390190757887e-06,0.0003
0.06738,4.9261733145854e-06,0.0002
0.07202,5.661498438307091e-06,0.0003
0.0795,6.04537876540508e-06,0.0002
0.0825,6.401562075035253e-06,0.0004
0.08652,6.711476860284809e-06,0.0003
0.09804,7.329514487634066e-06,0.0002
0.1111,2.031192033302156e-06,0.0004
0.1168,1.0060685957652887e-06,0.0008
0.1228,1.0595412212413274e-06,0.0008
0.1291,1.113427660563976e-06,0.0008
0.1357,1.1719706523133743e-06,0.0007
0.1426,1.232340112029209e-06,0.0007
0.15,1.2958012561487585e-06,0.0007
0.1576,1.3634407501468812e-06,0.0007
0.1657,1.4433441440063824e-06,0.0007
0.1742,1.5068223701376631e-06,0.0007
0.1832,1.5733570853633732e-06,0.0006
0.1925,1.6616522481411474e-06,0.0006
0.2024,1.7498679665376688e-06,0.0006
0.2128,1.8399451392108707e-06,0.0006
0.2237,1.929045018734462e-06,0.0006
0.2352,2.0318829815077395e-06,0.0006
0.2472,2.1410323148163844e-06,0.0005
0.2732,2.3028825668535255e-06,0.0004
0.2872,2.4811149738847126e-06,0.0005
0.2945,2.573903304550301e-06,0.0007
0.2972,2.624784896748454e-06,0.0012
0.2985,2.6258414314982984e-06,0.0017
0.302,2.6603478672303416e-06,0.001
0.3337,2.8133743786227455e-06,0.0003
0.3688,3.109313588825488e-06,0.0003
0.3877,3.353238816362051e-06,0.0004
0.4076,3.5198863740670883e-06,0.0004
0.4505,3.8000624785623027e-06,0.0003
0.4979,4.195082607625708e-06,0.0003
0.5234,4.523158389650109e-06,0.0004
0.5502,4.759906160470019e-06,0.0004
0.5784,4.997657006509541e-06,0.0004
0.6081,5.252960153874973e-06,0.0003
0.6393,5.522211259479214e-06,0.0003
0.6721,5.809709431767175e-06,0.0003
0.7065,6.1077132443721644e-06,0.0003
0.7427,6.413537348687478e-06,0.0003
0.7808,6.750276394438804e-06,0.0003
0.8209,7.093848596554535e-06,0.0003
0.8629,7.456404113284759e-06,0.0003
0.9072,7.836989302719887e-06,0.0003
0.9617,8.267246347779106e-06,0.0003
1.003,8.11525120872945e-06,0.0003
1.108,9.43431917549214e-07,0.0006
1.165,1.0168884635451122e-06,0.0008
1.225,1.069973317920296e-06,0.0008
1.287,1.1253641620870505e-06,0.0008
1.353,1.1821216322654421e-06,0.0007
1.423,1.2418896052415855e-06,0.0007
1.496,1.3050026709244799e-06,0.0007
1.572,1.3702557663251627e-06,0.0007
1.653,1.4416221173021527e-06,0.0007
1.738,1.5171865348833687e-06,0.0006
1.827,1.5943692536349155e-06,0.0006
1.921,1.6775041414658363e-06,0.0006
2.019,1.7589134724862742e-06,0.0006
2.122,1.8482395015846712e-06,0.0006
2.231,1.942417645882267e-06,0.0006
2.307,2.022794526974947e-06,0.0007
2.346,2.072045717983612e-06,0.001
2.365,2.0959745223514298e-06,0.0014
2.385,2.1165162422917764e-06,0.0013
2.466,2.1603956590533657e-06,0.0007
2.592,2.2504246048439637e-06,0.0005
2.725,2.3648320025897666e-06,0.0005
2.865,2.4853531682547434e-06,0.0005
3.012,2.6126010293083535e-06,0.0005
3.166,2.7415813773801647e-06,0.0005
3.329,2.8809833726411517e-06,0.0005
3.679,3.1028313337949207e-06,0.0003
4.066,3.4291973998352644e-06,0.0003
4.493,3.7841331660843134e-06,0.0003
4.724,4.077169767848064e-06,0.0004
4.966,4.283070213473122e-06,0.0004
5.22,4.503303416064203e-06,0.0004
5.488,4.731867701538557e-06,0.0004
5.77,4.976511814139478e-06,0.0004
6.065,5.226035582599186e-06,0.0003
6.376,5.497896369117486e-06,0.0003
6.592,5.724812471915504e-06,0.0004
6.703,5.87216923294275e-06,0.0006
7.047,6.074833109491402e-06,0.0003
7.408,6.380715611242919e-06,0.0003
7.788,6.707035598327299e-06,0.0003
8.187,7.052176144376777e-06,0.0003
8.607,7.415243673114253e-06,0.0003
9.048,7.792560775122418e-06,0.0003
9.512,8.195292006955388e-06,0.0003
10.0,8.614250603391936e-06,0.0003
10.51,2.0364644135636177e-05,0.0002
11.05,2.140400369686236e-05,0.0002
11.62,2.250020323447105e-05,0.0002
12.21,2.3658959805026008e-05,0.0002
12.52,2.454894289429267e-05,0.0002
12.84,2.5183401918400016e-05,0.0002
13.5,2.6149746135067495e-05,0.0002
13.84,2.7148104879635733e-05,0.0002
14.19,1.2721715294929676e-05,0.0003
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
