Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,1.4889865223775108e-13,0.5924
8.764e-07,1.5390000554121303e-12,0.2299
1.125e-06,3.242835662990463e-11,0.0761
1.445e-06,4.897368231039466e-11,0.0462
1.855e-06,7.438483492443605e-11,0.0426
2.382e-06,1.0657342352304876e-10,0.0319
3.059e-06,1.5311160643790966e-10,0.0278
3.928e-06,1.9511216725764464e-10,0.0248
5.043e-06,2.876811281486434e-10,0.0212
6.476e-06,4.0744993527002137e-10,0.0212
8.315e-06,5.344696266451352e-10,0.0166
1.068e-05,7.107777429256127e-10,0.0142
1.371e-05,9.571629786030399e-10,0.0123
1.76e-05,1.2607066618061086e-09,0.0108
2.26e-05,1.7209408989098447e-09,0.0094
2.902e-05,2.232484405486746e-09,0.0085
3.727e-05,2.9671851144371303e-09,0.0074
4.785e-05,3.849894922693427e-09,0.0065
6.144e-05,5.098164519182166e-09,0.0058
7.889e-05,6.561253525010546e-09,0.0051
0.0001013,8.548548037619455e-09,0.0045
0.0001301,1.1022953211367279e-08,0.004
0.000167,1.414607697971024e-08,0.0036
0.0002145,1.8168120876513806e-08,0.0031
0.0002754,2.317669417426485e-08,0.0027
0.0003536,2.981434740256533e-08,0.0025
0.000454,3.7863270363797534e-08,0.0021
0.0005829,4.874910254025746e-08,0.0019
0.0007485,6.251410716284665e-08,0.0017
0.0009611,8.122444190189401e-08,0.0014
0.001234,1.1140334271379049e-07,0.0013
0.001585,2.5523134916800736e-07,0.0009
0.002035,1.461529898583847e-06,0.0004
0.002249,2.791933267242587e-06,0.0004
0.002485,2.20137923338122e-06,0.0005
0.002613,1.24237832506782e-06,0.001
0.002747,7.114077344517687e-07,0.0013
0.003035,2.889690775753962e-07,0.0016
0.003355,6.76591839172382e-08,0.0036
0.003707,8.230465111180121e-09,0.0106
0.004307,3.839041862605716e-09,0.0148
0.005531,1.4466369641024488e-07,0.0016
0.007102,6.351641739642463e-07,0.0007
0.009119,9.901605013101165e-08,0.0017
0.01059,1.5608959101174249e-07,0.0019
0.01171,4.742004263887652e-07,0.0012
0.01503,9.83053121083283e-07,0.0005
0.0193,5.671269397254762e-06,0.0002
0.02187,3.421010100260456e-05,0.0001
0.02358,1.580129704285121e-06,0.0008
0.02418,6.424297397918184e-07,0.0026
0.02479,1.6854240923868693e-06,0.0016
0.02606,3.230705370041149e-06,0.0007
0.027,1.5673808016896033e-06,0.0013
0.0285,3.712674616595403e-06,0.0006
0.03183,9.604348407258076e-06,0.0002
0.03431,5.311790824465257e-07,0.0019
0.04087,3.5931241976075966e-06,0.0003
0.04631,1.7897974976644903e-06,0.0006
0.05248,5.374944394861511e-06,0.0003
0.05656,2.8898671776543193e-05,0.0002
0.06738,5.5678952684588325e-06,0.0003
0.07202,5.094494183934173e-06,0.0005
0.0795,1.2855675861212909e-05,0.0002
0.0825,6.786754033970328e-06,0.0006
0.08652,1.2141502480668317e-05,0.0004
0.09804,1.2294324172688338e-05,0.0002
0.1111,7.40349428990333e-06,0.0003
0.1168,6.125933611313615e-06,0.0005
0.1228,1.2812766012215857e-05,0.0003
0.1291,2.658689783698751e-05,0.0002
0.1357,7.209812885240727e-05,0.0001
0.1426,3.825135091837268e-05,0.0002
0.15,3.103804234935927e-05,0.0002
0.1576,3.3802608878788223e-06,0.0008
0.1657,2.2715053107802283e-05,0.0002
0.1742,1.5413390151782805e-05,0.0003
0.1832,9.130373983473664e-06,0.0004
0.1925,1.8423391486064841e-06,0.0011
0.2024,3.047171667946213e-06,0.0008
0.2128,5.9225869787610056e-06,0.0005
0.2237,5.6901360925707435e-06,0.0005
0.2352,4.851891359066778e-06,0.0006
0.2472,7.263043328117229e-06,0.0005
0.2732,7.564765695144499e-06,0.0003
0.2872,8.100777457902009e-06,0.0004
0.2945,8.411179459662328e-06,0.0006
0.2972,8.53719653589924e-06,0.001
0.2985,8.616695174913349e-06,0.0015
0.302,8.678327727114117e-06,0.0009
0.3337,9.07319198111737e-06,0.0003
0.3688,9.857466662468055e-06,0.0003
0.3877,1.0402291615119918e-05,0.0004
0.4076,1.0766154221484734e-05,0.0004
0.4505,1.1228940349481459e-05,0.0003
0.4979,1.1723972466783201e-05,0.0003
0.5234,1.1886282112129086e-05,0.0004
0.5502,1.1876455498483358e-05,0.0004
0.5784,1.1789814628930405e-05,0.0004
0.6081,1.1621236971591675e-05,0.0004
0.6393,1.1378632010350103e-05,0.0004
0.6721,1.1050118145372887e-05,0.0004
0.7065,1.0651681371916293e-05,0.0004
0.7427,1.0182674775443136e-05,0.0004
0.7808,9.651898778958393e-06,0.0004
0.8209,9.084153976754605e-06,0.0004
0.8629,8.468278249650648e-06,0.0004
0.9072,7.846716827469154e-06,0.0004
0.9617,7.1514522887780495e-06,0.0004
1.003,6.509357453543957e-06,0.0005
1.108,5.627811627641676e-06,0.0004
1.165,4.710642110632558e-06,0.0006
1.225,4.0973913929120834e-06,0.0006
1.287,3.5157009400052966e-06,0.0007
1.353,2.975959775779342e-06,0.0007
1.423,2.455842711060931e-06,0.0008
1.496,1.9943846774329182e-06,0.0009
1.572,1.6355188978245278e-06,0.001
1.653,1.3299849526399364e-06,0.0011
1.738,1.1214440048423494e-06,0.0011
1.827,9.87111587436061e-07,0.0012
1.921,8.754568294050568e-07,0.0013
2.019,7.947069293312037e-07,0.0014
2.122,7.265473669752368e-07,0.0014
2.231,6.569440008806317e-07,0.0015
2.307,6.065872988054468e-07,0.0019
2.346,5.760559469077394e-07,0.0028
2.365,5.568148656556075e-07,0.0039
2.385,5.465424576671948e-07,0.0038
2.466,5.249851126775291e-07,0.002
2.592,4.833945924766798e-07,0.0017
2.725,4.4438649257254817e-07,0.0021
2.865,4.0640182990848043e-07,0.0018
3.012,3.7262201195602634e-07,0.002
3.166,3.530296404964392e-07,0.0021
3.329,3.3715915316366273e-07,0.002
3.679,3.1892781171438543e-07,0.0014
4.066,3.0441095617668555e-07,0.0015
4.493,2.9753082109399716e-07,0.0015
4.724,3.0100367520971747e-07,0.002
4.966,3.0382241802727924e-07,0.002
5.22,3.0312103216566627e-07,0.002
5.488,3.024078669151929e-07,0.002
5.77,3.0195662567105664e-07,0.0019
6.065,3.008916815481137e-07,0.0019
6.376,2.9710997531926727e-07,0.0019
6.592,2.943226623537275e-07,0.0023
6.703,2.912291910315817e-07,0.0033
7.047,2.881642381084255e-07,0.0019
7.408,2.8289078238162793e-07,0.0019
7.788,2.7807080527046155e-07,0.0019
8.187,2.746147824872086e-07,0.0019
8.607,2.779367140958125e-07,0.0018
9.048,2.790350671465179e-07,0.0018
9.512,2.943046635256106e-07,0.0017
10.0,3.8374858545242987e-07,0.0015
10.51,6.40264588536945e-07,0.0011
11.05,7.16763981651104e-07,0.001
11.62,8.148902800482618e-07,0.001
12.21,9.292466992623581e-07,0.0009
12.52,1.0252840016713226e-06,0.0012
12.84,1.0910164650752694e-06,0.0012
13.5,1.1337235863456577e-06,0.0008
13.84,9.952774697514242e-07,0.0011
14.19,2.4734028162304594e-07,0.0022
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
