Energy,Time,Value,Error
0.01,0s,1.18448e-12,0.1247
0.01,2.7h,5.61978e-13,0.1247
0.01,24h,1.88717e-15,0.1247
0.01,11.6d,4.92644e-45,0.1247
0.01,30d,1.38671e-96,0.1247
0.01,10y,0.0,0.0
0.02,0s,0.0,0.0
0.02,2.7h,0.0,0.0
0.02,24h,0.0,0.0
0.02,11.6d,0.0,0.0
0.02,30d,0.0,0.0
0.02,10y,0.0,0.0
0.05,0s,3.15776e-14,0.1474
0.05,2.7h,1.4982e-14,0.1474
0.05,24h,5.03108e-17,0.1474
0.05,11.6d,1.31336e-46,0.1474
0.05,30d,3.69689e-98,0.1474
0.05,10y,0.0,0.0
0.1,0s,3.13529e-10,0.0024
0.1,2.7h,1.48754e-10,0.0024
0.1,24h,4.99528e-13,0.0024
0.1,11.6d,1.30401e-42,0.0024
0.1,30d,3.67058e-94,0.0024
0.1,10y,0.0,0.0
0.2,0s,6.23536e-09,0.0006
0.2,2.7h,2.95836e-09,0.0006
0.2,24h,9.93444e-12,0.0006
0.2,11.6d,2.59337e-41,0.0006
0.2,30d,7.29992e-93,0.0006
0.2,10y,0.0,0.0
0.3,0s,7.73784e-09,0.0005
0.3,2.7h,3.67121e-09,0.0005
0.3,24h,1.23283e-11,0.0005
0.3,11.6d,3.21827e-41,0.0005
0.3,30d,9.05892e-93,0.0005
0.3,10y,0.0,0.0
0.4,0s,5.96666e-09,0.0005
0.4,2.7h,2.83088e-09,0.0005
0.4,24h,9.50634e-12,0.0005
0.4,11.6d,2.48162e-41,0.0005
0.4,30d,6.98535e-93,0.0005
0.4,10y,0.0,0.0
0.6,0s,9.06462e-09,0.0004
0.6,2.7h,4.3007e-09,0.0004
0.6,24h,1.44421e-11,0.0004
0.6,11.6d,3.7701e-41,0.0004
0.6,30d,1.06122e-92,0.0004
0.6,10y,0.0,0.0
0.8,0s,6.92991e-09,0.0005
0.8,2.7h,3.28789e-09,0.0005
0.8,24h,1.1041e-11,0.0005
0.8,11.6d,2.88225e-41,0.0005
0.8,30d,8.11306e-93,0.0005
0.8,10y,0.0,0.0
1.0,0s,1.44081e-08,0.0004
1.0,2.7h,6.8359e-09,0.0004
1.0,24h,2.29555e-11,0.0004
1.0,11.6d,5.99251e-41,0.0004
1.0,30d,1.6868e-92,0.0004
1.0,10y,0.0,0.0
1.22,0s,1.49763e-09,0.0009
1.22,2.7h,7.1055e-10,0.0009
1.22,24h,2.38609e-12,0.0009
1.22,11.6d,6.22885e-42,0.0009
1.22,30d,1.75332e-93,0.0009
1.22,10y,0.0,0.0
1.44,0s,1.36325e-09,0.001
1.44,2.7h,6.46793e-10,0.001
1.44,24h,2.17199e-12,0.001
1.44,11.6d,5.66994e-42,0.001
1.44,30d,1.596e-93,0.001
1.44,10y,0.0,0.0
1.66,0s,1.26182e-09,0.001
1.66,2.7h,5.9867e-10,0.001
1.66,24h,2.01038e-12,0.001
1.66,11.6d,5.24808e-42,0.001
1.66,30d,1.47725e-93,0.001
1.66,10y,0.0,0.0
2.0,0s,6.47917e-09,0.0005
2.0,2.7h,3.07404e-09,0.0005
2.0,24h,1.03229e-11,0.0005
2.0,11.6d,2.69478e-41,0.0005
2.0,30d,7.58536e-93,0.0005
2.0,10y,0.0,0.0
2.5,0s,3.3593e-09,0.0007
2.5,2.7h,1.59382e-09,0.0007
2.5,24h,5.35219e-12,0.0007
2.5,11.6d,1.39718e-41,0.0007
2.5,30d,3.93284e-93,0.0007
2.5,10y,0.0,0.0
3.0,0s,5.1953e-10,0.0018
3.0,2.7h,2.46491e-10,0.0018
3.0,24h,8.27737e-13,0.0018
3.0,11.6d,2.1608e-42,0.0018
3.0,30d,6.0823e-94,0.0018
3.0,10y,0.0,0.0
4.0,0s,5.17895e-11,0.0055
4.0,2.7h,2.45715e-11,0.0055
4.0,24h,8.25133e-14,0.0055
4.0,11.6d,2.154e-43,0.0055
4.0,30d,6.06316e-95,0.0055
4.0,10y,0.0,0.0
5.0,0s,0.0,0.0
5.0,2.7h,0.0,0.0
5.0,24h,0.0,0.0
5.0,11.6d,0.0,0.0
5.0,30d,0.0,0.0
5.0,10y,0.0,0.0
6.5,0s,0.0,0.0
6.5,2.7h,0.0,0.0
6.5,24h,0.0,0.0
6.5,11.6d,0.0,0.0
6.5,30d,0.0,0.0
6.5,10y,0.0,0.0
8.0,0s,0.0,0.0
8.0,2.7h,0.0,0.0
8.0,24h,0.0,0.0
8.0,11.6d,0.0,0.0
8.0,30d,0.0,0.0
8.0,10y,0.0,0.0
10.0,0s,0.0,0.0
10.0,2.7h,0.0,0.0
10.0,24h,0.0,0.0
10.0,11.6d,0.0,0.0
10.0,30d,0.0,0.0
10.0,10y,0.0,0.0
12.0,0s,0.0,0.0
12.0,2.7h,0.0,0.0
12.0,24h,0.0,0.0
12.0,11.6d,0.0,0.0
12.0,30d,0.0,0.0
12.0,10y,0.0,0.0
14.0,0s,0.0,0.0
14.0,2.7h,0.0,0.0
14.0,24h,0.0,0.0
14.0,11.6d,0.0,0.0
14.0,30d,0.0,0.0
14.0,10y,0.0,0.0
20.0,0s,0.0,0.0
20.0,2.7h,0.0,0.0
20.0,24h,0.0,0.0
20.0,11.6d,0.0,0.0
20.0,30d,0.0,0.0
20.0,10y,0.0,0.0
