Energy,Value,Error
1e-07,6.4580458047977355e-12,0.0256
4.14e-07,9.562849496923133e-10,0.0055
5.316e-07,3.2233731111084363e-09,0.0068
6.826e-07,4.501601113176193e-09,0.0066
8.764e-07,6.00351550539405e-09,0.0052
1.125e-06,7.653663534403359e-09,0.0047
1.445e-06,9.576740977497449e-09,0.0041
1.855e-06,1.1567033002518026e-08,0.0039
2.382e-06,1.3596966523637234e-08,0.0037
3.059e-06,1.5826336495846513e-08,0.003
3.928e-06,1.7924365381750096e-08,0.0029
5.043e-06,2.014573513535846e-08,0.0031
6.476e-06,2.2097073876084142e-08,0.0029
8.315e-06,2.408379867679266e-08,0.0029
1.068e-05,2.61036517860288e-08,0.0029
1.371e-05,2.7476023674147125e-08,0.0029
1.76e-05,2.9167076049564424e-08,0.0029
2.26e-05,3.061259451224819e-08,0.003
2.902e-05,3.210826102495287e-08,0.0037
3.727e-05,3.3042108212998876e-08,0.003
4.785e-05,3.4263877123686245e-08,0.0029
6.144e-05,3.547226301375208e-08,0.003
7.889e-05,3.657256723211357e-08,0.0029
0.0001013,3.7531605840631765e-08,0.0029
0.0001301,3.891698406413006e-08,0.003
0.000167,3.9669522468454785e-08,0.003
0.0002145,4.1042933888266095e-08,0.003
0.0002754,4.2562897275831745e-08,0.0029
0.0003536,4.4239108691082804e-08,0.0029
0.000454,4.6215980146055514e-08,0.0029
0.0005829,4.9065605787401855e-08,0.0027
0.0007485,5.175969717165376e-08,0.0026
0.0009611,5.583757893020825e-08,0.0026
0.001234,6.15125184289783e-08,0.0024
0.001585,7.613069241231026e-08,0.0022
0.002035,8.464759519183179e-08,0.0022
0.002249,9.152088563344141e-08,0.0032
0.002485,9.526131940257631e-08,0.0031
0.002613,9.839122818985716e-08,0.0043
0.002747,1.0129128973105613e-07,0.0044
0.003035,1.0531883179503686e-07,0.003
0.003355,1.1075181254587685e-07,0.003
0.003707,1.1541011171861693e-07,0.0029
0.004307,1.24454499687079e-07,0.0024
0.005531,1.3784276212533352e-07,0.0016
0.007102,1.58747444851951e-07,0.0015
0.009119,1.854100780347491e-07,0.0014
0.01059,2.121731710989965e-07,0.0018
0.01171,2.3458163765525684e-07,0.002
0.01503,2.84219837608049e-07,0.0011
0.0193,4.768434854033194e-07,0.0008
0.02187,1.1866500546295495e-06,0.0007
0.02358,4.924441141593265e-06,0.0004
0.02418,3.9897002895739774e-05,0.0002
0.02479,0.0001172493888744495,0.0001
0.02606,4.875560934161164e-05,0.0001
0.027,3.187641085167412e-07,0.0025
0.0285,1.1334131579218e-08,0.0145
0.03183,5.6897255660096966e-08,0.0044
0.03431,1.680567868662663e-07,0.0028
0.04087,3.4274800924190806e-07,0.0013
0.04631,5.506322532798068e-07,0.0012
0.05248,7.391387045037777e-07,0.001
0.05656,1.0105506123379595e-06,0.0011
0.06738,1.555366380460735e-06,0.0006
0.07202,5.632802857530961e-06,0.0004
0.0795,1.0804835740868427e-05,0.0002
0.0825,3.137986217186607e-05,0.0002
0.08652,5.569545915135915e-07,0.0016
0.09804,6.02265804408755e-07,0.0011
0.1111,1.2623151878660574e-06,0.0007
0.1168,1.9408633395658e-06,0.0009
0.1228,2.75278776950175e-06,0.0008
0.1291,1.41467521215602e-05,0.0003
0.1357,6.631785958957366e-06,0.0004
0.1426,2.462208297419727e-05,0.0002
0.15,7.101548049238539e-07,0.0017
0.1576,1.7448377050993844e-06,0.0011
0.1657,4.139868061023634e-06,0.0006
0.1742,1.2926180719982988e-05,0.0003
0.1832,1.1850704808837385e-05,0.0003
0.1925,2.351724666151355e-05,0.0002
0.2024,1.2480652038810786e-06,0.0013
0.2128,2.941296211586451e-06,0.0008
0.2237,1.3913667951574502e-05,0.0003
0.2352,2.69802637860048e-06,0.0008
0.2472,9.090680809493327e-06,0.0004
0.2732,1.4860348623674161e-05,0.0002
0.2872,1.864949310852608e-05,0.0002
0.2945,7.059475247370746e-06,0.0007
0.2972,1.4124328836447529e-05,0.0008
0.2985,1.796367156743434e-05,0.001
0.302,2.2333628880980634e-05,0.0005
0.3337,2.7895303550162738e-05,0.0001
0.3688,2.486349004451537e-05,0.0001
0.3877,3.362342939984816e-05,0.0002
0.4076,2.2034401596529083e-06,0.0009
0.4505,5.753840140972124e-06,0.0003
0.4979,9.372410759934976e-06,0.0003
0.5234,8.814009308879177e-06,0.0004
0.5502,1.1441898034213935e-05,0.0004
0.5784,1.3198550429509914e-05,0.0003
0.6081,2.4143825868155285e-05,0.0002
0.6393,3.177608362418523e-05,0.0002
0.6721,2.709994536424411e-05,0.0002
0.7065,1.2372570291865153e-05,0.0003
0.7427,4.217635562419994e-06,0.0005
0.7808,1.7097981658580632e-06,0.001
0.8209,1.8692205991869238e-06,0.0009
0.8629,3.704092637231641e-06,0.0006
0.9072,2.8034047198350872e-06,0.0007
0.9617,4.257604100669714e-06,0.0004
1.003,1.030388046459336e-06,0.0013
1.108,1.2112363665902775e-06,0.0007
1.165,1.4792154199477349e-06,0.0008
1.225,1.6433034519554865e-06,0.0008
1.287,4.2374504575048426e-07,0.0018
1.353,5.667998723922331e-07,0.0014
1.423,4.778227776570828e-07,0.0015
1.496,3.0083617642469865e-07,0.0022
1.572,3.5527436573189585e-07,0.0018
1.653,3.4803567768753365e-07,0.0018
1.738,3.480870230420562e-07,0.0018
1.827,2.960017187821235e-07,0.002
1.921,1.9816842400917618e-07,0.0024
2.019,1.3137049109502585e-07,0.0032
2.122,1.3359487033832005e-07,0.003
2.231,1.2280659837229265e-07,0.0032
2.307,1.4118278705704076e-07,0.0036
2.346,9.566343970013094e-08,0.0063
2.365,1.51897932979889e-07,0.0066
2.385,1.1573888478255765e-07,0.0079
2.466,7.639525057280507e-08,0.005
2.592,5.972683571243433e-08,0.0046
2.725,7.127410565063253e-08,0.0045
2.865,5.738771403765441e-08,0.0066
3.012,5.139103979960451e-08,0.0048
