Energy,Time,Value,Error
0.01,0s,4.93836e-14,0.0703
0.01,2.7h,4.70791e-14,0.0703
0.01,24h,3.26784e-14,0.0703
0.01,11.6d,4.1504e-16,0.0703
0.01,30d,2.06018e-19,0.0703
0.01,10y,0.0,0.0
0.02,0s,0.0,0.0
0.02,2.7h,0.0,0.0
0.02,24h,0.0,0.0
0.02,11.6d,0.0,0.0
0.02,30d,0.0,0.0
0.02,10y,0.0,0.0
0.05,0s,1.51719e-11,0.0044
0.05,2.7h,1.44639e-11,0.0044
0.05,24h,1.00396e-11,0.0044
0.05,11.6d,1.2751e-13,0.0044
0.05,30d,6.32937e-17,0.0044
0.05,10y,0.0,0.0
0.1,0s,1.19795e-13,0.0596
0.1,2.7h,1.14205e-13,0.0596
0.1,24h,7.92714e-14,0.0596
0.1,11.6d,1.00681e-15,0.0596
0.1,30d,4.99758e-19,0.0596
0.1,10y,0.0,0.0
0.2,0s,6.41371e-11,0.0034
0.2,2.7h,6.11441e-11,0.0034
0.2,24h,4.24411e-11,0.0034
0.2,11.6d,5.39034e-13,0.0034
0.2,30d,2.67566e-16,0.0034
0.2,10y,0.0,0.0
0.3,0s,4.02979e-10,0.0011
0.3,2.7h,3.84173e-10,0.0011
0.3,24h,2.66661e-10,0.0011
0.3,11.6d,3.38679e-12,0.0011
0.3,30d,1.68114e-15,0.0011
0.3,10y,0.0,0.0
0.4,0s,8.41441e-10,0.0006
0.4,2.7h,8.02174e-10,0.0006
0.4,24h,5.56802e-10,0.0006
0.4,11.6d,7.0718e-12,0.0006
0.4,30d,3.51031e-15,0.0006
0.4,10y,0.0,0.0
0.6,0s,2.16829e-09,0.0004
0.6,2.7h,2.06711e-09,0.0004
0.6,24h,1.43481e-09,0.0004
0.6,11.6d,1.82232e-11,0.0004
0.6,30d,9.04564e-15,0.0004
0.6,10y,0.0,0.0
0.8,0s,1.16544e-09,0.0005
0.8,2.7h,1.11105e-09,0.0005
0.8,24h,7.71201e-10,0.0005
0.8,11.6d,9.79482e-12,0.0005
0.8,30d,4.86196e-15,0.0005
0.8,10y,0.0,0.0
1.0,0s,1.78867e-09,0.0004
1.0,2.7h,1.7052e-09,0.0004
1.0,24h,1.18361e-09,0.0004
1.0,11.6d,1.50327e-11,0.0004
1.0,30d,7.46192e-15,0.0004
1.0,10y,0.0,0.0
1.22,0s,6.69288e-10,0.0006
1.22,2.7h,6.38055e-10,0.0006
1.22,24h,4.42885e-10,0.0006
1.22,11.6d,5.62496e-12,0.0006
1.22,30d,2.79212e-15,0.0006
1.22,10y,0.0,0.0
1.44,0s,6.44769e-10,0.0006
1.44,2.7h,6.1468e-10,0.0006
1.44,24h,4.26659e-10,0.0006
1.44,11.6d,5.41889e-12,0.0006
1.44,30d,2.68983e-15,0.0006
1.44,10y,0.0,0.0
1.66,0s,4.4014e-09,0.0002
1.66,2.7h,4.196e-09,0.0002
1.66,24h,2.91252e-09,0.0002
1.66,11.6d,3.69911e-11,0.0002
1.66,30d,1.83617e-14,0.0002
1.66,10y,0.0,0.0
2.0,0s,3.13128e-11,0.0025
2.0,2.7h,2.98516e-11,0.0025
2.0,24h,2.07205e-11,0.0025
2.0,11.6d,2.63166e-13,0.0025
2.0,30d,1.3063e-16,0.0025
2.0,10y,0.0,0.0
2.5,0s,7.98209e-11,0.0017
2.5,2.7h,7.60959e-11,0.0017
2.5,24h,5.28194e-11,0.0017
2.5,11.6d,6.70846e-13,0.0017
2.5,30d,3.32995e-16,0.0017
2.5,10y,0.0,0.0
3.0,0s,1.80457e-10,0.0012
3.0,2.7h,1.72035e-10,0.0012
3.0,24h,1.19413e-10,0.0012
3.0,11.6d,1.51663e-12,0.0012
3.0,30d,7.52825e-16,0.0012
3.0,10y,0.0,0.0
4.0,0s,1.6074e-12,0.0114
4.0,2.7h,1.53239e-12,0.0114
4.0,24h,1.06365e-12,0.0114
4.0,11.6d,1.35092e-14,0.0114
4.0,30d,6.70571e-18,0.0114
4.0,10y,0.0,0.0
5.0,0s,0.0,0.0
5.0,2.7h,0.0,0.0
5.0,24h,0.0,0.0
5.0,11.6d,0.0,0.0
5.0,30d,0.0,0.0
5.0,10y,0.0,0.0
6.5,0s,0.0,0.0
6.5,2.7h,0.0,0.0
6.5,24h,0.0,0.0
6.5,11.6d,0.0,0.0
6.5,30d,0.0,0.0
6.5,10y,0.0,0.0
8.0,0s,0.0,0.0
8.0,2.7h,0.0,0.0
8.0,24h,0.0,0.0
8.0,11.6d,0.0,0.0
8.0,30d,0.0,0.0
8.0,10y,0.0,0.0
10.0,0s,0.0,0.0
10.0,2.7h,0.0,0.0
10.0,24h,0.0,0.0
10.0,11.6d,0.0,0.0
10.0,30d,0.0,0.0
10.0,10y,0.0,0.0
12.0,0s,0.0,0.0
12.0,2.7h,0.0,0.0
12.0,24h,0.0,0.0
12.0,11.6d,0.0,0.0
12.0,30d,0.0,0.0
12.0,10y,0.0,0.0
14.0,0s,0.0,0.0
14.0,2.7h,0.0,0.0
14.0,24h,0.0,0.0
14.0,11.6d,0.0,0.0
14.0,30d,0.0,0.0
14.0,10y,0.0,0.0
20.0,0s,0.0,0.0
20.0,2.7h,0.0,0.0
20.0,24h,0.0,0.0
20.0,11.6d,0.0,0.0
20.0,30d,0.0,0.0
20.0,10y,0.0,0.0
