Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,4.4935632369942575e-14,1.0
2.902e-05,4.472007815906592e-13,0.391
3.727e-05,8.76654522320675e-12,0.1296
4.785e-05,5.1283722959087175e-11,0.051
6.144e-05,1.5211970247021716e-10,0.035
7.889e-05,2.930829511441974e-10,0.027
0.0001013,3.5823464032842483e-10,0.0251
0.0001301,3.0058951924140003e-10,0.0244
0.000167,1.2336836611099682e-10,0.0354
0.0002145,1.0733396166421061e-09,0.01
0.0002754,3.4005622597101543e-10,0.0211
0.0003536,1.4232556500549483e-09,0.0131
0.000454,1.929425545760582e-09,0.0091
0.0005829,5.84062528181716e-09,0.0045
0.0007485,2.1160217454149763e-08,0.0021
0.0009611,2.082315546468634e-08,0.0023
0.001234,2.6730696730855283e-08,0.0021
0.001585,4.568368862427817e-08,0.0017
0.002035,4.2006085013274386e-08,0.0019
0.002249,2.392632754542472e-08,0.0046
0.002485,6.780653702933206e-08,0.0026
0.002613,4.121304750030667e-07,0.0012
0.002747,4.6527503133595743e-07,0.001
0.003035,9.979146119231062e-07,0.0005
0.003355,7.809001384390264e-08,0.0021
0.003707,2.6584537718992234e-07,0.001
0.004307,4.491227302169938e-07,0.0006
0.005531,5.307903055719239e-07,0.0005
0.007102,7.725278862887391e-07,0.0004
0.009119,5.717452447873782e-07,0.0004
0.01059,1.3614375492119248e-06,0.0003
0.01171,1.6473692255620677e-06,0.0004
0.01503,2.177856785872061e-06,0.0002
0.0193,2.9858285192323264e-06,0.0002
0.02187,3.7777474528750503e-06,0.0002
0.02358,4.294352516940956e-06,0.0003
0.02418,4.554512173080385e-06,0.0005
0.02479,4.704930701062863e-06,0.0005
0.02606,4.908766684789367e-06,0.0003
0.027,5.126724740109851e-06,0.0004
0.0285,5.3682988173015e-06,0.0003
0.03183,5.865174396175545e-06,0.0002
0.03431,6.564676169119898e-06,0.0002
0.04087,7.216872635772802e-06,0.0001
0.04631,7.988612637235446e-06,0.0002
0.05248,8.611126771948783e-06,0.0002
0.05656,8.904462343688741e-06,0.0002
0.06738,9.296687660894424e-06,0.0001
0.07202,9.647991829824184e-06,0.0002
0.0795,9.404495996815597e-06,0.0002
0.0825,9.073311599566354e-06,0.0003
0.08652,8.498778496963184e-06,0.0003
0.09804,7.706002615413974e-06,0.0002
0.1111,1.8651852595350643e-06,0.0004
0.1168,8.440215171927629e-07,0.0012
0.1228,7.803198520528561e-07,0.0013
0.1291,7.087367586913161e-07,0.0014
0.1357,6.572499088933299e-07,0.0015
0.1426,6.239457371582518e-07,0.0016
0.15,5.964881321005652e-07,0.0015
0.1576,5.700448458987191e-07,0.0017
0.1657,5.447582317897866e-07,0.0016
0.1742,5.191709609873749e-07,0.0017
0.1832,4.950352962759706e-07,0.0017
0.1925,4.712678355182791e-07,0.0018
0.2024,4.4632296203671156e-07,0.0018
0.2128,4.211742029763872e-07,0.0019
0.2237,3.954608550544918e-07,0.002
0.2352,3.7484080854135406e-07,0.002
0.2472,3.524290190430056e-07,0.0021
0.2732,3.276900209142459e-07,0.0016
0.2872,3.08069824937189e-07,0.0022
0.2945,2.9870240796899007e-07,0.0032
0.2972,2.9541622772776987e-07,0.0053
0.2985,2.939064576566821e-07,0.0079
0.302,2.8975769951470056e-07,0.0046
0.3337,2.6716727526185716e-07,0.0017
0.3688,2.2562068652865516e-07,0.0019
0.3877,1.974212199893168e-07,0.0028
0.4076,1.8019294583816617e-07,0.0029
0.4505,1.5834634580215644e-07,0.0023
0.4979,1.3378591151070277e-07,0.0024
0.5234,1.1619237637383256e-07,0.0037
0.5502,1.037985561209114e-07,0.0039
0.5784,9.334600237148684e-08,0.0042
0.6081,8.379253792700063e-08,0.0043
0.6393,7.375193233848095e-08,0.0045
0.6721,6.499250043218184e-08,0.0049
0.7065,5.6675342996793083e-08,0.0054
0.7427,5.028818616769117e-08,0.0059
0.7808,4.234446913020147e-08,0.006
0.8209,3.659199573439187e-08,0.0066
0.8629,3.1249655443703794e-08,0.0075
0.9072,2.685775575587785e-08,0.0082
0.9617,2.2899532577347867e-08,0.0079
1.003,1.934697082866982e-08,0.0104
1.108,1.6070436464946084e-08,0.0068
1.165,1.3039998745105878e-08,0.0148
1.225,1.1621800564342617e-08,0.0114
1.287,1.0492356392464289e-08,0.0127
1.353,9.385943861424484e-09,0.0139
1.423,8.532705363910968e-09,0.0141
1.496,7.781011037531997e-09,0.0147
1.572,7.187075382973071e-09,0.0148
1.653,6.606734774375114e-09,0.0146
1.738,6.191765791556324e-09,0.0194
1.827,5.616371501864809e-09,0.0154
1.921,5.270635916607287e-09,0.0188
2.019,4.80307524693586e-09,0.0175
2.122,4.6236787411261775e-09,0.019
2.231,4.3832534142490595e-09,0.0199
2.307,4.124507048148672e-09,0.0236
2.346,3.883040387868031e-09,0.0329
2.365,4.406075231067163e-09,0.0547
2.385,4.136976177235358e-09,0.0596
2.466,3.831664339009449e-09,0.0239
2.592,3.559994972295742e-09,0.0214
2.725,3.371653736936673e-09,0.0219
2.865,3.1071705029799193e-09,0.0214
3.012,3.024105077482055e-09,0.0216
3.166,2.7804465843129176e-09,0.0213
3.329,2.6370935513362147e-09,0.0223
3.679,2.6286144096774824e-09,0.0153
4.066,2.39458127741453e-09,0.0161
4.493,2.2990476331164268e-09,0.0173
4.724,2.3146978974572286e-09,0.0344
4.966,2.206398568822484e-09,0.0238
5.22,2.2780436156307986e-09,0.0231
5.488,2.244974698691183e-09,0.0222
5.77,2.43854347492628e-09,0.022
6.065,2.5230202293829913e-09,0.0202
6.376,2.652580517869851e-09,0.0245
6.592,2.77468823080942e-09,0.0295
6.703,2.9218497152552256e-09,0.0334
7.047,3.0701259342074495e-09,0.0188
7.408,3.313830280369639e-09,0.0193
7.788,3.351498751756922e-09,0.0182
8.187,3.5159306456640674e-09,0.0168
8.607,3.903990710339176e-09,0.0158
9.048,4.038291521370178e-09,0.0161
9.512,4.224199628247782e-09,0.0162
10.0,5.205639416071795e-09,0.0143
10.51,8.383101395932138e-09,0.011
11.05,8.970976176692878e-09,0.0099
11.62,1.0392461547494977e-08,0.0092
12.21,1.1894050042947111e-08,0.0087
12.52,1.327341140139278e-08,0.0112
12.84,1.3821972095294235e-08,0.0111
13.5,1.5029211175313482e-08,0.0075
13.84,1.608071976470866e-08,0.0101
14.19,4.147103246977538e-09,0.0186
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
