Energy,Value,Error
1e-08,1.67592e-07,0.0023
2.15e-08,4.30481e-07,0.0014
4.64e-08,1.01312e-06,0.0009
1e-07,1.1714e-06,0.0009
2.15e-07,4.62128e-07,0.0015
4.64e-07,1.80306e-07,0.0027
1e-06,1.67254e-07,0.0029
2.15e-06,1.69545e-07,0.0029
4.64e-06,1.73372e-07,0.0029
1e-05,1.78636e-07,0.0028
2.15e-05,1.83316e-07,0.0028
4.64e-05,1.91134e-07,0.0027
0.0001,1.97249e-07,0.0027
0.000215,2.03439e-07,0.0026
0.000464,2.135e-07,0.0026
0.001,2.22423e-07,0.0025
0.00215,2.3246e-07,0.0025
0.00464,2.47409e-07,0.0024
0.01,2.65397e-07,0.0023
0.0215,2.94447e-07,0.0022
0.0464,3.48249e-07,0.002
0.1,4.49002e-07,0.0018
0.2,6.39027e-07,0.0015
0.4,8.93153e-07,0.0013
0.8,1.37495e-06,0.001
1.4,1.3013e-06,0.001
2.5,1.41897e-06,0.001
4.0,8.9076e-07,0.0013
6.5,3.97671e-07,0.0019
20.0,8.48581e-08,0.0041
