Energy,Value,Error
1e-08,7.8865e-11,0.0143
2.15e-08,1.94083e-10,0.0093
4.64e-08,4.4503e-10,0.0062
1e-07,5.01211e-10,0.0061
2.15e-07,1.84415e-10,0.0108
4.64e-07,6.43245e-11,0.0213
1e-06,6.33749e-11,0.0218
2.15e-06,6.42022e-11,0.0211
4.64e-06,6.70738e-11,0.021
1e-05,7.05567e-11,0.0204
2.15e-05,6.93086e-11,0.0208
4.64e-05,6.90487e-11,0.0209
0.0001,6.79351e-11,0.021
0.000215,6.24362e-11,0.0216
0.000464,6.17263e-11,0.0218
0.001,6.02587e-11,0.0225
0.00215,5.61476e-11,0.023
0.00464,5.10019e-11,0.0242
0.01,5.04721e-11,0.0253
0.0215,4.82123e-11,0.0248
0.0464,4.77158e-11,0.0248
0.1,5.2367e-11,0.0243
0.2,5.60372e-11,0.0236
0.4,5.46391e-11,0.0239
0.8,5.09929e-11,0.0255
1.4,2.18184e-11,0.0364
2.5,1.85063e-11,0.0428
4.0,6.4368e-12,0.0714
6.5,1.599e-12,0.1288
20.0,2.00968e-13,0.4686
