Energy,Value,Error
0.2 - 0.4,0.31785599999999997,0.00025462980447311413
0.4 - 0.5,0.0721485,0.0005369425889422891
0.5 - 0.7,0.1394249,0.0003797990133758367
0.7 - 1,0.09503112999999999,0.00045327190086406704
1 - 1.2,0.017658729999999997,0.0010815067921457228
1.2 - 1.5,0.01739339,0.0010653479313542135
1.5 - 2,0.00858253,0.0015633389578842383
2 - 2.5,0.0020244720000000003,0.0031927616615061083
2.5 - 3,0.001333737,0.003934268301919529
3 - 4,0.000947441,0.0046465159698912
4 - 7,0.0005618989,0.005940441496881169
7 - 10,0.00013179558,0.011765762112522279
10 - 20,2.8543601e-05,0.02464710283207888
