Cells,Value,Error
291.97,2766500.0,0.0106
296.44,3464080.0,0.0101
300.91,4997980.0,0.0096
305.38,7693180.0,0.0091
309.85,12168900.0,0.0087
314.32,19239200.0,0.0084
318.79,30395300.0,0.0081
323.26,47687800.0,0.0078
327.73,74136000.0,0.0075
332.2,114469000.0,0.0073
336.67,175091000.0,0.0071
341.14,263214000.0,0.0069
345.61,391941000.0,0.0067
350.08,572645000.0,0.0065
354.55,821364000.0,0.0064
359.02,1152620000.0,0.0063
363.49,1573710000.0,0.0061
367.96,2073790000.0,0.006
372.43,2603340000.0,0.0059
376.9,3076420000.0,0.0057
377.0,3246930000.0,0.0059
395.5,3355130000.0,0.0056
400.5,5299850000.0,0.0051
406.6,10613000000.0,0.0044
412.7,23700000000.0,0.0037
418.8,61822800000.0,0.0031
424.9,173285000000.0,0.0027
431.0,441938000000.0,0.0025
436.0,803176000000.0,0.0024
447.9,1506920000000.0,0.002
451.0,2973550000000.0,0.0018
455.2,3938450000000.0,0.0016
458.2,7140120000000.0,0.0015
465.2,10942400000000.0,0.0013
468.2,21770400000000.0,0.0012
473.7,29535900000000.0,0.0011
476.7,51484900000000.0,0.001
481.7,66525600000000.0,0.0009
484.7,107978000000000.0,0.0008
487.0,125773000000000.0,0.0008
489.0,168980000000000.0,0.0007
490.0,193165000000000.0,0.0007
493.6,264445000000000.0,0.0006
493.7,294314000000000.0,0.0007
494.2,306738000000000.0,0.0006
495.0,349537000000000.0,0.0006
1132.1,434841000000000.0,0.0004
1132.6,392176000000000.0,0.0004
1132.7,377683000000000.0,0.0004
1136.3,347078000000000.0,0.0003
1137.3,267801000000000.0,0.0003
1139.3,238605000000000.0,0.0003
1141.6,183535000000000.0,0.0003
1144.6,159489000000000.0,0.0004
1149.6,99782200000000.0,0.0004
1152.6,77288800000000.0,0.0004
1158.1,44276500000000.0,0.0005
1161.1,32547100000000.0,0.0006
1168.1,16268800000000.0,0.0006
1171.1,10526900000000.0,0.0007
1175.3,5764790000000.0,0.0008
1178.4,4309230000000.0,0.0009
1185.3,2145360000000.0,0.001
1227.8,1116460000000.0,0.0012
1232.49,663363000000.0,0.0012
1237.18,331694000000.0,0.0013
1241.87,148942000000.0,0.0015
1246.56,67149000000.0,0.0017
1251.25,31600200000.0,0.002
1255.94,15563600000.0,0.0023
1260.63,7938770000.0,0.0027
1265.32,4177970000.0,0.0031
1270.01,2294200000.0,0.0035
1274.7,1370470000.0,0.004
1279.7,770680000.0,0.0046
1284.7,486899000.0,0.0051
1300.1,467151000.0,0.0054
1304.57,441079000.0,0.0053
1309.04,372931000.0,0.0054
1313.51,294579000.0,0.0055
1317.98,222326000.0,0.0056
1322.45,162004000.0,0.0057
1326.92,115071000.0,0.0059
1331.39,79826600.0,0.006
1335.86,54185700.0,0.0062
1340.33,36185400.0,0.0064
1344.8,23876100.0,0.0066
1349.27,15546500.0,0.0069
1353.74,10000100.0,0.0071
1358.21,6359300.0,0.0074
1362.68,4023540.0,0.0077
1367.15,2511960.0,0.0081
1371.62,1556890.0,0.0084
1376.09,951452.0,0.0089
1380.56,566056.0,0.0093
1385.03,312080.0,0.0097
1389.5,130348.0,0.0101
