Energy,Value,Error
1e-10,0.0,
1.05e-10,0.0,
1.1e-10,0.0,
1.15e-10,0.0,
1.2e-10,0.0,
1.275e-10,0.0,
1.35e-10,0.0,
1.425e-10,0.0,
1.5e-10,0.0,
1.6e-10,0.0,
1.7e-10,0.0,
1.8e-10,0.0,
1.9e-10,0.0,
2e-10,0.0,
2.1e-10,0.0,
2.2e-10,0.0,
2.3e-10,0.0,
2.4e-10,0.0,
2.55e-10,0.0,
2.7e-10,0.0,
2.8e-10,0.0,
3e-10,0.0,
3.2e-10,0.0,
3.4e-10,0.0,
3.6e-10,0.0,
3.8e-10,0.0,
4e-10,0.0,
4.25e-10,0.0,
4.5e-10,0.0,
4.75e-10,0.0,
5e-10,0.0,
5.25e-10,0.0,
5.5e-10,0.0,
5.75e-10,0.0,
6e-10,0.0,
6.3e-10,0.0,
6.6e-10,0.0,
6.9e-10,0.0,
7.2e-10,0.0,
7.6e-10,0.0,
8e-10,0.0,
8.4e-10,0.0,
8.8e-10,0.0,
9.2e-10,0.0,
9.6e-10,0.0,
1e-09,0.0,
1.05e-09,0.0,
1.1e-09,0.0,
1.15e-09,0.0,
1.2e-09,0.0,
1.275e-09,0.0,
1.35e-09,0.0,
1.425e-09,0.0,
1.5e-09,0.0,
1.6e-09,0.0,
1.7e-09,0.0,
1.8e-09,0.0,
1.9e-09,0.0,
2e-09,0.0,
2.1e-09,0.0,
2.2e-09,0.0,
2.3e-09,0.0,
2.4e-09,0.0,
2.55e-09,0.0,
2.7e-09,0.0,
2.8e-09,0.0,
3e-09,0.0,
3.2e-09,0.0,
3.4e-09,0.0,
3.6e-09,0.0,
3.8e-09,0.0,
4e-09,0.0,
4.25e-09,0.0,
4.5e-09,0.0,
4.75e-09,0.0,
5e-09,0.0,
5.25e-09,0.0,
5.5e-09,0.0,
5.75e-09,0.0,
6e-09,0.0,
6.3e-09,0.0,
6.6e-09,0.0,
6.9e-09,0.0,
7.2e-09,0.0,
7.6e-09,0.0,
8e-09,0.0,
8.4e-09,0.0,
8.8e-09,0.0,
9.2e-09,0.0,
9.6e-09,0.0,
1e-08,0.0,
1.05e-08,0.0,
1.1e-08,0.0,
1.15e-08,0.0,
1.2e-08,0.0,
1.275e-08,0.0,
1.35e-08,0.0,
1.425e-08,0.0,
1.5e-08,0.0,
1.6e-08,0.0,
1.7e-08,0.0,
1.8e-08,0.0,
1.9e-08,0.0,
2e-08,0.0,
2.1e-08,0.0,
2.2e-08,0.0,
2.3e-08,0.0,
2.4e-08,0.0,
2.55e-08,0.0,
2.7e-08,0.0,
2.8e-08,0.0,
3e-08,0.0,
3.2e-08,0.0,
3.4e-08,0.0,
3.6e-08,0.0,
3.8e-08,0.0,
4e-08,0.0,
4.25e-08,0.0,
4.5e-08,0.0,
4.75e-08,0.0,
5e-08,0.0,
5.25e-08,0.0,
5.5e-08,0.0,
5.75e-08,0.0,
6e-08,0.0,
6.3e-08,0.0,
6.6e-08,0.0,
6.9e-08,0.0,
7.2e-08,0.0,
7.6e-08,0.0,
8e-08,0.0,
8.4e-08,0.0,
8.8e-08,0.0,
9.2e-08,0.0,
9.6e-08,0.0,
1e-07,0.0,
1.05e-07,0.0,
1.1e-07,0.0,
1.15e-07,0.0,
1.2e-07,0.0,
1.275e-07,0.0,
1.35e-07,0.0,
1.425e-07,0.0,
1.5e-07,0.0,
1.6e-07,0.0,
1.7e-07,0.0,
1.8e-07,0.0,
1.9e-07,0.0,
2e-07,0.0,
2.1e-07,0.0,
2.2e-07,0.0,
2.3e-07,0.0,
2.4e-07,0.0,
2.55e-07,0.0,
2.7e-07,0.0,
2.8e-07,0.0,
3e-07,0.0,
3.2e-07,0.0,
3.4e-07,0.0,
3.6e-07,0.0,
3.8e-07,0.0,
4e-07,0.0,
4.25e-07,0.0,
4.5e-07,0.0,
4.75e-07,0.0,
5e-07,0.0,
5.25e-07,0.0,
5.5e-07,0.0,
5.75e-07,0.0,
6e-07,0.0,
6.3e-07,0.0,
6.6e-07,0.0,
6.9e-07,0.0,
7.2e-07,0.0,
7.6e-07,0.0,
8e-07,0.0,
8.4e-07,0.0,
8.8e-07,0.0,
9.2e-07,0.0,
9.6e-07,0.0,
1e-06,0.0,
1.05e-06,0.0,
1.1e-06,0.0,
1.15e-06,0.0,
1.2e-06,0.0,
1.275e-06,0.0,
1.35e-06,0.0,
1.425e-06,0.0,
1.5e-06,0.0,
1.6e-06,0.0,
1.7e-06,0.0,
1.8e-06,0.0,
1.9e-06,0.0,
2e-06,0.0,
2.1e-06,0.0,
2.2e-06,0.0,
2.3e-06,0.0,
2.4e-06,0.0,
2.55e-06,0.0,
2.7e-06,0.0,
2.8e-06,0.0,
3e-06,0.0,
3.2e-06,0.0,
3.4e-06,0.0,
3.6e-06,0.0,
3.8e-06,0.0,
4e-06,0.0,
4.25e-06,0.0,
4.5e-06,0.0,
4.75e-06,0.0,
5e-06,0.0,
5.25e-06,0.0,
5.5e-06,0.0,
5.75e-06,0.0,
6e-06,0.0,
6.3e-06,0.0,
6.6e-06,0.0,
6.9e-06,0.0,
7.2e-06,0.0,
7.6e-06,0.0,
8e-06,0.0,
8.4e-06,0.0,
8.8e-06,0.0,
9.2e-06,0.0,
9.6e-06,0.0,
1e-05,0.0,
1.05e-05,0.0,
1.1e-05,0.0,
1.15e-05,0.0,
1.2e-05,0.0,
1.275e-05,0.0,
1.35e-05,0.0,
1.425e-05,0.0,
1.5e-05,0.0,
1.6e-05,0.0,
1.7e-05,0.0,
1.8e-05,0.0,
1.9e-05,0.0,
2e-05,0.0,
2.1e-05,0.0,
2.2e-05,0.0,
2.3e-05,0.0,
2.4e-05,0.0,
2.55e-05,0.0,
2.7e-05,0.0,
2.8e-05,0.0,
3e-05,0.0,
3.2e-05,0.0,
3.4e-05,0.0,
3.6e-05,0.0,
3.8e-05,0.0,
4e-05,0.0,
4.25e-05,0.0,
4.5e-05,0.0,
4.75e-05,0.0,
5e-05,0.0,
5.25e-05,0.0,
5.5e-05,0.0,
5.75e-05,0.0,
6e-05,0.0,
6.3e-05,0.0,
6.6e-05,0.0,
6.9e-05,0.0,
7.2e-05,0.0,
7.6e-05,0.0,
8e-05,0.0,
8.4e-05,0.0,
8.8e-05,0.0,
9.2e-05,0.0,
9.6e-05,0.0,
0.0001,0.0,
0.000105,0.0,
0.00011,0.0,
0.000115,0.0,
0.00012,0.0,
0.0001275,0.0,
0.000135,0.0,
0.0001425,0.0,
0.00015,0.0,
0.00016,0.0,
0.00017,0.0,
0.00018,0.0,
0.00019,0.0,
0.0002,0.0,
0.00021,0.0,
0.00022,0.0,
0.00023,0.0,
0.00024,0.0,
0.000255,0.0,
0.00027,0.0,
0.00028,0.0,
0.0003,0.0,
0.00032,0.0,
0.00034,0.0,
0.00036,0.0,
0.00038,0.0,
0.0004,0.0,
0.000425,0.0,
0.00045,0.0,
0.000475,0.0,
0.0005,0.0,
0.000525,0.0,
0.00055,0.0,
0.000575,0.0,
0.0006,0.0,
0.00063,0.0,
0.00066,0.0,
0.00069,0.0,
0.00072,0.0,
0.00076,0.0,
0.0008,0.0,
0.00084,0.0,
0.00088,0.0,
0.00092,0.0,
0.00096,0.0,
0.001,0.0,
0.00105,0.0,
0.0011,0.0,
0.00115,0.0,
0.0012,0.0,
0.001275,0.0,
0.00135,0.0,
0.001425,0.0,
0.0015,0.0,
0.0016,0.0,
0.0017,0.0,
0.0018,0.0,
0.0019,0.0,
0.002,0.0,
0.0021,0.0,
0.0022,0.0,
0.0023,0.0,
0.0024,0.0,
0.00255,0.0,
0.0027,0.0,
0.0028,0.0,
0.003,0.0,
0.0032,0.0,
0.0034,0.0,
0.0036,0.0,
0.0038,0.0,
0.004,0.0,
0.00425,0.0,
0.0045,0.0,
0.00475,0.0,
0.005,0.0,
0.00525,0.0,
