Energy,Value,Error
0.1,6.79279191312865e-06,0.0003772961694400509
0.1059,6.529444087015166e-06,0.0005491188392051733
0.1122,6.513238049656086e-06,0.0005963340269140338
0.1188,8.31439565116928e-06,0.0005223597759097589
0.1259,1.1453321495325774e-05,0.0004278126513687071
0.1334,1.642477396653051e-05,0.0003324406004852828
0.1413,1.887034018348594e-05,0.00034107217079767704
0.1496,8.42673802982851e-06,0.0003628773365712592
0.1585,7.003172353895004e-06,0.0004762530464744189
0.1679,1.1763768136098015e-05,0.0003731785132161404
0.1778,1.2896987555098373e-05,0.0003025099971469452
0.1884,1.355946760483782e-05,0.0003400022165003826
0.1995,6.250902553268333e-06,0.0003644349764910573
0.2113,5.210352589306408e-06,0.0004789066857276239
0.2239,8.154142188395464e-06,0.0003988243221403548
0.2371,6.9276714593099765e-06,0.00039065523774922645
0.2512,7.086928322387795e-06,0.0003813800631520069
0.2661,9.125378678279799e-06,0.0003217700526506792
0.2818,1.1955994337940986e-05,0.0002899757262450021
0.2985,1.4324275989020504e-05,0.00024948387549978795
0.3162,1.9102454587505257e-05,0.00025859112330933146
0.335,1.275790394256337e-05,0.00021181067539032368
0.3548,1.393022338812126e-05,0.00023246227921317324
0.3758,1.184643820151464e-05,0.00024667637845071725
0.3981,6.9275480060902455e-06,0.00030545999032158294
0.4217,4.160698406495961e-06,0.0003590892716753136
0.4467,4.9760460199061995e-06,0.00036822148426820953
0.4732,6.133120757893731e-06,0.0003517694661112659
0.5012,5.195937594694744e-06,0.00035179388510929275
0.5309,4.764357661732156e-06,0.0003343816488634261
0.5623,5.911430640770425e-06,0.00032029376881551253
0.5957,7.688451566024729e-06,0.0002784566527534614
0.631,1.042953337684717e-05,0.00026312107225088285
0.6683,1.0029791749799837e-05,0.00021304315691608584
0.7079,6.519007694965052e-06,0.00024353597117195548
0.7499,3.3796513647341554e-06,0.00032955689277371135
0.7943,2.155892592810346e-06,0.0004102224711534939
0.8414,2.3399066257807006e-06,0.0004635094307347483
0.8913,2.4749975633542006e-06,0.0004112954304800472
0.9441,2.5897396548864856e-06,0.0003979464862985562
1.0,2.2190261014228833e-06,0.0003898710791341056
1.0592,1.6681193970737327e-06,0.0003940733802044519
1.122,1.551762643806012e-06,0.0004553828119046724
1.1885,1.3817201754161664e-06,0.00042332014321146507
1.2589,1.1826918582528315e-06,0.0004137891434326252
1.3335,7.985670212586281e-07,0.0006305044418891399
