Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,1.98044e-12,1.0
0.0001013,5.11516e-12,0.4595
0.0001301,1.36997e-11,0.2711
0.000167,1.6747e-11,0.2465
0.0002145,6.44535e-11,0.1615
0.0002754,1.12146e-10,0.1023
0.0003536,2.05931e-10,0.0782
0.000454,3.97812e-10,0.0627
0.0005829,6.86651e-10,0.0443
0.0007485,1.32507e-09,0.035
0.0009611,2.1215e-09,0.0243
0.001234,3.72607e-09,0.019
0.001585,6.01743e-09,0.0146
0.002035,9.5213e-09,0.0128
0.002249,5.04523e-09,0.0161
0.002485,5.99034e-09,0.0147
0.002613,3.54403e-09,0.0203
0.002747,3.6578e-09,0.0183
0.003035,8.40963e-09,0.0129
0.003355,1.04145e-08,0.0113
0.003707,1.2033e-08,0.0107
0.004307,2.24078e-08,0.0077
0.005531,5.0778e-08,0.0051
0.007102,7.48956e-08,0.0042
0.009119,1.0984e-07,0.0036
0.01059,8.63183e-08,0.004
0.01171,7.0006e-08,0.0045
0.01503,2.22051e-07,0.0025
0.0193,3.14495e-07,0.0021
0.02187,2.0544e-07,0.0027
0.02358,1.41641e-07,0.0032
0.02418,4.97597e-08,0.0054
0.02479,5.1849e-08,0.0053
0.02606,1.08734e-07,0.0037
0.027,8.20169e-08,0.0042
0.0285,1.32756e-07,0.0034
0.03183,3.04343e-07,0.0022
0.03431,2.34337e-07,0.0025
0.04087,6.48311e-07,0.0016
0.04631,5.63788e-07,0.0016
0.05248,6.71564e-07,0.0015
0.05656,4.60104e-07,0.0019
0.06738,1.27968e-06,0.0011
0.07202,5.75224e-07,0.0016
0.0795,9.58977e-07,0.0013
0.0825,3.95805e-07,0.002
0.08652,5.38311e-07,0.0017
0.09804,1.59082e-06,0.001
0.1111,1.31077e-06,0.0013
0.1168,5.6234e-07,0.0018
0.1228,6.07117e-07,0.0018
0.1291,6.51521e-07,0.0017
0.1357,6.95526e-07,0.0017
0.1426,7.43788e-07,0.0016
0.15,8.15995e-07,0.0016
0.1576,8.58897e-07,0.0015
0.1657,9.3329e-07,0.0015
0.1742,1.00336e-06,0.0014
0.1832,1.08452e-06,0.0014
0.1925,1.14627e-06,0.0013
0.2024,1.24484e-06,0.0013
0.2128,1.32796e-06,0.0013
0.2237,1.40975e-06,0.0012
0.2352,1.50769e-06,0.0012
0.2472,1.59487e-06,0.0012
0.2732,3.5121e-06,0.0009
0.2872,1.92378e-06,0.0011
0.2945,1.01119e-06,0.0014
0.2972,3.74902e-07,0.0022
0.2985,1.81325e-07,0.0031
0.302,4.86749e-07,0.002
0.3337,4.448e-06,0.0009
0.3688,4.97349e-06,0.0008
0.3877,2.69559e-06,0.001
0.4076,2.83898e-06,0.001
0.4505,6.1248e-06,0.0008
0.4979,6.72762e-06,0.0008
0.5234,3.60255e-06,0.0009
0.5502,3.75895e-06,0.0009
0.5784,3.93336e-06,0.0009
0.6081,4.11668e-06,0.0009
0.6393,4.28453e-06,0.0009
0.6721,4.45444e-06,0.0009
0.7065,4.62545e-06,0.0009
0.7427,4.81309e-06,0.0009
0.7808,5.00566e-06,0.0008
0.8209,5.19021e-06,0.0008
0.8629,5.36168e-06,0.0008
0.9072,5.55903e-06,0.0008
0.9617,6.70152e-06,0.0008
1.003,4.96073e-06,0.0008
1.108,1.17597e-05,0.0008
1.165,6.1847e-06,0.0008
1.225,6.34783e-06,0.0008
1.287,6.40574e-06,0.0008
1.353,6.64856e-06,0.0008
1.423,6.85816e-06,0.0008
1.496,6.94927e-06,0.0008
1.572,7.02294e-06,0.0008
1.653,7.26002e-06,0.0008
1.738,7.37926e-06,0.0008
1.827,7.47698e-06,0.0008
1.921,7.62478e-06,0.0008
2.019,7.66427e-06,0.0008
2.122,7.75778e-06,0.0008
2.231,7.88755e-06,0.0008
2.307,5.30973e-06,0.0009
2.346,2.66627e-06,0.001
2.365,1.28225e-06,0.0013
2.385,1.33696e-06,0.0013
2.466,5.3162e-06,0.0009
2.592,7.9403e-06,0.0008
2.725,7.95012e-06,0.0008
2.865,7.90983e-06,0.0008
3.012,7.80979e-06,0.0008
3.166,7.66707e-06,0.0008
3.329,7.55336e-06,0.0008
3.679,1.44435e-05,0.0007
4.066,1.34543e-05,0.0007
4.493,1.22222e-05,0.0007
4.724,5.60507e-06,0.0008
4.966,5.22653e-06,0.0008
5.22,4.85159e-06,0.0009
5.488,4.48337e-06,0.0009
5.77,4.099e-06,0.0009
6.065,3.69949e-06,0.0009
6.376,3.34511e-06,0.0009
6.592,2.02712e-06,0.0011
6.703,9.59734e-07,0.0014
7.047,2.6548e-06,0.001
7.408,2.33953e-06,0.001
7.788,2.05618e-06,0.001
8.187,1.78997e-06,0.0011
8.607,1.55806e-06,0.0011
9.048,1.3485e-06,0.0011
9.512,1.17195e-06,0.0012
10.0,1.02534e-06,0.0012
10.51,1.29472e-06,0.001
11.05,1.22097e-06,0.001
11.62,1.16475e-06,0.001
12.21,1.1099e-06,0.001
12.52,5.52138e-07,0.0014
12.84,5.52449e-07,0.0014
13.5,1.0962e-06,0.001
13.84,5.45363e-07,0.0013
14.19,2.68293e-07,0.002
14.55,3.63573e-08,0.0066
14.92,2.99698e-08,0.0071
15.68,4.45149e-08,0.0059
16.49,2.99097e-08,0.0072
16.9,1.03324e-08,0.0122
17.33,8.43037e-09,0.0132
19.64,2.23988e-08,0.0082
