Energy,Value,Error
1e-07,1.32248e-06,0.0002
4.14e-07,8.3215e-07,0.0003
5.316e-07,1.42308e-07,0.0007
6.826e-07,1.48946e-07,0.0007
8.764e-07,1.56075e-07,0.0006
1.125e-06,1.63816e-07,0.0006
1.445e-06,1.73356e-07,0.0006
1.855e-06,1.83019e-07,0.0006
2.382e-06,1.93403e-07,0.0006
3.059e-06,2.04285e-07,0.0006
3.928e-06,2.15632e-07,0.0005
5.043e-06,2.2766e-07,0.0005
6.476e-06,2.40805e-07,0.0005
8.315e-06,2.54378e-07,0.0005
1.068e-05,2.68871e-07,0.0005
1.371e-05,2.82892e-07,0.0005
1.76e-05,2.99112e-07,0.0005
2.26e-05,3.16273e-07,0.0004
2.902e-05,3.33765e-07,0.0004
3.727e-05,3.52213e-07,0.0004
4.785e-05,3.70719e-07,0.0004
6.144e-05,3.91008e-07,0.0004
7.889e-05,4.11655e-07,0.0004
0.0001013,4.33344e-07,0.0004
0.0001301,4.55582e-07,0.0004
0.000167,4.775e-07,0.0004
0.0002145,5.02153e-07,0.0004
0.0002754,5.25549e-07,0.0003
0.0003536,5.5013e-07,0.0003
0.000454,5.75133e-07,0.0003
0.0005829,6.00105e-07,0.0003
0.0007485,6.259e-07,0.0003
0.0009611,6.50575e-07,0.0003
0.001234,6.75716e-07,0.0003
0.001585,7.01298e-07,0.0003
0.002035,7.23645e-07,0.0003
0.002249,2.9573e-07,0.0005
0.002485,2.98809e-07,0.0004
0.002613,1.51952e-07,0.0006
0.002747,1.51839e-07,0.0006
0.003035,3.05685e-07,0.0004
0.003355,3.10594e-07,0.0004
0.003707,3.12551e-07,0.0004
0.004307,4.76113e-07,0.0004
0.005531,8.09652e-07,0.0003
0.007102,8.26576e-07,0.0003
0.009119,8.42234e-07,0.0003
0.01059,5.09695e-07,0.0003
0.01171,3.44899e-07,0.0004
0.01503,8.60749e-07,0.0003
0.0193,8.64876e-07,0.0003
0.02187,4.32077e-07,0.0004
0.02358,2.59539e-07,0.0005
0.02418,8.64004e-08,0.0008
0.02479,8.56141e-08,0.0008
0.02606,1.71531e-07,0.0006
0.027,1.21314e-07,0.0007
0.0285,1.84331e-07,0.0005
0.03183,3.74975e-07,0.0004
0.03431,2.52097e-07,0.0005
0.04087,5.78255e-07,0.0003
0.04631,4.03021e-07,0.0004
0.05248,3.93866e-07,0.0004
0.05656,2.30783e-07,0.0005
0.06738,5.24622e-07,0.0003
0.07202,1.93715e-07,0.0005
0.0795,2.81342e-07,0.0004
0.0825,1.03423e-07,0.0007
0.08652,1.31378e-07,0.0006
0.09804,3.36988e-07,0.0004
0.1111,2.92721e-07,0.0004
0.1168,1.13124e-07,0.0007
0.1228,1.12564e-07,0.0007
0.1291,1.11454e-07,0.0007
0.1357,1.1025e-07,0.0007
0.1426,1.08921e-07,0.0007
0.15,1.10058e-07,0.0007
0.1576,1.06816e-07,0.0007
0.1657,1.07488e-07,0.0007
0.1742,1.065e-07,0.0007
0.1832,1.06285e-07,0.0007
0.1925,1.0377e-07,0.0007
0.2024,1.04355e-07,0.0007
0.2128,1.03464e-07,0.0007
0.2237,1.02283e-07,0.0007
0.2352,1.01716e-07,0.0007
0.2472,1.00031e-07,0.0008
0.2732,1.98751e-07,0.0005
0.2872,9.78526e-08,0.0008
0.2945,4.8709e-08,0.0011
0.2972,1.76589e-08,0.0018
0.2985,8.46253e-09,0.0026
0.302,2.25188e-08,0.0016
0.3337,1.90423e-07,0.0005
0.3688,1.8619e-07,0.0005
0.3877,9.11962e-08,0.0008
0.4076,9.04598e-08,0.0008
0.4505,1.77883e-07,0.0005
0.4979,1.74786e-07,0.0005
0.5234,8.65004e-08,0.0008
0.5502,8.62537e-08,0.0008
0.5784,8.62095e-08,0.0008
0.6081,8.63613e-08,0.0008
0.6393,8.63835e-08,0.0008
0.6721,8.66921e-08,0.0008
0.7065,8.70303e-08,0.0008
0.7427,8.76304e-08,0.0008
0.7808,8.83702e-08,0.0007
0.8209,8.90171e-08,0.0007
0.8629,8.95172e-08,0.0008
0.9072,9.04195e-08,0.0007
0.9617,1.06241e-07,0.0007
1.003,7.52952e-08,0.0009
1.108,1.34793e-07,0.0007
1.165,7.0948e-08,0.0009
1.225,7.33554e-08,0.0009
1.287,7.44529e-08,0.0009
1.353,7.78945e-08,0.0008
1.423,8.13442e-08,0.0008
1.496,8.33633e-08,0.0008
1.572,8.55098e-08,0.0008
1.653,8.97079e-08,0.0008
1.738,9.2805e-08,0.0008
1.827,9.58257e-08,0.0007
1.921,9.9883e-08,0.0007
2.019,1.02902e-07,0.0007
2.122,1.06992e-07,0.0007
2.231,1.11898e-07,0.0007
2.307,7.74531e-08,0.0008
2.346,3.95116e-08,0.0011
2.365,1.92058e-08,0.0016
2.385,2.01352e-08,0.0015
2.466,8.13031e-08,0.0008
2.592,1.2546e-07,0.0006
2.725,1.31031e-07,0.0006
2.865,1.36449e-07,0.0006
3.012,1.42056e-07,0.0006
3.166,1.47976e-07,0.0005
3.329,1.55694e-07,0.0005
3.679,3.31085e-07,0.0004
4.066,3.60291e-07,0.0003
4.493,3.89883e-07,0.0003
4.724,2.07373e-07,0.0004
4.966,2.14556e-07,0.0004
5.22,2.22571e-07,0.0004
5.488,2.31928e-07,0.0004
5.77,2.41331e-07,0.0004
6.065,2.49174e-07,0.0004
6.376,2.59659e-07,0.0004
6.592,1.78546e-07,0.0004
6.703,9.10978e-08,0.0006
7.047,2.80711e-07,0.0003
7.408,2.91659e-07,0.0003
7.788,3.04475e-07,0.0003
8.187,3.17563e-07,0.0003
8.607,3.32227e-07,0.0003
9.048,3.47686e-07,0.0003
9.512,3.66062e-07,0.0003
10.0,3.87908e-07,0.0003
10.51,6.07734e-07,0.0002
11.05,6.27506e-07,0.0002
11.62,6.43442e-07,0.0002
12.21,6.44139e-07,0.0002
12.52,3.28842e-07,0.0003
12.84,3.3205e-07,0.0003
13.5,6.58622e-07,0.0002
13.84,3.23777e-07,0.0003
14.19,1.48446e-07,0.0004
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
