Energy,Value,Error
0.01,4.32332e-12,0.4663
0.02,6.95664e-13,0.7096
0.05,7.77951e-09,0.0114
0.1,6.40562e-07,0.0015
0.2,1.59721e-06,0.0008
0.3,9.74729e-07,0.001
0.4,7.26712e-07,0.0011
0.6,1.18535e-06,0.0008
0.8,6.63315e-07,0.001
1.0,5.13112e-07,0.001
1.22,4.7057e-07,0.001
1.44,4.05731e-07,0.0011
1.66,3.75237e-07,0.0011
2.0,1.3733e-06,0.0007
2.5,3.80648e-07,0.0011
3.0,2.94425e-07,0.0012
4.0,8.0207e-07,0.0008
5.0,8.45752e-07,0.0007
6.5,2.58196e-07,0.0014
8.0,1.38973e-07,0.0019
10.0,4.19572e-08,0.0035
12.0,9.43235e-10,0.0213
14.0,5.90091e-10,0.029
20.0,2.62244e-10,0.0392
