Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,1.3225984169774205e-13,0.4185
5.316e-07,2.6781284054945673e-12,0.2647
6.826e-07,1.1082414937971883e-11,0.2105
8.764e-07,2.821887568875494e-11,0.094
1.125e-06,8.719035045408083e-11,0.0586
1.445e-06,1.3217389408381356e-10,0.0561
1.855e-06,1.7371488317343325e-10,0.0445
2.382e-06,2.171763480664554e-10,0.0386
3.059e-06,2.9374138186105226e-10,0.0354
3.928e-06,3.792329953632285e-10,0.0317
5.043e-06,5.123088583468991e-10,0.0263
6.476e-06,6.45424943585702e-10,0.023
8.315e-06,8.003942202534449e-10,0.0209
1.068e-05,1.0786110975670724e-09,0.0179
1.371e-05,1.4386913834644411e-09,0.0197
1.76e-05,1.896254701016779e-09,0.0149
2.26e-05,2.424133435722689e-09,0.013
2.902e-05,3.1608291702971687e-09,0.0116
3.727e-05,4.038633101342176e-09,0.0102
4.785e-05,5.1272917876566866e-09,0.0087
6.144e-05,6.72274969142789e-09,0.0077
7.889e-05,8.580226920657953e-09,0.0069
0.0001013,1.1256402145567978e-08,0.0062
0.0001301,1.4412091787976678e-08,0.0055
0.000167,1.8575121431824753e-08,0.0048
0.0002145,2.3968670699629698e-08,0.0042
0.0002754,3.070141715732345e-08,0.0037
0.0003536,3.9522169539901764e-08,0.0033
0.000454,5.0708422445116286e-08,0.0029
0.0005829,6.529169893303991e-08,0.0025
0.0007485,8.324230062794815e-08,0.0023
0.0009611,1.070792912870552e-07,0.002
0.001234,1.37675085151508e-07,0.0018
0.001585,1.760913505793661e-07,0.0016
0.002035,2.2527142577195413e-07,0.0014
0.002249,2.6725511548320957e-07,0.002
0.002485,2.949182154021547e-07,0.0019
0.002613,3.1668849691524934e-07,0.0026
0.002747,3.3096502308533243e-07,0.0025
0.003035,3.5679619057134274e-07,0.0017
0.003355,3.940489195299066e-07,0.0016
0.003707,4.337967275655627e-07,0.0016
0.004307,4.892024051195673e-07,0.0012
0.005531,5.936463684213328e-07,0.0008
0.007102,7.51732535395517e-07,0.0008
0.009119,9.481457643744651e-07,0.0007
0.01059,1.137886913193531e-06,0.0008
0.01171,1.2748050596143745e-06,0.0009
0.01503,1.4938521300771757e-06,0.0005
0.0193,1.8739775415847368e-06,0.0005
0.02187,2.2390796401694885e-06,0.0006
0.02358,2.48640263764979e-06,0.0007
