Energy,Value,Error
0.01,6.0967400609674e-10,0.1701
0.02,9.4597e-10,0.1517
0.05,6.386633333333333e-08,0.0119
0.1,6.42716e-06,0.0008
0.2,1.16295e-05,0.0004
0.3,7.730770000000002e-06,0.0005
0.4,5.695289999999998e-06,0.0006
0.6,4.717635000000001e-06,0.0004
0.8,2.778309999999999e-06,0.0005
1.0,2.3783750000000003e-06,0.0005
1.22,1.47915e-06,0.0006
1.44,1.2627545454545456e-06,0.0006
1.66,1.2705090909090911e-06,0.0006
2.0,1.6921117647058819e-06,0.0005
2.5,1.091698e-06,0.0005
3.0,1.00444e-06,0.0005
4.0,4.79206e-07,0.0005
5.0,2.79204e-07,0.0006
6.5,1.5936533333333334e-07,0.0007
8.0,6.244273333333334e-08,0.0011
10.0,1.40628e-08,0.002
12.0,6.127e-10,0.0097
14.0,2.94288e-11,0.0455
20.0,4.669616666666667e-13,0.1849
