Energy,Value,Error
0.01,1.7813800178138e-09,0.2414
0.02,0.0,0.0
0.05,2.05723e-10,0.2727
0.1,5.56482e-07,0.0069
0.2,3.2257e-06,0.0017
0.3,3.1846100000000007e-06,0.0016
0.4,2.4891699999999994e-06,0.0018
0.6,2.00231e-06,0.0014
0.8,1.1483249999999997e-06,0.0016
1.0,2.0418050000000004e-06,0.0013
1.22,5.298454545454546e-07,0.0021
1.44,7.97609090909091e-07,0.0019
1.66,4.768545454545455e-07,0.0023
2.0,3.19020588235294e-07,0.0022
2.5,2.67018e-07,0.002
3.0,2.13568e-07,0.0022
4.0,1.68715e-07,0.0018
5.0,1.24926e-07,0.002
6.5,6.64458e-08,0.0023
8.0,4.838333333333333e-08,0.0027
10.0,4.2181e-09,0.0084
12.0,6.29995e-10,0.0224
14.0,1.435175e-11,0.1358
20.0,8.986833333333334e-12,0.0963
