Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,0.0,0.0
7.889e-05,0.0,0.0
0.0001013,1.3305900349655036e-12,1.0
0.0001301,3.0708668037438497e-12,0.7134
0.000167,3.960087746586932e-13,1.0
0.0002145,6.331359037491813e-13,1.0
0.0002754,0.0,0.0
0.0003536,9.678655340827553e-12,0.3276
0.000454,1.0086069109652982e-10,0.1052
0.0005829,2.511339228890513e-10,0.063
0.0007485,6.499355614192577e-11,0.1205
0.0009611,1.4216067280865898e-10,0.0954
0.001234,3.128443074475781e-09,0.02
0.001585,1.568842032332894e-08,0.0088
0.002035,8.06533798266838e-07,0.0011
0.002249,5.210408643756132e-07,0.0022
0.002485,1.8523657878747182e-08,0.015
0.002613,5.2115696226945545e-09,0.0455
0.002747,6.745454169823964e-08,0.0137
0.003035,2.664489715776441e-07,0.0034
0.003355,2.6984843032861384e-08,0.0122
0.003707,3.177832350325483e-08,0.0103
0.004307,7.234032363375678e-08,0.0059
0.005531,4.040387080285029e-08,0.0065
0.007102,1.4421229855249332e-07,0.0033
0.009119,1.961235759364021e-06,0.0007
0.01059,2.3652355384979162e-06,0.0008
0.01171,2.7362154790786683e-06,0.001
0.01503,3.185969498488206e-06,0.0006
0.0193,4.140737698186022e-06,0.0005
0.02187,4.938239754722966e-06,0.0007
0.02358,5.109781640797938e-06,0.0008
0.02418,5.316164500204514e-06,0.0014
0.02479,5.491139508123196e-06,0.0014
0.02606,5.493159874115254e-06,0.001
0.027,5.448155681281617e-06,0.0012
0.0285,5.527637503433243e-06,0.001
0.03183,5.843157323563955e-06,0.0007
0.03431,6.401203027853431e-06,0.0008
0.04087,7.060436378949032e-06,0.0005
0.04631,7.561881623701451e-06,0.0006
0.05248,8.113902020597852e-06,0.0006
0.05656,8.457513565861347e-06,0.0007
0.06738,8.575906586033424e-06,0.0005
0.07202,8.572215378770566e-06,0.0008
0.0795,8.53860933736929e-06,0.0006
0.0825,8.25843676858119e-06,0.001
0.08652,8.059031041884865e-06,0.0009
0.09804,2.56185686949312e-06,0.001
0.1111,4.020298630653628e-07,0.0037
0.1168,4.077959623211853e-07,0.0055
0.1228,4.1501223087233737e-07,0.0058
0.1291,4.223781896942968e-07,0.0055
0.1357,4.2967737864465553e-07,0.0059
0.1426,4.3553492420628413e-07,0.0055
0.15,4.5155551431990204e-07,0.0054
0.1576,4.612089794718071e-07,0.0053
0.1657,4.846829070919239e-07,0.0054
0.1742,4.986712682271078e-07,0.005
0.1832,5.266624796303653e-07,0.0049
0.1925,5.597755785741438e-07,0.0049
0.2024,5.99882946428648e-07,0.0046
0.2128,6.267530042026872e-07,0.0045
0.2237,6.561893608835796e-07,0.0044
0.2352,6.848366646682212e-07,0.0042
0.2472,7.066365211100231e-07,0.0042
0.2732,7.575035037689574e-07,0.0029
0.2872,8.163229046568259e-07,0.004
0.2945,8.424725186854593e-07,0.0058
0.2972,8.63362105182264e-07,0.0094
0.2985,8.379652774293136e-07,0.0136
0.302,8.588596886078162e-07,0.0078
0.3337,8.856321569768928e-07,0.0026
0.3688,9.21581434041763e-07,0.0026
0.3877,9.449119885410759e-07,0.0036
0.4076,9.637803146365628e-07,0.0038
0.4505,9.535725666169911e-07,0.0025
0.4979,9.378808125717272e-07,0.0025
0.5234,9.106580977004892e-07,0.0035
0.5502,8.713137492566722e-07,0.0036
0.5784,8.362825816698935e-07,0.0041
0.6081,7.930175476201548e-07,0.0039
0.6393,7.575095358767336e-07,0.0038
0.6721,7.112381560246663e-07,0.0039
0.7065,6.786392568482846e-07,0.0041
0.7427,6.275891988056569e-07,0.0043
0.7808,5.693803518029975e-07,0.0044
0.8209,5.184170561384491e-07,0.0045
0.8629,4.6267438848056725e-07,0.0047
0.9072,4.204727566466725e-07,0.005
0.9617,3.630860203698909e-07,0.005
1.003,3.1396322841105963e-07,0.006
1.108,2.726075307587848e-07,0.0044
1.165,2.2725433916651738e-07,0.0068
1.225,1.9417935463273165e-07,0.0074
1.287,1.5160324816686415e-07,0.008
1.353,1.3251058327147185e-07,0.0088
1.423,1.2128389763362846e-07,0.0093
1.496,1.1069658305916971e-07,0.0091
1.572,1.0760402723127019e-07,0.0102
1.653,1.0092505227269012e-07,0.0097
1.738,9.282194309545644e-08,0.01
1.827,8.17689129471485e-08,0.0119
1.921,7.695382371792924e-08,0.0116
2.019,7.079724553259297e-08,0.0118
2.122,7.045061146208708e-08,0.0129
2.231,6.565547084216893e-08,0.0117
2.307,6.359442194799357e-08,0.0147
2.346,6.107098442095683e-08,0.022
2.365,5.9027890079069125e-08,0.0311
2.385,6.000223916235961e-08,0.0295
2.466,6.098278041546384e-08,0.0145
2.592,5.490587331526894e-08,0.0127
2.725,5.340391917081904e-08,0.013
2.865,5.2117246755717444e-08,0.0138
3.012,4.8081020350428765e-08,0.0131
3.166,4.565959914576439e-08,0.0135
3.329,4.576738703197498e-08,0.0143
3.679,4.460892094566112e-08,0.0103
4.066,4.5399492551174304e-08,0.0103
4.493,4.4065788954623255e-08,0.0097
4.724,4.4586178116831324e-08,0.0234
4.966,4.31903986055487e-08,0.0147
5.22,4.217593224574167e-08,0.014
5.488,4.2172320488892486e-08,0.0145
5.77,4.177500715894734e-08,0.0135
6.065,4.2222945293704386e-08,0.0132
6.376,4.2107810964958086e-08,0.013
6.592,4.084061953361145e-08,0.0162
6.703,4.357945838998886e-08,0.0242
7.047,4.233856520176705e-08,0.0143
7.408,4.08905366928465e-08,0.0121
7.788,4.2950135983184306e-08,0.012
8.187,4.353182796137797e-08,0.0114
8.607,4.396791831493762e-08,0.0113
9.048,4.625648450084866e-08,0.0108
9.512,4.8276538614499455e-08,0.0102
10.0,6.702453379017117e-08,0.0085
10.51,1.0957540771557814e-07,0.0067
11.05,1.2023093976161262e-07,0.0064
11.62,1.2787638700326968e-07,0.006
12.21,1.3814113230790079e-07,0.0059
12.52,1.4526000060557484e-07,0.0082
12.84,1.5135708863626746e-07,0.0086
13.5,1.5628600049447155e-07,0.0056
13.84,1.396423041200772e-07,0.0083
14.19,3.240624124260976e-08,0.0179
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
