Energy,Value,Error
1e-07,7.011423833638859e-13,0.1346
4.14e-07,2.171633101479634e-10,0.0166
5.316e-07,1.069543535392053e-09,0.0192
6.826e-07,1.702943365988356e-09,0.0148
8.764e-07,2.73489349371835e-09,0.0124
1.125e-06,4.1983342295227895e-09,0.0096
1.445e-06,6.1429026297504924e-09,0.0078
1.855e-06,8.688326478891596e-09,0.007
2.382e-06,1.197004948800603e-08,0.0058
3.059e-06,1.6379569879612842e-08,0.005
3.928e-06,2.148600239199617e-08,0.004
5.043e-06,2.7734618509066375e-08,0.0039
6.476e-06,3.564187341017524e-08,0.0038
8.315e-06,4.4429450493712706e-08,0.0033
1.068e-05,5.534618974652562e-08,0.003
1.371e-05,6.678447387580742e-08,0.003
1.76e-05,8.038726028924336e-08,0.0028
2.26e-05,9.574366667043317e-08,0.0026
2.902e-05,1.1400868319542507e-07,0.0025
3.727e-05,1.3317721184294908e-07,0.0024
4.785e-05,1.5496449256509506e-07,0.0022
6.144e-05,1.7982761400739604e-07,0.0022
7.889e-05,2.056662392405654e-07,0.002
0.0001013,2.3521555436703902e-07,0.0019
0.0001301,2.6616619514301825e-07,0.0018
0.000167,2.9915203769676407e-07,0.0017
0.0002145,3.362275080186815e-07,0.0017
0.0002754,3.7440312480963546e-07,0.0016
0.0003536,4.1374441160169436e-07,0.0015
0.000454,4.5704238633720397e-07,0.0015
0.0005829,5.013115338177042e-07,0.0014
0.0007485,5.469544474510859e-07,0.0013
0.0009611,5.938947581197052e-07,0.0013
0.001234,6.392711973582729e-07,0.0013
0.001585,6.862680190172988e-07,0.0012
0.002035,7.913044016732162e-07,0.0012
0.002249,8.503752783731599e-07,0.0017
0.002485,8.696294274594298e-07,0.0017
0.002613,8.828119167250881e-07,0.0024
0.002747,8.935837668728214e-07,0.0024
0.003035,9.061862774455566e-07,0.0017
0.003355,9.250656425431335e-07,0.0017
0.003707,9.442839584760091e-07,0.0017
0.004307,9.649464864198363e-07,0.0014
0.005531,9.969734380331462e-07,0.001
0.007102,1.0325077712679207e-06,0.001
0.009119,1.0663614652144507e-06,0.001
0.01059,1.0870611060513972e-06,0.0012
0.01171,1.101936480252341e-06,0.0015
0.01503,1.1149414909093113e-06,0.0009
0.0193,1.134089916763709e-06,0.0009
0.02187,1.155652717617675e-06,0.0013
0.02358,1.0491882178907923e-06,0.0017
0.02418,1.1964046534646022e-06,0.0028
0.02479,1.2051415425970005e-06,0.0028
0.02606,1.2362186715188123e-06,0.0019
0.027,1.2687237647782075e-06,0.0022
0.0285,1.2953726556408759e-06,0.0018
0.03183,2.3900333187503767e-06,0.0008
0.03431,1.0094443148459357e-06,0.0017
0.04087,1.7650147871655522e-06,0.0008
0.04631,1.7897414804662764e-05,0.0002
0.05248,9.759884647396637e-06,0.0003
0.05656,1.4570746532578773e-07,0.0052
