Energy,Value,Error
0.01,6.934070069340701e-10,0.2512
0.02,0.0,0.0
0.05,8.245933333333332e-12,1.0
0.1,1.1928280000000001e-08,0.046
0.2,1.79555e-07,0.008
0.3,2.5973300000000004e-07,0.0058
0.4,2.424079999999999e-07,0.0063
0.6,2.1973600000000006e-07,0.0049
0.8,7.718849999999998e-08,0.0097
1.0,7.638250000000003e-08,0.0074
1.22,5.4608181818181824e-08,0.0077
1.44,5.340318181818183e-08,0.0075
1.66,5.1287272727272734e-08,0.0083
2.0,3.8637058823529407e-08,0.0071
2.5,3.15804e-08,0.0067
3.0,2.91582e-08,0.0067
4.0,2.49996e-08,0.0053
5.0,1.59375e-08,0.007
6.5,1.3543333333333334e-08,0.0059
8.0,7.4452e-09,0.0087
10.0,5.1129e-09,0.0088
12.0,5.6324e-12,0.2417
14.0,3.601125e-13,0.7303
20.0,2.3002e-13,0.6503
