Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,1.91592e-13,1.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,1.43851e-13,0.7073
6.144e-05,3.92662e-13,0.7218
7.889e-05,0.0,0.0
0.0001013,2.32409e-13,0.5796
0.0001301,5.5464e-13,0.5966
0.000167,1.08951e-13,1.0
0.0002145,0.0,0.0
0.0002754,1.97194e-13,0.7336
0.0003536,7.69479e-13,0.7754
0.000454,1.48633e-12,0.5622
0.0005829,5.83134e-12,0.3995
0.0007485,4.23568e-12,0.201
0.0009611,1.59941e-11,0.1109
0.001234,4.11515e-11,0.0858
0.001585,9.42588e-11,0.0488
0.002035,2.41494e-10,0.0315
0.002249,1.86032e-10,0.0392
0.002485,2.90116e-10,0.0334
0.002613,1.86967e-10,0.0317
0.002747,2.46595e-10,0.028
0.003035,6.23239e-10,0.0193
0.003355,9.38659e-10,0.015
0.003707,1.36913e-09,0.0125
0.004307,3.26177e-09,0.0085
0.005531,1.11856e-08,0.0045
0.007102,2.40942e-08,0.003
0.009119,4.7404e-08,0.0022
0.01059,4.54762e-08,0.0022
0.01171,3.94173e-08,0.0023
0.01503,1.39214e-07,0.0012
0.0193,2.12509e-07,0.001
0.02187,1.3568e-07,0.0012
0.02358,9.22204e-08,0.0015
0.02418,3.30274e-08,0.0025
0.02479,3.41994e-08,0.0024
0.02606,7.15409e-08,0.0017
0.027,5.14909e-08,0.002
0.0285,8.13139e-08,0.0016
0.03183,1.81139e-07,0.0011
0.03431,1.36554e-07,0.0012
0.04087,3.58254e-07,0.0008
0.04631,2.79763e-07,0.0009
0.05248,2.96907e-07,0.0009
0.05656,1.82229e-07,0.0011
0.06738,4.05707e-07,0.0007
0.07202,1.58861e-07,0.0012
0.0795,2.31334e-07,0.001
0.0825,8.5776e-08,0.0016
0.08652,1.05815e-07,0.0015
0.09804,2.65341e-07,0.0009
0.1111,2.19314e-07,0.0011
0.1168,2.99508e-08,0.0034
0.1228,2.98091e-08,0.0035
0.1291,2.99953e-08,0.0034
0.1357,3.04624e-08,0.0035
0.1426,3.08136e-08,0.0035
0.15,3.155e-08,0.0036
0.1576,3.13344e-08,0.0035
0.1657,3.20723e-08,0.0035
0.1742,3.23819e-08,0.0035
0.1832,3.2818e-08,0.0035
0.1925,3.25982e-08,0.0043
0.2024,3.29095e-08,0.0035
0.2128,3.27503e-08,0.0035
0.2237,3.29951e-08,0.0037
0.2352,3.31394e-08,0.0036
0.2472,3.31534e-08,0.0036
0.2732,6.67191e-08,0.0026
0.2872,3.38479e-08,0.0036
0.2945,1.67514e-08,0.005
0.2972,6.06831e-09,0.0088
0.2985,2.90778e-09,0.0122
0.302,7.93419e-09,0.0092
0.3337,6.69719e-08,0.0026
0.3688,6.60275e-08,0.0027
0.3877,3.27493e-08,0.0037
0.4076,3.23163e-08,0.0038
0.4505,6.27794e-08,0.0027
0.4979,5.96678e-08,0.0028
0.5234,2.84888e-08,0.004
0.5502,2.75705e-08,0.0042
0.5784,2.66003e-08,0.0042
0.6081,2.51062e-08,0.0041
0.6393,2.40337e-08,0.0043
0.6721,2.27129e-08,0.0049
0.7065,2.12902e-08,0.0047
0.7427,1.99015e-08,0.0048
0.7808,1.82094e-08,0.0055
0.8209,1.68475e-08,0.0059
0.8629,1.54576e-08,0.0053
0.9072,1.40843e-08,0.0059
0.9617,1.48446e-08,0.0054
1.003,9.97862e-09,0.0068
1.108,2.13094e-08,0.0047
1.165,9.5244e-09,0.0067
1.225,9.03419e-09,0.008
1.287,8.31412e-09,0.0076
1.353,7.83839e-09,0.0076
1.423,7.4474e-09,0.0074
1.496,7.01654e-09,0.0088
1.572,6.69148e-09,0.0079
1.653,6.40564e-09,0.0081
1.738,6.07832e-09,0.0083
1.827,5.76475e-09,0.008
1.921,5.63889e-09,0.0085
2.019,5.32795e-09,0.0084
2.122,5.01945e-09,0.0087
2.231,4.71367e-09,0.0095
2.307,3.05154e-09,0.0112
2.346,1.46531e-09,0.0164
2.365,6.92288e-10,0.0229
2.385,7.20506e-10,0.0222
2.466,2.75978e-09,0.0113
2.592,3.88612e-09,0.0102
2.725,3.58925e-09,0.0103
2.865,3.2752e-09,0.0105
3.012,3.0131e-09,0.0108
3.166,2.7515e-09,0.0112
3.329,2.57298e-09,0.0121
3.679,4.55864e-09,0.0096
4.066,3.78403e-09,0.0096
4.493,3.31672e-09,0.0104
4.724,1.51788e-09,0.0159
4.966,1.41676e-09,0.0154
5.22,1.37575e-09,0.0158
5.488,1.36696e-09,0.0211
5.77,1.38111e-09,0.0143
6.065,1.47285e-09,0.0145
6.376,1.50483e-09,0.0139
6.592,1.0039e-09,0.0164
6.703,5.39646e-10,0.0227
7.047,1.66318e-09,0.0141
7.408,1.75014e-09,0.0123
7.788,1.8907e-09,0.0119
8.187,2.04142e-09,0.0115
8.607,2.14136e-09,0.011
9.048,2.39768e-09,0.0106
9.512,2.72552e-09,0.0106
10.0,3.7152e-09,0.0084
10.51,5.90897e-09,0.0066
11.05,6.50566e-09,0.0062
11.62,7.14721e-09,0.0059
12.21,7.74779e-09,0.0057
12.52,4.20264e-09,0.0077
12.84,4.32691e-09,0.0077
13.5,8.42848e-09,0.0054
13.84,3.92635e-09,0.0077
14.19,8.98372e-10,0.016
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
