Energy,Value,Error
0.01,3.7010300370103e-08,0.0814
0.02,6.443479999999999e-09,0.1689
0.05,3.198906666666666e-10,0.354
0.1,1.6964499999999998e-07,0.0207
0.2,3.24908e-06,0.0029
0.3,5.909970000000001e-06,0.002
0.4,5.196299999999998e-06,0.002
0.6,5.706700000000002e-06,0.0013
0.8,1.8881399999999996e-06,0.0021
1.0,1.5220650000000003e-06,0.0022
1.22,1.3369e-06,0.0022
1.44,1.0154681818181819e-06,0.0025
1.66,8.906954545454547e-07,0.0026
2.0,7.318117647058822e-07,0.0023
2.5,7.63496e-07,0.0018
3.0,6.38034e-07,0.002
4.0,5.04129e-07,0.0016
5.0,3.44801e-07,0.0019
6.5,2.09866e-07,0.002
8.0,9.0374e-08,0.003
10.0,5.13285e-08,0.0035
12.0,2.937285e-11,0.1452
14.0,8.7198e-12,0.3276
20.0,1.5791433333333333e-12,0.4046
