Energy,Value,Error
0.01,0.0,0.0
0.02,2.6383e-09,0.0521
0.05,3.28706e-11,0.2913
0.1,4.13521e-09,0.041
0.2,4.33056e-07,0.0035
0.3,1.32041e-06,0.0019
0.4,1.17076e-06,0.0019
0.6,2.527e-06,0.0012
0.8,1.30657e-06,0.0015
1.0,1.08719e-06,0.0016
1.22,1.38315e-06,0.0015
1.44,6.33167e-07,0.0021
1.66,5.36851e-07,0.0023
2.0,7.83921e-07,0.0019
2.5,9.52023e-07,0.0017
3.0,7.41171e-07,0.0019
4.0,1.08987e-06,0.0016
5.0,6.4818e-07,0.002
6.5,6.02598e-07,0.0021
8.0,2.03459e-07,0.0036
10.0,5.3001e-08,0.0068
12.0,2.3838e-09,0.0305
14.0,2.19296e-11,0.329
20.0,2.96543e-11,0.5945
