Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,5.653564199049906e-12,0.4671
2.26e-05,3.665408194648974e-12,0.4254
2.902e-05,3.836321679493684e-11,0.1496
3.727e-05,6.559181717209331e-11,0.1128
4.785e-05,1.0365435718206934e-10,0.097
6.144e-05,1.6579905123423042e-10,0.0758
7.889e-05,2.2793962830331951e-10,0.082
0.0001013,3.632308021357497e-10,0.0548
0.0001301,4.956338408490262e-10,0.0462
0.000167,7.317461156587389e-10,0.0399
0.0002145,1.1068892198808282e-09,0.0334
0.0002754,1.5071613516568742e-09,0.0262
0.0003536,2.273865861053237e-09,0.0234
0.000454,3.1574291266819705e-09,0.0206
0.0005829,4.620227173358981e-09,0.0172
0.0007485,6.4566451059723116e-09,0.0142
0.0009611,9.752836856828048e-09,0.0134
0.001234,1.4044697543383605e-08,0.0092
0.001585,2.107461098373696e-08,0.0077
0.002035,3.3036586637990464e-08,0.0063
0.002249,4.422518705093914e-08,0.0082
0.002485,5.37679329173875e-08,0.008
0.002613,6.212419237083542e-08,0.0102
0.002747,6.930835534216995e-08,0.0098
0.003035,7.777816540079659e-08,0.0066
0.003355,9.506192255509578e-08,0.0058
0.003707,1.1680630685890866e-07,0.0051
0.004307,1.5217504720314374e-07,0.0039
0.005531,2.3090667637262857e-07,0.0024
0.007102,3.8694552186954847e-07,0.0019
0.009119,6.274728750121291e-07,0.0014
0.01059,8.990704808712965e-07,0.0016
0.01171,1.1026327689084974e-06,0.0017
0.01503,1.4412410100117017e-06,0.001
0.0193,1.9594220970882454e-06,0.0008
0.02187,2.3314157075573766e-06,0.0011
0.02358,2.4960462413495386e-06,0.0014
0.02418,2.5748926869615125e-06,0.0025
0.02479,2.597555550580059e-06,0.0023
0.02606,2.643870287058456e-06,0.0016
0.027,2.6830057957082893e-06,0.0019
0.0285,2.73637143770391e-06,0.0016
0.03183,2.7715720838345777e-06,0.0011
0.03431,2.7701133563078826e-06,0.0013
0.04087,2.696916485880627e-06,0.0009
0.04631,2.511659121215056e-06,0.0012
0.05248,2.2885051013576376e-06,0.0013
0.05656,2.075908313548313e-06,0.0019
0.06738,1.7845972706079372e-06,0.0013
0.07202,1.5015506971200317e-06,0.0025
0.0795,1.3197533148482767e-06,0.0023
0.0825,1.1698194482612225e-06,0.0039
0.08652,1.0862552433155615e-06,0.0037
0.09804,9.432323201326438e-07,0.0024
0.1111,6.726448937238969e-07,0.003
0.1168,6.005711452152612e-07,0.0048
0.1228,5.811939909034562e-07,0.0061
0.1291,5.600528080541707e-07,0.0054
0.1357,5.450019735832166e-07,0.0053
0.1426,5.370734442099343e-07,0.0055
0.15,5.358893623127798e-07,0.0056
0.1576,5.261661383734283e-07,0.0055
0.1657,5.232732573188116e-07,0.0056
0.1742,5.217036875331826e-07,0.0055
0.1832,5.227934499820026e-07,0.0059
0.1925,5.1808947566591e-07,0.0055
0.2024,5.181318460507671e-07,0.006
0.2128,5.253396637730701e-07,0.0056
0.2237,5.343791297546938e-07,0.006
0.2352,5.36597117838992e-07,0.0054
0.2472,5.486911518950649e-07,0.0066
0.2732,5.530795912190409e-07,0.0038
0.2872,5.62748644145674e-07,0.0052
0.2945,5.678050116004373e-07,0.0078
0.2972,5.838307207197385e-07,0.0135
0.2985,5.755690085966194e-07,0.0166
0.302,5.867710725808553e-07,0.0116
0.3337,5.887580334806199e-07,0.0038
0.3688,6.046727987638183e-07,0.0037
0.3877,6.154087433045685e-07,0.0051
0.4076,6.27296790093041e-07,0.0054
0.4505,6.387885050800902e-07,0.0037
0.4979,6.476733101534265e-07,0.0035
0.5234,6.610882381562028e-07,0.005
0.5502,6.574594100431616e-07,0.0051
0.5784,6.527391956717036e-07,0.0048
0.6081,6.521271391590278e-07,0.0051
0.6393,6.398866618940586e-07,0.005
0.6721,6.215599018356947e-07,0.005
0.7065,6.1046280651676e-07,0.005
0.7427,5.947808527430933e-07,0.005
0.7808,5.820895294087784e-07,0.0054
0.8209,5.719469841451343e-07,0.0052
0.8629,5.555467579662708e-07,0.0053
0.9072,5.435529101425886e-07,0.0055
0.9617,5.215512314714033e-07,0.005
1.003,5.025632913025445e-07,0.0059
1.108,4.728956366243485e-07,0.004
1.165,4.3298548906293286e-07,0.006
1.225,4.08839095111009e-07,0.0062
1.287,3.773857790013693e-07,0.0066
1.353,3.4640180588237906e-07,0.0065
1.423,3.144699851228394e-07,0.0068
1.496,2.8418735340397906e-07,0.0071
1.572,2.5531636947057534e-07,0.0079
1.653,2.2585776736564383e-07,0.008
1.738,2.0289487659275537e-07,0.0083
1.827,1.825165052062962e-07,0.0089
1.921,1.689788226597326e-07,0.0093
2.019,1.5027718349723676e-07,0.0094
2.122,1.4364899352861377e-07,0.01
2.231,1.341749363592035e-07,0.0099
2.307,1.2479855648658473e-07,0.0129
2.346,1.2542404659576807e-07,0.017
2.365,1.2709837165501896e-07,0.0297
2.385,1.2499907380879028e-07,0.0246
2.466,1.1808961277484645e-07,0.0128
2.592,1.134918843845179e-07,0.011
2.725,1.0841059941933998e-07,0.011
2.865,9.909855737693305e-08,0.0112
3.012,9.412710421785383e-08,0.0112
3.166,8.665336803096416e-08,0.0117
3.329,8.253949438385385e-08,0.0119
3.679,7.220957230925883e-08,0.0089
4.066,6.427605525632375e-08,0.0097
4.493,5.8672604861783025e-08,0.0103
4.724,5.909313151369829e-08,0.0145
4.966,5.739971027521553e-08,0.0153
5.22,5.507639290570185e-08,0.0148
5.488,5.482649334210872e-08,0.0141
5.77,5.174303831391111e-08,0.0148
6.065,5.24937979698825e-08,0.0149
6.376,5.4798186827330165e-08,0.0135
6.592,6.054025132901989e-08,0.017
6.703,6.036628154776108e-08,0.0226
7.047,6.578541568166545e-08,0.013
7.408,7.844070107703187e-08,0.0114
7.788,8.057278549218237e-08,0.0114
8.187,8.093037161908483e-08,0.0112
8.607,8.706373015968888e-08,0.011
9.048,1.0143889710064577e-07,0.0098
9.512,1.2295717431169857e-07,0.009
10.0,1.881875735965227e-07,0.007
10.51,2.8968423825983684e-07,0.0056
11.05,3.00497514252562e-07,0.0054
11.62,3.3082873710431335e-07,0.0051
12.21,3.687423445072066e-07,0.0051
12.52,3.6469534612783097e-07,0.0067
12.84,3.6180618073556934e-07,0.0068
13.5,3.469349148680976e-07,0.005
13.84,2.756220411853893e-07,0.0072
14.19,5.221837714325123e-08,0.0153
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
