Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,1.40569e-12,0.4167
1.371e-05,0.0,0.0
1.76e-05,1.06617e-11,0.1968
2.26e-05,5.4116e-10,0.0428
2.902e-05,7.10493e-10,0.0429
3.727e-05,5.91076e-10,0.0515
4.785e-05,3.92491e-10,0.0658
6.144e-05,1.73085e-10,0.0904
7.889e-05,4.39842e-11,0.134
0.0001013,5.737e-13,0.7085
0.0001301,0.0,0.0
0.000167,0.0,0.0
0.0002145,0.0,0.0
0.0002754,0.0,0.0
0.0003536,0.0,0.0
0.000454,6.02154e-13,1.0
0.0005829,0.0,0.0
0.0007485,0.0,0.0
0.0009611,0.0,0.0
0.001234,0.0,0.0
0.001585,2.84695e-13,1.0
0.002035,1.76568e-12,0.6412
0.002249,4.70375e-13,1.0
0.002485,9.13956e-13,0.6199
0.002613,4.95006e-13,0.7073
0.002747,2.41689e-13,1.0
0.003035,2.56577e-12,0.3735
0.003355,2.13609e-12,0.4388
0.003707,2.97899e-12,0.3562
0.004307,9.02671e-12,0.2857
0.005531,1.67849e-11,0.1674
0.007102,4.16305e-11,0.1394
0.009119,7.48458e-11,0.1039
0.01059,7.99834e-11,0.0984
0.01171,9.01805e-11,0.1302
0.01503,2.62452e-10,0.0486
0.0193,5.41591e-10,0.0354
0.02187,4.22249e-10,0.0352
0.02358,3.4417e-10,0.0554
0.02418,1.10215e-10,0.0707
0.02479,1.40221e-10,0.0771
0.02606,2.80872e-10,0.0438
0.027,2.19977e-10,0.0518
0.0285,4.09485e-10,0.041
0.03183,1.0185e-09,0.0264
0.03431,9.08091e-10,0.0303
0.04087,3.2479e-09,0.0155
0.04631,3.4213e-09,0.0136
0.05248,4.91035e-09,0.0125
0.05656,3.60331e-09,0.0139
0.06738,1.08182e-08,0.0083
0.07202,5.07748e-09,0.0118
0.0795,8.39574e-09,0.0087
0.0825,3.43372e-09,0.0139
0.08652,4.61044e-09,0.0114
0.09804,1.30365e-08,0.0071
0.1111,1.39794e-08,0.0071
0.1168,5.66237e-09,0.0108
0.1228,5.73676e-09,0.0113
0.1291,5.66413e-09,0.0107
0.1357,5.64332e-09,0.0107
0.1426,5.62141e-09,0.011
0.15,5.71832e-09,0.0114
0.1576,5.44593e-09,0.0109
0.1657,5.547e-09,0.012
0.1742,5.55634e-09,0.0119
0.1832,5.51022e-09,0.0125
0.1925,5.18412e-09,0.0126
0.2024,5.20163e-09,0.0133
0.2128,5.06219e-09,0.0161
0.2237,4.788e-09,0.0181
0.2352,4.47785e-09,0.0145
0.2472,4.09371e-09,0.0166
0.2732,6.44497e-09,0.0127
0.2872,2.50552e-09,0.026
0.2945,1.12764e-09,0.0332
0.2972,4.05367e-10,0.0533
0.2985,1.85618e-10,0.0782
0.302,4.89917e-10,0.0501
0.3337,3.78852e-09,0.0194
0.3688,3.15537e-09,0.0229
0.3877,1.3499e-09,0.0314
0.4076,1.1939e-09,0.0313
0.4505,2.4167e-09,0.0269
0.4979,2.22941e-09,0.0227
0.5234,1.09703e-09,0.0337
0.5502,1.17163e-09,0.0332
0.5784,1.07815e-09,0.0349
0.6081,1.12078e-09,0.0326
0.6393,1.17176e-09,0.0353
0.6721,1.14587e-09,0.0349
0.7065,1.09988e-09,0.0335
0.7427,1.05405e-09,0.0332
0.7808,1.07318e-09,0.0417
0.8209,1.04767e-09,0.0359
0.8629,1.098e-09,0.0359
0.9072,1.01408e-09,0.0389
0.9617,1.16598e-09,0.0336
1.003,8.23339e-10,0.0379
1.108,1.87035e-09,0.0261
1.165,9.17825e-10,0.0349
1.225,9.5258e-10,0.037
1.287,8.78959e-10,0.0443
1.353,8.27285e-10,0.0359
1.423,8.85057e-10,0.0394
1.496,8.14246e-10,0.0373
1.572,8.09662e-10,0.0379
1.653,8.46331e-10,0.0389
1.738,7.42543e-10,0.0408
1.827,7.59843e-10,0.0403
1.921,7.49275e-10,0.0371
2.019,6.85669e-10,0.0465
2.122,6.34327e-10,0.0417
2.231,6.56923e-10,0.0447
2.307,4.21028e-10,0.05
2.346,2.08359e-10,0.0675
2.365,7.64712e-11,0.104
2.385,1.04432e-10,0.1099
2.466,3.78701e-10,0.0563
2.592,5.92497e-10,0.0433
2.725,5.09832e-10,0.0424
2.865,5.0815e-10,0.0465
3.012,4.44444e-10,0.0498
3.166,4.83342e-10,0.051
3.329,4.5586e-10,0.0437
3.679,8.51566e-10,0.0345
4.066,7.27448e-10,0.0359
4.493,6.52915e-10,0.0398
4.724,3.17274e-10,0.052
4.966,2.68668e-10,0.0576
5.22,2.85993e-10,0.0725
5.488,2.55473e-10,0.0571
5.77,2.65252e-10,0.0614
6.065,2.67029e-10,0.0532
6.376,3.03179e-10,0.0566
6.592,2.04166e-10,0.065
6.703,1.1417e-10,0.0889
7.047,3.23778e-10,0.0631
7.408,3.37031e-10,0.0456
7.788,3.29819e-10,0.0471
8.187,3.99127e-10,0.0481
8.607,4.10835e-10,0.0416
9.048,4.48534e-10,0.0395
9.512,5.14851e-10,0.0361
10.0,7.28949e-10,0.0306
10.51,1.20425e-09,0.025
11.05,1.40435e-09,0.0219
11.62,1.55443e-09,0.0211
12.21,1.72739e-09,0.0207
12.52,9.69861e-10,0.0253
12.84,1.01231e-09,0.0254
13.5,2.17139e-09,0.0171
13.84,9.58906e-10,0.0247
14.19,2.14397e-10,0.0508
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
