Energy,Value,Error
0.01,8.982040089820401e-11,0.7073
0.02,6.85109e-10,0.4652
0.05,8.6895e-09,0.158
0.1,5.2448e-09,0.0886
0.2,5.2721399999999995e-08,0.0251
0.3,1.6647200000000004e-07,0.0101
0.4,2.218039999999999e-07,0.0084
0.6,2.6579050000000007e-07,0.0068
0.8,1.3404599999999996e-07,0.0072
1.0,1.0841050000000003e-07,0.0078
1.22,9.334000000000001e-08,0.0081
1.44,8.090909090909092e-08,0.0082
1.66,7.235818181818183e-08,0.0088
2.0,6.380735294117645e-08,0.0075
2.5,5.26828e-08,0.0065
3.0,4.2903e-08,0.0072
4.0,2.98732e-08,0.0065
5.0,1.53963e-08,0.0087
6.5,5.61242e-09,0.0116
8.0,1.1660266666666667e-09,0.0261
10.0,9.0096e-11,0.077
12.0,5.87595e-13,0.7276
14.0,4.90793e-13,0.7092
20.0,0.0,0.0
