Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,1.9644951606767028e-13,0.6188
5.316e-07,1.9692162977283038e-12,0.389
6.826e-07,8.843893511548206e-12,0.2102
8.764e-07,2.863065804809543e-11,0.1285
1.125e-06,6.260479243775845e-11,0.1238
1.445e-06,9.217649643265645e-11,0.0802
1.855e-06,1.613990173431068e-10,0.0623
2.382e-06,2.178581959465378e-10,0.0573
3.059e-06,2.834434615157812e-10,0.0634
3.928e-06,3.4580345502765887e-10,0.0479
5.043e-06,3.088012470302559e-10,0.05
6.476e-06,3.602283814004382e-10,0.0415
8.315e-06,1.982440440754399e-09,0.0245
1.068e-05,2.795945781202553e-09,0.0226
1.371e-05,3.584778635986557e-09,0.0205
1.76e-05,4.4830232604004945e-09,0.0177
2.26e-05,5.47564287611485e-09,0.0162
2.902e-05,6.671816840539116e-09,0.0144
3.727e-05,7.623115819395705e-09,0.0143
4.785e-05,8.49711689397269e-09,0.0133
6.144e-05,8.660587430188185e-09,0.0121
7.889e-05,8.311739819998483e-09,0.011
0.0001013,8.433202771430495e-09,0.011
0.0001301,8.071394860168794e-09,0.0099
0.000167,1.662206297436681e-08,0.0078
0.0002145,2.2051053999151135e-08,0.0063
0.0002754,3.7714886002982476e-08,0.0055
0.0003536,6.304949192654257e-08,0.004
0.000454,7.016900389699709e-08,0.0037
0.0005829,9.276306041969719e-08,0.0033
0.0007485,8.625523104865495e-08,0.0033
0.0009611,9.921511959872996e-08,0.0028
0.001234,8.864767588246715e-08,0.0031
0.001585,1.902102817077436e-07,0.0019
0.002035,2.73121981795382e-07,0.0016
0.002249,3.4228572802716767e-07,0.0022
0.002485,3.8759262433805147e-07,0.0021
0.002613,4.271405313854864e-07,0.0029
0.002747,4.5403937297629357e-07,0.0027
0.003035,5.042034385238496e-07,0.0018
0.003355,5.755227545856675e-07,0.0017
0.003707,6.566447068205419e-07,0.0017
0.004307,7.801295046398116e-07,0.0012
0.005531,1.0231201528935414e-06,0.0008
0.007102,1.4516746873777926e-06,0.0007
0.009119,1.9824371404702717e-06,0.0006
0.01059,2.54016698707644e-06,0.0007
0.01171,2.988371442415313e-06,0.0008
0.01503,3.7072971416225237e-06,0.0004
0.0193,4.6946516447736355e-06,0.0004
0.02187,5.164668302196029e-06,0.0005
0.02358,5.055798713200448e-06,0.0007
0.02418,4.822232687479173e-06,0.0013
0.02479,4.5437795697402555e-06,0.0013
0.02606,4.298753627588797e-06,0.001
0.027,4.209588290843721e-06,0.0012
0.0285,4.162670000644773e-06,0.001
0.03183,4.1555527800938266e-06,0.0007
0.03431,4.248995487209097e-06,0.0008
0.04087,4.3605077663842205e-06,0.0006
0.04631,4.472229048862021e-06,0.0007
0.05248,4.6308982043892614e-06,0.0007
0.05656,4.891166045757101e-06,0.0008
0.06738,5.232943727036544e-06,0.0005
0.07202,5.496832954899956e-06,0.0008
0.0795,5.428497391727714e-06,0.0007
0.0825,5.589494923033076e-06,0.0012
0.08652,5.776955717578936e-06,0.001
0.09804,6.332554149266155e-06,0.0006
0.1111,5.549144250910386e-06,0.0006
0.1168,5.70114864894474e-06,0.001
0.1228,5.984455767887004e-06,0.001
0.1291,6.259209155097274e-06,0.001
0.1357,6.5531847263375e-06,0.001
0.1426,6.8647983560768e-06,0.001
0.15,7.201959605935632e-06,0.0009
0.1576,7.54138350777732e-06,0.0009
0.1657,7.880903326077431e-06,0.0009
0.1742,8.262905413490674e-06,0.0009
0.1832,8.61322625966916e-06,0.0008
0.1925,9.00946503160763e-06,0.0008
0.2024,9.428216140780238e-06,0.0008
0.2128,9.831316365064702e-06,0.0008
0.2237,1.025717897142982e-05,0.0008
0.2352,1.0686959624539194e-05,0.0008
0.2472,1.109562400522939e-05,0.0008
0.2732,1.1765946730783089e-05,0.0005
0.2872,1.2386745345253447e-05,0.0007
0.2945,1.2718362143435475e-05,0.001
0.2972,1.2863249570808445e-05,0.0017
0.2985,1.2883023067537482e-05,0.0024
0.302,1.298918262552599e-05,0.0015
0.3337,1.3376697613176826e-05,0.0005
0.3688,1.4031001417476154e-05,0.0005
0.3877,1.4481319170313975e-05,0.0007
0.4076,1.4732993803869333e-05,0.0007
0.4505,1.5043302564307987e-05,0.0005
0.4979,1.5238425334592617e-05,0.0005
0.5234,1.5128756225906378e-05,0.0007
0.5502,1.4817448298486672e-05,0.0007
0.5784,1.4384114022070218e-05,0.0007
0.6081,1.3873318696656707e-05,0.0007
0.6393,1.3217543689183776e-05,0.0007
0.6721,1.2398279967523754e-05,0.0008
0.7065,1.1431670768997656e-05,0.0008
0.7427,1.0330706577214994e-05,0.0008
0.7808,9.08218460635323e-06,0.0009
0.8209,7.80743454422245e-06,0.001
0.8629,6.575979421569768e-06,0.0011
0.9072,5.413437433309481e-06,0.0012
0.9617,4.318608955973267e-06,0.0012
1.003,3.5518969008620297e-06,0.0016
1.108,2.8844002283666935e-06,0.0011
1.165,2.3205055972629003e-06,0.0018
1.225,2.038619980633456e-06,0.0019
1.287,1.8067860392247798e-06,0.002
1.353,1.6205022687024e-06,0.0022
1.423,1.4692711416262052e-06,0.0022
1.496,1.3413606300941125e-06,0.0024
1.572,1.224771506852339e-06,0.0025
1.653,1.1151436179076564e-06,0.0026
1.738,1.0073049174607106e-06,0.0029
1.827,9.182412881897117e-07,0.0028
1.921,8.445562660765655e-07,0.0029
2.019,7.752441281849651e-07,0.0032
2.122,7.143279072948734e-07,0.0031
2.231,6.52162690936185e-07,0.0032
2.307,6.079694682453786e-07,0.0041
2.346,5.832440670338654e-07,0.0059
2.365,5.584575080648982e-07,0.0091
2.385,5.564413991686728e-07,0.0085
2.466,5.325513704895934e-07,0.0043
2.592,4.918047878673392e-07,0.0037
2.725,4.480656486125098e-07,0.0049
2.865,4.028389501136471e-07,0.0041
3.012,3.6153198785055834e-07,0.0042
3.166,3.296383209059527e-07,0.0043
3.329,2.95307070221503e-07,0.0045
3.679,2.597114650273896e-07,0.0035
4.066,2.1301808236363846e-07,0.0037
4.493,1.8428831762427085e-07,0.0039
4.724,1.7018079883305978e-07,0.0056
4.966,1.6516112992947884e-07,0.0057
5.22,1.6715349258751875e-07,0.0056
5.488,1.7412705097030928e-07,0.0055
5.77,1.7761787011012379e-07,0.0055
6.065,1.8699778649491276e-07,0.0053
6.376,2.0562168415892644e-07,0.005
6.592,2.2449103801154514e-07,0.0057
6.703,2.2520787489467056e-07,0.0082
7.047,2.2491344966238782e-07,0.0046
7.408,2.3475082910783822e-07,0.0046
7.788,2.464777109972761e-07,0.0045
8.187,2.7061385724147096e-07,0.0043
8.607,2.8544446541834284e-07,0.0042
9.048,2.962981455038483e-07,0.0041
9.512,3.1051928421230113e-07,0.0039
10.0,4.0130172581402247e-07,0.0034
10.51,7.294868112248234e-07,0.0025
11.05,7.649664502296255e-07,0.0024
11.62,8.288950014040641e-07,0.0023
12.21,9.10782223519084e-07,0.0022
12.52,9.805449888076052e-07,0.003
12.84,1.02651038898511e-06,0.0029
13.5,1.1039416761037877e-06,0.0019
13.84,1.104097121201839e-06,0.0027
14.19,3.006253450376783e-07,0.0048
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
