Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,9.24314e-14,1.0
5.316e-07,3.60963e-14,1.0
6.826e-07,1.97976e-13,0.419
8.764e-07,2.00097e-12,0.2407
1.125e-06,7.1209e-12,0.0908
1.445e-06,1.21178e-11,0.0783
1.855e-06,1.94236e-11,0.0822
2.382e-06,2.83525e-11,0.0508
3.059e-06,4.16113e-11,0.0494
3.928e-06,6.04015e-11,0.0423
5.043e-06,8.596e-11,0.034
6.476e-06,1.17219e-10,0.0334
8.315e-06,1.56707e-10,0.0263
1.068e-05,2.23105e-10,0.0227
1.371e-05,3.01037e-10,0.0197
1.76e-05,4.13962e-10,0.018
2.26e-05,5.82133e-10,0.0152
2.902e-05,7.52749e-10,0.0138
3.727e-05,9.92962e-10,0.0131
4.785e-05,1.13764e-09,0.0111
6.144e-05,1.12447e-09,0.013
7.889e-05,8.00404e-10,0.0115
0.0001013,1.07543e-09,0.0094
0.0001301,1.34695e-09,0.0086
0.000167,1.86561e-09,0.0075
0.0002145,2.46015e-09,0.0065
0.0002754,3.34027e-09,0.0054
0.0003536,4.47207e-09,0.0047
0.000454,5.97147e-09,0.004
0.0005829,7.82879e-09,0.0035
0.0007485,1.04353e-08,0.0033
0.0009611,1.36369e-08,0.0027
0.001234,1.82262e-08,0.0024
0.001585,2.31048e-08,0.0021
0.002035,3.02449e-08,0.0018
0.002249,1.44352e-08,0.0026
0.002485,1.60057e-08,0.0025
0.002613,8.73045e-09,0.0033
0.002747,9.11281e-09,0.0033
0.003035,1.94826e-08,0.0023
0.003355,2.16425e-08,0.0021
0.003707,2.38882e-08,0.002
0.004307,4.14564e-08,0.0015
0.005531,8.3314e-08,0.0011
0.007102,1.07956e-07,0.0009
0.009119,1.41292e-07,0.0008
0.01059,1.05806e-07,0.001
0.01171,8.16706e-08,0.0011
0.01503,2.45577e-07,0.0006
0.0193,3.28023e-07,0.0005
0.02187,2.0634e-07,0.0007
0.02358,1.39713e-07,0.0008
0.02418,4.94147e-08,0.0014
0.02479,5.06285e-08,0.0014
0.02606,1.06062e-07,0.001
0.027,7.89848e-08,0.0011
0.0285,1.27575e-07,0.0009
0.03183,2.89185e-07,0.0006
0.03431,2.17913e-07,0.0007
0.04087,5.89399e-07,0.0004
0.04631,5.03844e-07,0.0005
0.05248,5.89301e-07,0.0004
0.05656,3.91415e-07,0.0005
0.06738,1.03336e-06,0.0003
0.07202,4.31661e-07,0.0005
0.0795,6.53114e-07,0.0004
0.0825,2.43953e-07,0.0007
0.08652,3.05879e-07,0.0006
0.09804,7.48202e-07,0.0004
0.1111,4.56453e-07,0.0005
0.1168,1.82317e-07,0.0008
0.1228,1.95844e-07,0.0008
0.1291,2.09367e-07,0.0008
0.1357,2.23146e-07,0.0007
0.1426,2.37083e-07,0.0007
0.15,2.58571e-07,0.0007
0.1576,2.68536e-07,0.0007
0.1657,2.89279e-07,0.0007
0.1742,3.06471e-07,0.0006
0.1832,3.28002e-07,0.0006
0.1925,3.42691e-07,0.0006
0.2024,3.68645e-07,0.0006
0.2128,3.89576e-07,0.0006
0.2237,4.09482e-07,0.0006
0.2352,4.33813e-07,0.0005
0.2472,4.53793e-07,0.0005
0.2732,9.7915e-07,0.0004
0.2872,5.21974e-07,0.0005
0.2945,2.70049e-07,0.0007
0.2972,9.93603e-08,0.0011
0.2985,4.78063e-08,0.0016
0.302,1.2798e-07,0.001
0.3337,1.12666e-06,0.0003
0.3688,1.17071e-06,0.0003
0.3877,5.97523e-07,0.0005
0.4076,6.05407e-07,0.0005
0.4505,1.23073e-06,0.0003
0.4979,1.22112e-06,0.0003
0.5234,5.78268e-07,0.0005
0.5502,5.36118e-07,0.0005
0.5784,4.818e-07,0.0006
0.6081,4.27425e-07,0.0006
0.6393,3.8198e-07,0.0006
0.6721,3.4754e-07,0.0007
0.7065,3.22973e-07,0.0007
0.7427,3.04978e-07,0.0007
0.7808,2.88994e-07,0.0008
0.8209,2.71749e-07,0.0008
0.8629,2.51742e-07,0.0008
0.9072,2.3085e-07,0.0009
0.9617,2.38667e-07,0.0008
1.003,1.52508e-07,0.0011
1.108,3.24763e-07,0.0007
1.165,1.43784e-07,0.0011
1.225,1.30758e-07,0.0012
1.287,1.18079e-07,0.0013
1.353,1.10745e-07,0.0013
1.423,1.04116e-07,0.0013
1.496,9.62332e-08,0.0014
1.572,8.91452e-08,0.0014
1.653,8.40843e-08,0.0014
1.738,7.69375e-08,0.0015
1.827,6.84006e-08,0.0016
1.921,6.26096e-08,0.0016
2.019,5.64393e-08,0.0017
2.122,5.14619e-08,0.0018
2.231,4.67397e-08,0.0019
2.307,2.85942e-08,0.0024
2.346,1.35502e-08,0.0035
2.365,6.36993e-09,0.0051
2.385,6.45593e-09,0.0051
2.466,2.45507e-08,0.0026
2.592,3.35149e-08,0.0022
2.725,2.99182e-08,0.0023
2.865,2.69054e-08,0.0024
3.012,2.41346e-08,0.0026
3.166,2.20904e-08,0.0026
3.329,2.06865e-08,0.0027
3.679,3.64831e-08,0.0021
4.066,3.07261e-08,0.0022
4.493,2.76077e-08,0.0022
4.724,1.34511e-08,0.0032
4.966,1.32333e-08,0.0032
5.22,1.35383e-08,0.0032
5.488,1.38272e-08,0.0031
5.77,1.4421e-08,0.003
