Energy,Value,Error
1e-07,6.578446711664048e-15,1.0
4.14e-07,1.3211765784548504e-12,0.2266
5.316e-07,1.5998537555427853e-11,0.1671
6.826e-07,3.7071213929549186e-11,0.1293
8.764e-07,9.065574104998677e-11,0.0821
1.125e-06,1.6460598537210905e-10,0.0688
1.445e-06,2.0522774831117218e-10,0.0585
1.855e-06,2.6260755341720934e-10,0.0554
2.382e-06,3.760169108171458e-10,0.0473
3.059e-06,4.4177518611628986e-10,0.0403
3.928e-06,6.284296060546246e-10,0.0359
5.043e-06,8.107471478359792e-10,0.0324
6.476e-06,1.0358618128860468e-09,0.0322
8.315e-06,1.2809067986964548e-09,0.0274
1.068e-05,1.7234830173792841e-09,0.0221
1.371e-05,2.2206129852885138e-09,0.0213
1.76e-05,2.8705577763152968e-09,0.0182
2.26e-05,3.676673896255044e-09,0.0159
2.902e-05,4.6141877166859786e-09,0.014
3.727e-05,5.9832504470175334e-09,0.0124
4.785e-05,7.665085521084581e-09,0.0112
6.144e-05,9.683668472350956e-09,0.0101
7.889e-05,1.2264724364302727e-08,0.0086
0.0001013,1.5743348998275e-08,0.0077
0.0001301,1.9796818399606914e-08,0.0069
0.000167,2.516952723445763e-08,0.0064
0.0002145,3.238048066336934e-08,0.0056
0.0002754,4.0924739305640103e-08,0.0049
0.0003536,5.224457414164783e-08,0.0043
0.000454,6.69933257238901e-08,0.0038
0.0005829,8.451276907599253e-08,0.0033
0.0007485,1.0648953427356893e-07,0.003
0.0009611,1.2986422979749506e-07,0.0027
0.001234,1.6011427317028492e-07,0.0025
0.001585,2.1010773584695715e-07,0.0021
0.002035,2.7095761484386066e-07,0.0019
0.002249,3.234368156320891e-07,0.0026
0.002485,3.769228963847172e-07,0.0025
0.002613,4.017474740700094e-07,0.0034
0.002747,4.2199205200631094e-07,0.0033
0.003035,4.465596701230653e-07,0.0023
0.003355,4.907365347990196e-07,0.0022
0.003707,5.594302351427408e-07,0.002
0.004307,6.252634592564544e-07,0.0016
0.005531,7.331794716847359e-07,0.0011
0.007102,9.151194354313587e-07,0.001
0.009119,1.146714699607141e-06,0.0009
0.01059,2.0471546517798323e-06,0.0008
0.01171,1.694547755507066e-06,0.0012
0.01503,2.0983872322915906e-06,0.0007
0.0193,2.7527135688714487e-06,0.0006
0.02187,3.3700384792437683e-06,0.0007
0.02358,3.754071612142643e-06,0.0009
0.02418,3.897106481219551e-06,0.0015
0.02479,3.5545685019351263e-06,0.0016
0.02606,4.5299529196360386e-06,0.001
0.027,4.9617479813662034e-06,0.0012
0.0285,5.543691592761433e-06,0.0009
0.03183,7.536254823497394e-06,0.0005
0.03431,5.6226630255984885e-06,0.0007
0.04087,6.37073367120609e-06,0.0005
0.04631,7.361612137631095e-06,0.0005
0.05248,8.264212767106895e-06,0.0005
0.05656,8.937973818558565e-06,0.0006
0.06738,9.710635482757215e-06,0.0004
0.07202,1.0287027848186161e-05,0.0006
0.0795,1.0280816488801133e-05,0.0005
0.0825,1.002017433966517e-05,0.0008
0.08652,9.623285169085602e-06,0.0007
0.09804,8.838802999885938e-06,0.0005
0.1111,6.054169482318596e-06,0.0006
0.1168,6.062354777017497e-06,0.0009
0.1228,6.38671995114731e-06,0.0009
0.1291,6.7380191672651004e-06,0.0009
0.1357,7.097837717668207e-06,0.0008
0.1426,7.499918169443555e-06,0.0008
0.15,7.951923244557901e-06,0.0008
0.1576,8.373373332164041e-06,0.0008
0.1657,8.839925705300513e-06,0.0008
0.1742,9.342082803403672e-06,0.0007
0.1832,9.877261471877973e-06,0.0007
0.1925,1.0456361754340999e-05,0.0007
0.2024,1.107522224788591e-05,0.0007
0.2128,1.1672542766984534e-05,0.0007
0.2237,1.2333746333583128e-05,0.0007
0.2352,1.30148509269866e-05,0.0006
0.2472,1.3760675792747853e-05,0.0006
0.2732,1.4903245877343464e-05,0.0004
0.2872,1.6113130189653376e-05,0.0006
0.2945,1.6762917081175075e-05,0.0008
0.2972,1.7095190086710144e-05,0.0013
0.2985,1.7199756264758993e-05,0.0019
0.302,1.7312733665881763e-05,0.0011
0.3337,1.8307000511167073e-05,0.0004
0.3688,2.013646229495468e-05,0.0004
0.3877,2.1501138728164457e-05,0.0005
0.4076,2.2375629953317173e-05,0.0005
0.4505,2.357068197805721e-05,0.0003
0.4979,2.4991509346226405e-05,0.0003
0.5234,2.575023097537853e-05,0.0004
0.5502,2.6030993394218383e-05,0.0004
0.5784,2.607903794883701e-05,0.0004
0.6081,2.581276680779956e-05,0.0004
0.6393,2.522560157636668e-05,0.0005
0.6721,2.4255840175563576e-05,0.0005
0.7065,2.282832275066038e-05,0.0005
0.7427,2.0900961710224108e-05,0.0005
0.7808,1.8500928544805443e-05,0.0005
0.8209,1.5666264528293163e-05,0.0006
0.8629,1.2500904313648899e-05,0.0007
0.9072,9.708848700724201e-06,0.0007
0.9617,7.901491472120997e-06,0.0007
1.003,6.819049396972694e-06,0.0009
1.108,6.1376996314060665e-06,0.0007
1.165,5.568101093001887e-06,0.001
1.225,5.242120150241772e-06,0.001
1.287,4.9539542018871625e-06,0.001
1.353,4.7114980696519615e-06,0.001
1.423,4.4668067792503875e-06,0.0011
1.496,4.189530693430969e-06,0.0011
1.572,3.909648573612685e-06,0.0011
1.653,3.577325267913724e-06,0.0012
1.738,3.2804243395406754e-06,0.0012
1.827,3.024534285039278e-06,0.0013
1.921,2.792571389497691e-06,0.0013
