Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,1.0968632903540148e-12,0.4544
3.059e-06,1.4733141892734e-12,0.2941
3.928e-06,6.902351422973739e-12,0.1706
5.043e-06,2.350391127746708e-11,0.1051
6.476e-06,7.836446092744814e-11,0.0522
8.315e-06,2.0383778210437232e-10,0.0489
1.068e-05,4.2339207938159826e-10,0.0234
1.371e-05,8.462172133194152e-10,0.0183
1.76e-05,1.496420304666129e-09,0.0229
2.26e-05,2.2603988403532417e-09,0.0139
2.902e-05,3.0810884428220795e-09,0.0122
3.727e-05,3.789240073384522e-09,0.0119
4.785e-05,3.76133726673344e-09,0.0117
6.144e-05,2.304596451740182e-09,0.0146
7.889e-05,1.2476889975431724e-09,0.0174
0.0001013,3.4800554695793646e-09,0.0108
0.0001301,2.7912854515761095e-09,0.0126
0.000167,4.2133773932331e-09,0.0107
0.0002145,1.2222394513543766e-08,0.0062
0.0002754,1.0469125871103348e-08,0.0067
0.0003536,1.2925371897616503e-08,0.0055
0.000454,1.5014591998466723e-08,0.0045
0.0005829,3.0525477775916154e-08,0.0036
0.0007485,4.489922181099208e-08,0.0029
0.0009611,5.053493287598276e-08,0.0026
0.001234,6.476052727885404e-08,0.0023
0.001585,8.924252665093193e-08,0.002
0.002035,1.0104580595912587e-07,0.0019
0.002249,1.0282243227902669e-07,0.0028
0.002485,9.218416464973437e-08,0.0029
0.002613,1.0774906954852687e-07,0.0039
0.002747,9.953965479190939e-08,0.004
0.003035,9.770203506597929e-08,0.0029
0.003355,9.322174534579527e-08,0.003
0.003707,1.973055263079622e-07,0.002
0.004307,2.4911630688816496e-07,0.0014
0.005531,3.1765100160160147e-07,0.001
0.007102,4.1750696792355e-07,0.0008
0.009119,5.522039718243528e-07,0.0007
0.01059,7.035037947134246e-07,0.0008
0.01171,8.28737679028569e-07,0.0009
0.01503,1.0503073757694779e-06,0.0005
0.0193,1.4735086757174094e-06,0.0004
0.02187,1.875182902619248e-06,0.0006
0.02358,2.1073399396060896e-06,0.0007
0.02418,2.221328089084474e-06,0.0011
0.02479,2.2763088980852255e-06,0.0011
0.02606,2.341996187616287e-06,0.0008
0.027,2.3957526431979044e-06,0.0009
0.0285,2.408464813626176e-06,0.0008
0.03183,2.4184482829922153e-06,0.0005
0.03431,2.6172229850508384e-06,0.0006
0.04087,2.9459113376259946e-06,0.0004
0.04631,3.4203861155491624e-06,0.0004
0.05248,3.872356621181859e-06,0.0004
0.05656,4.251162322625425e-06,0.0005
0.06738,4.646727114554484e-06,0.0003
0.07202,5.057434689765942e-06,0.0005
0.0795,5.336535959832475e-06,0.0004
0.0825,5.4880135259461016e-06,0.0007
0.08652,5.453692365169769e-06,0.0006
0.09804,5.035321708986023e-06,0.0004
0.1111,4.244663662366396e-06,0.0004
0.1168,4.631401283588936e-06,0.0007
0.1228,4.950378701881985e-06,0.0006
0.1291,5.288297180935211e-06,0.0006
0.1357,5.648658829444603e-06,0.0006
0.1426,6.02682329057408e-06,0.0006
0.15,6.4398793759245206e-06,0.0006
0.1576,6.86168539342097e-06,0.0006
0.1657,7.277037471355981e-06,0.0005
0.1742,7.713901452527264e-06,0.0005
0.1832,8.165379626179864e-06,0.0005
0.1925,8.640687817574467e-06,0.0005
0.2024,9.142332554722948e-06,0.0005
0.2128,9.614339913790316e-06,0.0005
0.2237,1.0092024092581987e-05,0.0005
0.2352,1.0575190999818867e-05,0.0005
0.2472,1.109425748719964e-05,0.0005
0.2732,1.1826142876957732e-05,0.0003
0.2872,1.2550848350268474e-05,0.0004
0.2945,1.2892703620474733e-05,0.0006
0.2972,1.3063878307917246e-05,0.001
0.2985,1.3152783093141812e-05,0.0014
0.302,1.3201499864114889e-05,0.0009
0.3337,1.3613434704698222e-05,0.0003
0.3688,1.4254474364008605e-05,0.0003
0.3877,1.4644713178013977e-05,0.0004
0.4076,1.4805414927602168e-05,0.0004
0.4505,1.4971254277470073e-05,0.0003
0.4979,1.4991427040091718e-05,0.0003
0.5234,1.4761344833189279e-05,0.0004
0.5502,1.4602712828930863e-05,0.0004
0.5784,1.4360586409642553e-05,0.0004
0.6081,1.4010975869050724e-05,0.0004
0.6393,1.3529888261093186e-05,0.0005
0.6721,1.2878300166515603e-05,0.0005
0.7065,1.1990789382115848e-05,0.0005
0.7427,1.091763055752661e-05,0.0005
0.7808,9.88643287906633e-06,0.0005
0.8209,9.044878595953696e-06,0.0006
0.8629,8.262175781471073e-06,0.0006
0.9072,7.476471655492929e-06,0.0006
0.9617,6.564081292237776e-06,0.0006
1.003,5.5924105505460774e-06,0.0008
1.108,4.905440993725887e-06,0.0005
1.165,4.462159611557055e-06,0.0008
1.225,4.189645921382521e-06,0.0008
1.287,3.930299301818562e-06,0.0009
1.353,3.679833080492863e-06,0.0009
1.423,3.437882429964914e-06,0.0009
1.496,3.202094976777679e-06,0.0009
1.572,2.9783378257355243e-06,0.001
1.653,2.766487961589242e-06,0.001
1.738,2.5545433788157637e-06,0.0011
1.827,2.352431129197062e-06,0.0011
1.921,2.162580997235791e-06,0.0012
2.019,1.9926620358189136e-06,0.0012
2.122,1.8318738666871058e-06,0.0012
2.231,1.6858499589802005e-06,0.0013
2.307,1.5731327161800611e-06,0.0016
2.346,1.5022335929314873e-06,0.0023
2.365,1.484899148794057e-06,0.0034
2.385,1.4489551872928735e-06,0.0033
2.466,1.4111115731991983e-06,0.0017
2.592,1.3195879516536804e-06,0.0015
2.725,1.2302909942841936e-06,0.0015
2.865,1.1567143745340447e-06,0.0015
3.012,1.080522892885439e-06,0.0015
3.166,1.018406796213888e-06,0.0016
3.329,9.59124011489047e-07,0.0016
3.679,8.566514117688029e-07,0.0012
4.066,7.390515085205808e-07,0.0013
4.493,6.846272145701475e-07,0.0013
4.724,6.877753167701354e-07,0.0018
4.966,7.047328584281314e-07,0.0018
5.22,7.268108830710546e-07,0.0017
5.488,7.490379513684151e-07,0.0017
5.77,7.751327662256155e-07,0.0016
6.065,8.033357859387135e-07,0.0016
6.376,8.320095178926574e-07,0.0016
6.592,8.538187992909596e-07,0.0019
6.703,8.638315358959489e-07,0.0026
7.047,8.872254333317705e-07,0.0015
7.408,9.198053832983417e-07,0.0015
7.788,9.526405410285483e-07,0.0014
8.187,9.91320796579981e-07,0.0014
8.607,1.0506514306183035e-06,0.0014
9.048,1.1208232738441464e-06,0.0013
9.512,1.198362247534563e-06,0.0013
10.0,1.5478264029713482e-06,0.0011
10.51,2.7509699489390896e-06,0.0008
11.05,2.8007568250665365e-06,0.0008
11.62,3.1548796055954185e-06,0.0008
12.21,3.639167461445576e-06,0.0007
12.52,3.797299996884785e-06,0.001
12.84,3.853267285413921e-06,0.001
13.5,3.971220621111632e-06,0.0007
13.84,3.86136283210539e-06,0.0009
14.19,1.1091174816582059e-06,0.0016
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
