Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,4.2451875097767193e-11,0.0499
1.445e-06,1.0514716784346127e-10,0.0316
1.855e-06,1.301389300915663e-10,0.0285
2.382e-06,1.7609431344762583e-10,0.0245
3.059e-06,2.2431357044009263e-10,0.0217
3.928e-06,2.6714597184133035e-10,0.0199
5.043e-06,3.5270034240559843e-10,0.0173
6.476e-06,4.667537647558605e-10,0.015
8.315e-06,5.894308432389513e-10,0.0134
1.068e-05,7.529811202287567e-10,0.0118
1.371e-05,9.51100981106219e-10,0.0105
1.76e-05,1.227928953201523e-09,0.0093
2.26e-05,1.5943147327923413e-09,0.0081
2.902e-05,2.0363161367574024e-09,0.0072
3.727e-05,2.629056305349717e-09,0.0063
4.785e-05,3.3838637098275772e-09,0.0056
6.144e-05,4.325973541784991e-09,0.0049
7.889e-05,5.538546477549185e-09,0.0044
0.0001013,7.142647622545141e-09,0.0038
0.0001301,9.179952746044028e-09,0.0034
0.000167,1.1787236044891761e-08,0.003
0.0002145,1.508921170574897e-08,0.0027
0.0002754,1.942477623989774e-08,0.0023
0.0003536,2.4935770586232196e-08,0.0021
0.000454,3.201117207785858e-08,0.0018
0.0005829,4.1129016777150065e-08,0.0016
0.0007485,5.2842656499935424e-08,0.0014
0.0009611,6.752203970836586e-08,0.0013
0.001234,8.69780600989575e-08,0.0011
0.001585,1.1183968756561944e-07,0.001
0.002035,1.4349444779406462e-07,0.0009
0.002249,1.7068431748983238e-07,0.0012
0.002485,1.8840332438083486e-07,0.0012
0.002613,2.0331767445501004e-07,0.0016
0.002747,2.1389142256923363e-07,0.0016
0.003035,2.3025512019765551e-07,0.0011
0.003355,2.5464497122108925e-07,0.001
0.003707,2.810120856342114e-07,0.001
0.004307,3.189416104243382e-07,0.0007
0.005531,3.9022052904196103e-07,0.0005
0.007102,5.005883746177448e-07,0.0005
0.009119,6.429258816561757e-07,0.0004
0.01059,7.839451129504814e-07,0.0005
0.01171,8.878724798978531e-07,0.0005
0.01503,1.0609682187860957e-06,0.0003
0.0193,1.3619980520321233e-06,0.0003
0.02187,1.6414749805188805e-06,0.0004
0.02358,1.811430077871516e-06,0.0004
0.02418,1.903012496648644e-06,0.0007
0.02479,1.9556321947970627e-06,0.0007
0.02606,2.0253106020590658e-06,0.0005
0.027,2.1136553671539e-06,0.0006
0.0285,2.2115987689150585e-06,0.0005
0.03183,2.403743086529481e-06,0.0003
0.03431,2.634296698378384e-06,0.0004
0.04087,2.989132783519358e-06,0.0002
0.04631,3.4723220607500178e-06,0.0002
0.05248,3.932784739379486e-06,0.0002
0.05656,4.344390738166028e-06,0.0003
0.06738,4.927932849903282e-06,0.0002
0.07202,5.557752877039546e-06,0.0003
0.0795,6.035805142144058e-06,0.0002
0.0825,6.456716768902955e-06,0.0003
0.08652,6.737371557955036e-06,0.0003
0.09804,7.348970494237426e-06,0.0002
0.1111,2.0319756876291877e-06,0.0003
0.1168,1.0105157163660073e-06,0.0007
0.1228,1.0635896146890565e-06,0.0007
0.1291,1.1164738156820883e-06,0.0007
0.1357,1.1750653627479865e-06,0.0007
0.1426,1.2357173364336195e-06,0.0007
0.15,1.299685285851707e-06,0.0006
0.1576,1.3650067629483095e-06,0.0006
0.1657,1.4350438566921871e-06,0.0006
0.1742,1.5061587038288957e-06,0.0006
0.1832,1.584078803747574e-06,0.0006
0.1925,1.6667433568240104e-06,0.0006
0.2024,1.7541551236139272e-06,0.0005
0.2128,1.8409410116279596e-06,0.0005
0.2237,1.9353629435543865e-06,0.0005
0.2352,2.036690448678469e-06,0.0005
0.2472,2.1389624419183817e-06,0.0005
0.2732,2.3083622160401874e-06,0.0003
0.2872,2.4867178078566927e-06,0.0005
0.2945,2.5793454996516635e-06,0.0006
0.2972,2.6282802854506773e-06,0.0011
0.2985,2.6421544209861773e-06,0.0015
0.302,2.666936135482312e-06,0.0009
0.3337,2.8193253660270493e-06,0.0003
0.3688,3.1151628807145924e-06,0.0003
0.3877,3.358020982396866e-06,0.0004
0.4076,3.528696778361207e-06,0.0004
0.4505,3.806837615660237e-06,0.0003
0.4979,4.2054083558336985e-06,0.0002
0.5234,4.531327091531673e-06,0.0003
0.5502,4.766654817864433e-06,0.0003
0.5784,5.005659595770652e-06,0.0003
0.6081,5.264762763607289e-06,0.0003
0.6393,5.5358618444941945e-06,0.0003
0.6721,5.819622827224559e-06,0.0003
0.7065,6.11839116980095e-06,0.0003
0.7427,6.430868096333068e-06,0.0003
0.7808,6.761170546365747e-06,0.0003
0.8209,7.105449509744838e-06,0.0003
0.8629,7.469050034854315e-06,0.0003
0.9072,7.852269706073459e-06,0.0003
0.9617,8.284901588285612e-06,0.0002
1.003,8.130614516628003e-06,0.0003
1.108,9.53515175049048e-07,0.0005
1.165,1.0265407079135327e-06,0.0007
1.225,1.078720871202632e-06,0.0007
1.287,1.1337432213094317e-06,0.0007
1.353,1.1901679553192395e-06,0.0007
1.423,1.2513160922379488e-06,0.0006
1.496,1.3143954935171514e-06,0.0006
1.572,1.3803115007924907e-06,0.0006
1.653,1.4493047604755554e-06,0.0006
1.738,1.5240109885555498e-06,0.0006
1.827,1.6003704249683256e-06,0.0006
1.921,1.6820187370885565e-06,0.0006
2.019,1.764763969609023e-06,0.0005
2.122,1.8540135982395536e-06,0.0005
2.231,1.9467377939907356e-06,0.0005
2.307,2.0282575292969233e-06,0.0006
2.346,2.076609130345841e-06,0.0009
2.365,2.1044418790725286e-06,0.0012
2.385,2.121658086905668e-06,0.0012
2.466,2.165994749717616e-06,0.0006
2.592,2.2555417602355604e-06,0.0005
2.725,2.3705675690398967e-06,0.0005
2.865,2.4891256292139784e-06,0.0005
3.012,2.6151791751176977e-06,0.0004
3.166,2.745832886084883e-06,0.0004
3.329,2.8851265515721733e-06,0.0004
3.679,3.1077028431088447e-06,0.0003
4.066,3.4314069857791086e-06,0.0003
4.493,3.787357650862777e-06,0.0003
4.724,4.081019353314502e-06,0.0004
4.966,4.288114370993768e-06,0.0003
5.22,4.5070923036723715e-06,0.0003
5.488,4.735962256719536e-06,0.0003
5.77,4.9794654231146815e-06,0.0003
6.065,5.231651029359442e-06,0.0003
6.376,5.500376051763144e-06,0.0003
6.592,5.727033636841926e-06,0.0004
6.703,5.873576553845483e-06,0.0005
7.047,6.075132828912249e-06,0.0003
7.408,6.381216026557615e-06,0.0003
7.788,6.706335928433879e-06,0.0003
8.187,7.05101529563114e-06,0.0003
8.607,7.411086025949487e-06,0.0003
9.048,7.788017859765225e-06,0.0003
9.512,8.189053307172127e-06,0.0003
10.0,8.607654684103248e-06,0.0002
10.51,2.0350571546942474e-05,0.0002
11.05,2.1390631308991215e-05,0.0002
11.62,2.248390018008184e-05,0.0001
12.21,2.3645028161217524e-05,0.0001
12.52,2.4533108546332527e-05,0.0002
12.84,2.5168899938148786e-05,0.0002
13.5,2.6134583854933636e-05,0.0001
13.84,2.71332294700829e-05,0.0002
14.19,1.2712265671804827e-05,0.0003
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
