Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,4.76672e-12,0.1062
1.445e-06,9.52755e-12,0.074
1.855e-06,1.48646e-11,0.0585
2.382e-06,2.27446e-11,0.0489
3.059e-06,3.26076e-11,0.0413
3.928e-06,4.1321e-11,0.0375
5.043e-06,5.99772e-11,0.0306
6.476e-06,8.51041e-11,0.0261
8.315e-06,1.10568e-10,0.0229
1.068e-05,1.48473e-10,0.02
1.371e-05,1.85021e-10,0.018
1.76e-05,2.3728e-10,0.0159
2.26e-05,3.03683e-10,0.0139
2.902e-05,3.38089e-10,0.0132
3.727e-05,3.28898e-10,0.0138
4.785e-05,6.89183e-11,0.03
6.144e-05,1.0485e-12,0.2452
7.889e-05,2.75041e-10,0.0156
0.0001013,1.33906e-09,0.0076
0.0001301,1.59707e-09,0.0062
0.000167,4.81705e-10,0.0133
0.0002145,1.15626e-09,0.0084
0.0002754,4.3376e-09,0.005
0.0003536,4.87963e-09,0.0038
0.000454,5.64599e-09,0.0035
0.0005829,7.64124e-09,0.0038
0.0007485,1.05121e-08,0.003
0.0009611,1.47373e-08,0.0026
0.001234,2.23528e-08,0.0024
0.001585,2.59221e-08,0.0018
0.002035,4.38341e-08,0.0013
0.002249,1.61653e-08,0.0025
0.002485,2.10406e-08,0.0021
0.002613,6.04365e-09,0.0044
0.002747,5.84431e-09,0.004
0.003035,1.60911e-08,0.0021
0.003355,1.97671e-08,0.0019
0.003707,2.1832e-08,0.0018
0.004307,3.65173e-08,0.0014
0.005531,7.32253e-08,0.001
0.007102,9.23031e-08,0.0008
0.009119,1.15804e-07,0.0007
0.01059,8.3434e-08,0.0009
0.01171,6.30985e-08,0.001
0.01503,1.85103e-07,0.0006
0.0193,2.35043e-07,0.0005
0.02187,1.41383e-07,0.0007
0.02358,9.38771e-08,0.0008
0.02418,3.2936e-08,0.0014
0.02479,3.35994e-08,0.0014
0.02606,7.01213e-08,0.001
0.027,5.1815e-08,0.0011
0.0285,8.25834e-08,0.0009
0.03183,1.84051e-07,0.0006
0.03431,1.37503e-07,0.0007
0.04087,3.68428e-07,0.0004
0.04631,3.11267e-07,0.0005
0.05248,3.58777e-07,0.0004
0.05656,2.40415e-07,0.0005
0.06738,6.51649e-07,0.0003
0.07202,2.85913e-07,0.0005
0.0795,4.68103e-07,0.0004
0.0825,1.89036e-07,0.0006
0.08652,2.51017e-07,0.0005
0.09804,5.92875e-07,0.0003
0.1111,1.86468e-07,0.0006
0.1168,7.36804e-08,0.001
0.1228,7.96268e-08,0.001
0.1291,8.58573e-08,0.001
0.1357,9.23134e-08,0.0009
0.1426,9.91083e-08,0.0009
0.15,1.09124e-07,0.0008
0.1576,1.14613e-07,0.0008
0.1657,1.24641e-07,0.0008
0.1742,1.33421e-07,0.0008
0.1832,1.44056e-07,0.0007
0.1925,1.52084e-07,0.0007
0.2024,1.65346e-07,0.0007
0.2128,1.76213e-07,0.0007
0.2237,1.8738e-07,0.0006
0.2352,2.00117e-07,0.0006
0.2472,2.11661e-07,0.0006
0.2732,4.67311e-07,0.0004
0.2872,2.56337e-07,0.0005
0.2945,1.35227e-07,0.0007
0.2972,5.0336e-08,0.0012
0.2985,2.41769e-08,0.0018
0.302,6.54007e-08,0.0011
0.3337,5.98366e-07,0.0004
0.3688,6.70899e-07,0.0003
0.3877,3.57478e-07,0.0005
0.4076,3.71894e-07,0.0005
0.4505,7.84291e-07,0.0003
0.4979,8.39742e-07,0.0003
0.5234,4.35445e-07,0.0004
0.5502,4.39649e-07,0.0004
0.5784,4.3736e-07,0.0004
0.6081,4.29042e-07,0.0004
0.6393,4.17867e-07,0.0004
0.6721,4.18786e-07,0.0004
0.7065,4.23192e-07,0.0004
0.7427,4.26565e-07,0.0004
0.7808,4.27544e-07,0.0004
0.8209,4.26075e-07,0.0004
0.8629,4.18854e-07,0.0004
0.9072,4.04644e-07,0.0004
0.9617,4.26988e-07,0.0004
1.003,2.51238e-07,0.0006
1.108,5.07712e-07,0.0004
1.165,2.43964e-07,0.0006
1.225,2.35046e-07,0.0006
1.287,2.21388e-07,0.0006
1.353,2.15292e-07,0.0006
1.423,2.07263e-07,0.0006
1.496,1.95499e-07,0.0007
1.572,1.83313e-07,0.0007
1.653,1.748e-07,0.0007
1.738,1.63307e-07,0.0007
1.827,1.51898e-07,0.0007
1.921,1.42116e-07,0.0008
2.019,1.31679e-07,0.0008
2.122,1.23733e-07,0.0008
2.231,1.17232e-07,0.0008
2.307,7.41324e-08,0.0011
2.346,3.60361e-08,0.0015
2.365,1.69871e-08,0.0022
2.385,1.74999e-08,0.0022
2.466,6.77606e-08,0.0011
2.592,9.53497e-08,0.0009
2.725,8.99368e-08,0.0009
2.865,8.45168e-08,0.001
3.012,7.93649e-08,0.001
3.166,7.46576e-08,0.001
3.329,7.10896e-08,0.0011
3.679,1.27942e-07,0.0008
4.066,1.11125e-07,0.0008
4.493,1.02575e-07,0.0008
4.724,5.06151e-08,0.0012
4.966,5.04966e-08,0.0012
5.22,5.12879e-08,0.0012
5.488,5.24572e-08,0.0012
5.77,5.37702e-08,0.0012
6.065,5.51824e-08,0.0011
6.376,5.68912e-08,0.0011
6.592,3.88702e-08,0.0014
6.703,1.97725e-08,0.002
7.047,6.06108e-08,0.0011
7.408,6.30092e-08,0.0011
7.788,6.59536e-08,0.0011
8.187,6.91974e-08,0.001
8.607,7.32366e-08,0.001
9.048,7.75142e-08,0.001
9.512,8.49018e-08,0.001
10.0,1.11984e-07,0.0009
10.51,2.13683e-07,0.0006
11.05,2.39368e-07,0.0006
11.62,2.40135e-07,0.0006
12.21,2.25998e-07,0.0006
12.52,1.13961e-07,0.0008
12.84,1.14972e-07,0.0008
13.5,2.3093e-07,0.0006
13.84,1.06366e-07,0.0008
14.19,3.90283e-08,0.0013
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
