Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,2.0185752921312434e-13,1.0
6.826e-07,7.745571315082537e-13,0.7521
8.764e-07,8.85109995806786e-12,0.1883
1.125e-06,6.856957542393171e-11,0.0934
1.445e-06,1.1252314113888458e-10,0.0739
1.855e-06,1.5485433693453954e-10,0.0732
2.382e-06,2.178965873814281e-10,0.056
3.059e-06,2.6055817246276354e-10,0.0549
3.928e-06,3.745633859341464e-10,0.0465
5.043e-06,5.17407494288607e-10,0.0431
6.476e-06,6.501630124867754e-10,0.0359
8.315e-06,8.529870396843887e-10,0.0326
1.068e-05,1.1777914312406668e-09,0.0284
1.371e-05,1.5179377866725505e-09,0.0252
1.76e-05,1.9715309288393534e-09,0.0232
2.26e-05,2.5635609901401685e-09,0.0199
2.902e-05,3.3496184821506197e-09,0.0184
3.727e-05,4.375478954581348e-09,0.016
4.785e-05,5.403341636638561e-09,0.014
6.144e-05,7.041082461741126e-09,0.0131
7.889e-05,9.01403839363947e-09,0.0107
0.0001013,1.0848374265658213e-08,0.0099
0.0001301,9.152456609859654e-09,0.0105
0.000167,1.1229905907214185e-08,0.0098
0.0002145,2.187591532256319e-08,0.0069
0.0002754,2.2211725497930173e-08,0.0067
0.0003536,3.2311009179996285e-08,0.0056
0.000454,3.6082617958405657e-08,0.0052
0.0005829,3.491298903456062e-08,0.0046
0.0007485,3.322317663960794e-08,0.0043
0.0009611,7.18627136904474e-08,0.0026
0.001234,6.917082557303738e-08,0.003
0.001585,1.062225557263269e-07,0.0024
0.002035,1.3850307908390073e-07,0.0022
0.002249,1.658098229276414e-07,0.0032
0.002485,1.8429958286032167e-07,0.003
0.002613,2.0083093079913495e-07,0.0041
0.002747,2.0963630938372646e-07,0.0042
0.003035,2.2671156100778965e-07,0.0027
0.003355,2.5319046706237726e-07,0.0026
0.003707,2.833253795206388e-07,0.0024
0.004307,3.228317925842899e-07,0.0018
0.005531,3.9618429885193834e-07,0.0013
0.007102,5.195397830678481e-07,0.0011
0.009119,6.782561831524789e-07,0.001
0.01059,8.52109601571309e-07,0.0012
0.01171,9.817341801438984e-07,0.0013
0.01503,1.1900721895529171e-06,0.0008
0.0193,1.5720702462003947e-06,0.0007
0.02187,1.951936308717038e-06,0.0009
0.02358,2.1926712208281077e-06,0.001
0.02418,2.330123625016088e-06,0.0018
0.02479,2.389929476552981e-06,0.0017
0.02606,2.4848469665394247e-06,0.0013
0.027,2.5990443087746428e-06,0.0014
0.0285,2.719688501558718e-06,0.0011
0.03183,3.019117098750339e-06,0.0007
0.03431,3.364001348851807e-06,0.0008
0.04087,3.899772411522543e-06,0.0005
0.04631,4.635335125146125e-06,0.0006
0.05248,5.274388104497455e-06,0.0005
0.05656,5.83434911048708e-06,0.0007
0.06738,6.550441498516837e-06,0.0004
0.07202,7.164630320490297e-06,0.0007
0.0795,7.214038850563037e-06,0.0005
0.0825,6.8619134405918075e-06,0.0009
0.08652,6.441915579748558e-06,0.0008
0.09804,4.986321692355438e-06,0.0006
0.1111,3.516320937172368e-06,0.0007
0.1168,3.848708057862444e-06,0.001
0.1228,4.081251710130348e-06,0.001
0.1291,4.336953355464957e-06,0.001
0.1357,4.599886934847681e-06,0.001
0.1426,4.879696094964931e-06,0.0009
0.15,5.165126991178663e-06,0.0009
0.1576,5.449137799987958e-06,0.0009
0.1657,5.696171932435271e-06,0.0008
0.1742,5.990108175300437e-06,0.0008
0.1832,6.2635996911218875e-06,0.0008
0.1925,6.572578900499381e-06,0.0008
0.2024,6.915962034358255e-06,0.0008
0.2128,7.264061052097141e-06,0.0008
0.2237,7.647171359984606e-06,0.0007
0.2352,8.057773782063977e-06,0.0007
0.2472,8.510312563917472e-06,0.0007
0.2732,9.225759356451729e-06,0.0005
0.2872,9.911893539344553e-06,0.0007
0.2945,1.0273438065979985e-05,0.0009
0.2972,1.0450280846482175e-05,0.0015
0.2985,1.0501532805826016e-05,0.0021
0.302,1.0615347220987794e-05,0.0013
0.3337,1.118505114084417e-05,0.0004
0.3688,1.2286612591881016e-05,0.0004
0.3877,1.308828821071636e-05,0.0006
0.4076,1.3681958521535349e-05,0.0006
0.4505,1.4596823028119653e-05,0.0004
0.4979,1.5873663765006702e-05,0.0004
0.5234,1.687035149691517e-05,0.0005
0.5502,1.7457294778320232e-05,0.0005
0.5784,1.8056902363456683e-05,0.0005
0.6081,1.8657509547237792e-05,0.0005
0.6393,1.9222202198555567e-05,0.0005
0.6721,1.9777143990740745e-05,0.0005
0.7065,2.0011634271417423e-05,0.0005
0.7427,1.8031962503273288e-05,0.0005
0.7808,1.4441667590478383e-05,0.0006
0.8209,1.127852361307326e-05,0.0007
0.8629,8.565577693739705e-06,0.0008
0.9072,6.485622389143522e-06,0.0009
0.9617,4.770600253950051e-06,0.001
1.003,3.652757255038137e-06,0.0013
1.108,3.022737418868948e-06,0.001
1.165,2.57171911137036e-06,0.0015
1.225,2.2902341014520255e-06,0.0016
1.287,2.130776329156862e-06,0.0017
1.353,1.9773359004723686e-06,0.0017
1.423,1.8105813386194466e-06,0.0018
1.496,1.6076938248690763e-06,0.0019
1.572,1.4134734282461536e-06,0.002
1.653,1.2223224611428201e-06,0.0021
1.738,1.105589414925972e-06,0.0023
1.827,1.0423255675319742e-06,0.0023
1.921,9.60189709986718e-07,0.0025
2.019,8.643702516495558e-07,0.0026
2.122,7.54519478789595e-07,0.0028
2.231,6.518812025427959e-07,0.003
2.307,6.050528817598206e-07,0.0037
2.346,5.846643918488286e-07,0.0057
2.365,5.681943484291019e-07,0.0077
2.385,5.638216680544315e-07,0.0074
2.466,5.268744315059472e-07,0.0039
2.592,4.7281913800071354e-07,0.0034
2.725,4.338406444341031e-07,0.0035
2.865,3.972221749076745e-07,0.0037
3.012,3.6665830102960423e-07,0.0039
3.166,3.4018487009374146e-07,0.004
3.329,3.0987392960734917e-07,0.0041
3.679,2.7225435112334285e-07,0.0032
4.066,2.3607076250265416e-07,0.0032
4.493,2.2176944829914714e-07,0.0033
4.724,2.148208312543439e-07,0.0046
4.966,2.143626830787781e-07,0.0046
5.22,2.235423641794999e-07,0.0048
5.488,2.449722431180047e-07,0.0043
5.77,2.7495106036534473e-07,0.0039
6.065,3.103176100385433e-07,0.0037
6.376,3.288359149751974e-07,0.0035
6.592,3.390308102761162e-07,0.0043
6.703,3.4859458532675025e-07,0.012
7.047,3.550256465109309e-07,0.0034
7.408,3.641242012469172e-07,0.0033
7.788,3.77100082928337e-07,0.0033
8.187,3.862263864534727e-07,0.0032
8.607,4.073174968043906e-07,0.0031
9.048,4.2835889378155737e-07,0.003
9.512,4.878143338862566e-07,0.0029
10.0,5.835789559751968e-07,0.0026
10.51,1.0591311702653309e-06,0.0019
11.05,1.1412893954691698e-06,0.0018
11.62,1.2320735128038977e-06,0.0017
12.21,1.3314007599641738e-06,0.0016
12.52,1.3988629355098924e-06,0.0024
12.84,1.4401338093199831e-06,0.0022
13.5,1.4334220134862128e-06,0.0015
13.84,1.4087897330344246e-06,0.0021
14.19,4.576740772950474e-07,0.0035
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
