Energy,Value,Error
1e-07,4.919818179344608e-06,0.0002
4.14e-07,3.1192321663360486e-06,0.0008
5.316e-07,4.4451892042274743e-07,0.0055
6.826e-07,4.222820861560544e-07,0.0053
8.764e-07,4.116263053903006e-07,0.0054
1.125e-06,3.9708875834901057e-07,0.0055
1.445e-06,3.872381985311015e-07,0.0059
1.855e-06,3.7835275071078147e-07,0.0055
2.382e-06,3.724904975581625e-07,0.0058
3.059e-06,3.6347341367730507e-07,0.0058
3.928e-06,3.576182547667769e-07,0.0056
5.043e-06,3.538913581483395e-07,0.0056
6.476e-06,3.4973905654383414e-07,0.0058
8.315e-06,3.4509867052161155e-07,0.006
1.068e-05,3.417846343622387e-07,0.0059
1.371e-05,3.34977012800875e-07,0.0061
1.76e-05,3.3041227449138557e-07,0.0059
2.26e-05,3.277607312596916e-07,0.0063
2.902e-05,3.212649844682499e-07,0.0058
3.727e-05,3.2277570442874035e-07,0.0059
4.785e-05,3.1864828653583975e-07,0.006
6.144e-05,3.152734475847172e-07,0.0062
7.889e-05,3.1508633306609164e-07,0.0063
0.0001013,3.10411149138138e-07,0.0064
0.0001301,3.049213596498655e-07,0.006
0.000167,3.073349705603946e-07,0.0063
0.0002145,3.021274004543705e-07,0.0065
0.0002754,3.0181159953404745e-07,0.0064
0.0003536,2.973884980995592e-07,0.0063
0.000454,2.987766209644766e-07,0.0082
0.0005829,2.942267802945006e-07,0.0059
0.0007485,2.941994185237595e-07,0.0062
0.0009611,2.922027168063094e-07,0.0061
0.001234,2.907279998355331e-07,0.0064
0.001585,2.900710691003294e-07,0.0067
0.002035,2.9327352256919655e-07,0.0063
0.002249,2.8492190794137603e-07,0.0102
0.002485,2.8632190410472806e-07,0.0102
0.002613,2.8751853590466025e-07,0.0143
0.002747,2.8865983997171645e-07,0.0156
0.003035,2.8843247860382013e-07,0.0101
0.003355,2.8426976923008205e-07,0.0101
0.003707,2.863112124875657e-07,0.0123
0.004307,2.849991711534774e-07,0.0078
0.005531,2.884742263141888e-07,0.0063
0.007102,2.808556333628739e-07,0.0065
0.009119,2.821187778597069e-07,0.0062
0.01059,2.8314942815861733e-07,0.0083
0.01171,2.857001666960202e-07,0.01
0.01503,2.8209407913205596e-07,0.0062
0.0193,2.845996340643181e-07,0.0064
0.02187,2.926396592617044e-07,0.01
0.02358,2.90206055358992e-07,0.0113
0.02418,2.804876826787247e-07,0.0177
0.02479,2.9192035757556456e-07,0.0196
0.02606,2.8518916048878205e-07,0.014
0.027,2.8295235572069454e-07,0.0161
0.0285,2.8815425749584724e-07,0.0132
0.03183,2.8387816186830287e-07,0.0094
0.03431,2.8406607135621353e-07,0.0109
0.04087,2.8961798114797174e-07,0.0077
0.04631,2.9411749897459523e-07,0.0085
0.05248,2.923304162026716e-07,0.0084
0.05656,2.930684661593013e-07,0.0113
0.06738,3.012918593022841e-07,0.0073
0.07202,2.999521579244234e-07,0.0114
0.0795,3.0685790176677604e-07,0.009
0.0825,3.014583326501702e-07,0.0166
0.08652,3.084432620461162e-07,0.0134
0.09804,3.108921055166469e-07,0.0085
0.1111,3.2201075980271667e-07,0.009
0.1168,3.21325949490222e-07,0.0121
0.1228,3.5067112179257486e-07,0.0118
0.1291,3.6477107902558897e-07,0.0118
0.1357,3.6158773214779976e-07,0.0122
0.1426,3.51902750432825e-07,0.0124
0.15,3.0276060949620495e-07,0.0145
0.1576,1.190232450528442e-07,0.0243
0.1657,2.687816596382841e-07,0.0147
0.1742,3.135703369231144e-07,0.0129
0.1832,3.2349971294347963e-07,0.0138
0.1925,3.287470845957534e-07,0.0128
0.2024,3.396166194219122e-07,0.0122
0.2128,3.5346884876848086e-07,0.0127
0.2237,3.713682615159016e-07,0.0127
0.2352,3.7239717896287106e-07,0.0122
0.2472,3.907698977041612e-07,0.0118
0.2732,4.137445116084246e-07,0.0082
0.2872,4.4680399813194587e-07,0.0108
0.2945,4.36411457835475e-07,0.0153
0.2972,4.5833092604602896e-07,0.0234
0.2985,4.448657626254102e-07,0.0342
0.302,4.695324958980652e-07,0.0243
0.3337,4.840306736621788e-07,0.0083
0.3688,5.068136455196239e-07,0.0074
0.3877,5.328873660627919e-07,0.0097
0.4076,5.610869014963549e-07,0.0094
0.4505,5.983855046164226e-07,0.0068
0.4979,6.49979360600264e-07,0.0063
0.5234,6.923635548453959e-07,0.0089
0.5502,7.091296943430679e-07,0.0087
0.5784,7.442448025778666e-07,0.0082
0.6081,7.707763184173091e-07,0.008
0.6393,8.299715578830522e-07,0.0083
0.6721,8.489484101394082e-07,0.0076
0.7065,8.972482438491457e-07,0.0076
0.7427,9.304850393542264e-07,0.0075
0.7808,9.781289321019137e-07,0.0071
0.8209,1.0323634677617367e-06,0.0069
0.8629,1.065856789836184e-06,0.0067
0.9072,1.117546780691509e-06,0.0064
0.9617,1.1802322586477664e-06,0.0058
1.003,1.244439830888022e-06,0.0068
1.108,1.323941050727778e-06,0.0043
1.165,1.409566562866315e-06,0.0059
1.225,1.4679043554668534e-06,0.0058
1.287,1.555876052619255e-06,0.0057
1.353,1.6337835007409988e-06,0.0052
1.423,1.6657048570854355e-06,0.0051
1.496,1.7067052488918044e-06,0.0052
1.572,1.7929114232198288e-06,0.0051
1.653,1.9361753538523896e-06,0.0047
1.738,2.0826150570784616e-06,0.005
1.827,1.6797332626821658e-06,0.0051
1.921,1.7752745363822496e-06,0.0049
2.019,1.8242919236724722e-06,0.0047
2.122,1.8879487259867468e-06,0.0048
2.231,1.92881436990671e-06,0.0046
2.307,1.9736095945941376e-06,0.0055
2.346,2.0111584631061274e-06,0.0077
2.365,2.0500053294936923e-06,0.0106
2.385,2.051417876995349e-06,0.0105
2.466,1.5497684125418528e-06,0.0066
2.592,1.786728050533524e-06,0.0048
2.725,1.9260671645204297e-06,0.0043
2.865,1.8976177228835055e-06,0.0044
3.012,1.8308972271018232e-06,0.0044
3.166,1.620382325657912e-06,0.005
3.329,1.228490399393871e-06,0.0057
3.679,7.491911179152286e-07,0.0055
4.066,1.1330676735023523e-06,0.0045
4.493,2.2202780763853956e-06,0.0028
4.724,2.973156526566374e-06,0.0033
4.966,1.5515788500510291e-06,0.0048
5.22,2.024649227444295e-06,0.0041
5.488,1.8604280575015577e-06,0.0042
5.77,1.6548033333560344e-06,0.0049
6.065,1.3805134646415193e-06,0.0048
6.376,1.2994056996702341e-06,0.005
6.592,1.3651579795213985e-06,0.0059
6.703,1.4963114925818519e-06,0.0084
7.047,1.5161486735188187e-06,0.0046
7.408,1.5365472420490162e-06,0.0043
7.788,1.3798929619172546e-06,0.0045
8.187,8.971159194082045e-07,0.0061
8.607,6.473156805217086e-07,0.0079
9.048,9.085910765756355e-07,0.0061
9.512,1.038131641434441e-06,0.0056
10.0,1.1048324709625573e-06,0.0052
10.51,1.051602335314201e-06,0.0053
11.05,8.387880189147225e-07,0.0065
11.62,7.545848842271101e-07,0.0064
12.21,6.739099544350287e-07,0.0063
12.52,5.440913292149439e-07,0.0093
12.84,5.256413120513902e-07,0.009
13.5,4.1763303606592374e-07,0.007
13.84,2.061751865927476e-07,0.014
14.19,3.4120587065026464e-08,0.0343
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
