Energy,Value,Error
0.01,6.06712e-11,0.1531
0.02,7.26723e-12,0.3638
0.05,7.48217e-09,0.0171
0.1,2.28966e-09,0.0263
0.2,2.41513e-08,0.0097
0.3,8.18121e-08,0.005
0.4,1.19291e-07,0.0037
0.6,3.87176e-07,0.002
0.8,3.54524e-07,0.0021
1.0,2.47383e-07,0.0023
1.22,2.37266e-07,0.0025
1.44,2.20996e-07,0.0024
1.66,1.95498e-07,0.0026
2.0,2.5107e-07,0.0022
2.5,2.74253e-07,0.0022
3.0,1.83948e-07,0.0025
4.0,1.93342e-07,0.0026
5.0,7.29762e-08,0.0041
6.5,2.98687e-08,0.0064
8.0,3.56112e-09,0.0172
10.0,1.97629e-11,0.2059
12.0,9.68105e-12,0.4908
14.0,6.8788e-12,0.3575
20.0,1.44402e-11,0.3407
