Energy,Value,Error
0.01,1.60271e-11,0.304
0.02,0.0,0.0
0.05,2.44953e-09,0.0309
0.1,9.30375e-11,0.1114
0.2,5.71882e-09,0.0215
0.3,3.46013e-08,0.0095
0.4,6.45169e-08,0.006
0.6,2.47792e-07,0.0031
0.8,2.22285e-07,0.003
1.0,1.29095e-07,0.0036
1.22,1.21917e-07,0.0037
1.44,1.03355e-07,0.0038
1.66,9.77129e-08,0.004
2.0,1.38726e-07,0.0033
2.5,1.81453e-07,0.0029
3.0,1.40644e-07,0.0034
4.0,1.73403e-07,0.0032
5.0,6.91652e-08,0.0047
6.5,3.69253e-08,0.0063
8.0,3.61138e-09,0.02
10.0,5.19198e-11,0.2382
12.0,1.06284e-11,0.2974
14.0,4.24176e-12,0.4136
20.0,6.79329e-12,0.7772
